"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0090224","regulation of spindle organization",44,0.361762772353093,1.28615708425418,0.106598984771574,0.404051584791623,0.349559461588823,3027,"tags=27%, list=16%, signal=23%","67300/13424/73420/14677/213582/13191/20479/20460/108989/19822/68942/240121","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0090224"
"GO:0044788","modulation by host of viral process",44,0.359273962312909,1.27730874244243,0.106598984771574,0.404051584791623,0.349559461588823,1956,"tags=27%, list=10%, signal=25%","240255/224020/19878/225326/72179/208884/15481/16004/217695/30960/216238/14265","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0044788"
"GO:1901620","regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning",13,-0.533561610032844,-1.37976308251253,0.106617647058824,0.404051584791623,0.349559461588823,2452,"tags=38%, list=13%, signal=34%","56334/22158/14633/240888/14634","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:1901620"
"GO:1900015","regulation of cytokine production involved in inflammatory response",58,0.335417259327379,1.26957423099493,0.107142857142857,0.404675077781701,0.350098867650128,3038,"tags=24%, list=16%, signal=20%","72993/52392/16172/73845/54616/26874/26420/19261/15251/16650/20848/11815/18126/17874","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:1900015"
"GO:0043501","skeletal muscle adaptation",23,0.439993760266274,1.36810126670776,0.107226107226107,0.404675077781701,0.350098867650128,1878,"tags=30%, list=10%, signal=27%","11938/56717/17926/76469/21955/12292/65256","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0043501"
"GO:0000281","mitotic cytokinesis",81,0.304060767165441,1.23993916329622,0.107238605898123,0.404675077781701,0.350098867650128,3051,"tags=30%, list=16%, signal=25%","19878/77579/16319/235072/18571/66482/20742/102058/213582/20336/11735/102774/20479/20658/70527/16765/69940/211446/19348/20166/26934/116733/68942/53413","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0000281"
"GO:0014855","striated muscle cell proliferation",81,0.303062259987557,1.23586731882174,0.107238605898123,0.404675077781701,0.350098867650128,2696,"tags=26%, list=14%, signal=22%","68861/77579/16646/16452/108655/17260/19094/14180/17684/26413/13869/16468/19211/13052/211323/19084/23966/67955/18712/18121/20848","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0014855"
"GO:0002573","myeloid leukocyte differentiation",251,0.23596776362696,1.14049000890789,0.10738255033557,0.404675077781701,0.350098867650128,3809,"tags=27%, list=20%, signal=22%","12326/11820/17311/18795/18383/56637/18472/108655/17260/56717/100101806/50754/21934/18708/15902/99982/13836/17684/72828/12159/54411/100201/19014/76527/17342/15467/65113/22402/21943/71982/19255/16795/16658/18605/16364/227377/224109/12156/16969/18015/67050/14284/107829/68027/16590/18750/74370/17874/170826/14063/14281/80752/26365/14815/93675/18722/12703/15404/11774/209446/75766/237339/83924/16416/26379/15499/14466/14218/24067","GO BP","Transcriptomics","Up","Not significant",FALSE,"GO BP:GO:0002573"
"GO:0007605","sensory perception of sound",167,-0.283391833773373,-1.20988712526801,0.107413010590015,0.404675077781701,0.350098867650128,4133,"tags=31%, list=22%, signal=25%","69698/17993/432516/110789/216227/71446/72088/22388/16206/20583/216892/229320/67501/97031/22141/218518/65962/229776/17754/22393/26557/71960/13198/195208/328789/21683/17921/11829/14725/15212/12005/791260/110253/73750/26563/260301/12971/231602/320790/20776/26941/19712/20655/13367/66540/14623/14182/17196/20674/17920/20512/67671","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0007605"
"GO:0055010","ventricular cardiac muscle tissue morphogenesis",52,-0.369199141982316,-1.32235270350271,0.107491856677524,0.404675077781701,0.350098867650128,2014,"tags=21%, list=10%, signal=19%","21803/14725/140781/20181/14225/320790/19130/67451/21808/109620/18128","GO BP","Transcriptomics","Down","Not significant",FALSE,"GO BP:GO:0055010"
