"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","RNANominal","ProteinNominal","RNAFDR","ProteinFDR","EvidencePattern","JointNominalP","EvidenceRank"
"GO BP:GO:1990823","GO BP","GO:1990823","response to leukemia inhibitory factor",126,0.963032538189603,0.567647058823529,0.787558685446009,"56421/23792/74682/12298/226180/54169/14042/20972/16468/112407/380684/53625/15221/18542/54484/14584/21943/71982/20750/18854/75605/71371/14284/20605/72567/15569/93762/17681/106347/16600/51869/13626/94214/80877/70930/216161/192663/19245/11740/12702/22341/12224",62,1.05748649401876,0.347899159663866,0.891861397713525,"14872/20055/19245/15569/17532/217379/192663/12298/171567/107869/66143/15894/24066/71982/18542/56426","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.567647058823529,4
"GO BP:GO:0090263","GO BP","GO:0090263","positive regulation of canonical Wnt signaling pathway",109,-0.948357010517223,0.568037974683544,0.787558685446009,"20779/14371/22416/68010/12389/110648/20356/21803/66241/232341/15242/67122/14734/64297/18033/16202/14173/22601/76441/192199/103236/20042/103978/21833/14184",51,1.2651047654551,0.11864406779661,0.747437405478071,"22210/319998/14184/20779/20042/103978/64297/18033/66787/65114/214897/217011/12842/19043/21833/103236/84092/12389/76425/67181","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.568037974683544,4
"GO BP:GO:0050779","GO BP","GO:0050779","RNA destabilization",96,1.20925895853036,0.147058823529412,0.4584477525654,"19878/208922/13211/53872/22695/12457/234594/80912/72162/229096/228994/56403/227331/13046/230594/211948/18983/214290/381305/232791/213988/240023/74203/17350/12227/213541/74480/75901",62,0.951295320987236,0.568067226890756,0.966079390834409,"112403/15473/218693/214290/18458/211948/80912","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.568067226890756,4
"GO BP:GO:0014048","GO BP","GO:0014048","regulation of glutamate secretion",26,1.32692693342878,0.115207373271889,0.415672913117547,"20910/108073/20983/67760/226407/14812/22044/15565/99296/14815",16,-0.920977891999478,0.568329718004338,0.966079390834409,"67760/18439/11540","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.568329718004338,4
"GO BP:GO:0051384","GO BP","GO:0051384","response to glucocorticoid",82,-0.94433326745621,0.568659127625202,0.787782348694096,"11898/74551/15566/74747/12192/11609/12193/16816/21803/20609/20181/268709/19712/77559/22195/94284/12311/94180/17718",30,1.08017583352713,0.342105263157895,0.891767448340543,"94284/20606/13684","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.568659127625202,4
"GO BP:GO:1902683","GO BP","GO:1902683","regulation of receptor localization to synapse",32,0.948073260164073,0.569007263922518,0.787782348694096,"56637/74513/216831/12889/20320/23888/665113/56149/16416/53331/54645/26422/11487/108155",29,0.982589896850788,0.484265734265734,0.945062073719959,"12322/56508/12794/16412/50791/16416/13138/53331","Both up",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.569007263922518,4
"GO BP:GO:0006643","GO BP","GO:0006643","membrane lipid metabolic process",180,-0.95495751770954,0.569069069069069,0.787782348694096,"320095/68563/241159/208449/23801/15212/57370/68801/50784/104725/228094/20443/110417/20452/20444/14667/14756/226413/26938/241230/67111/56375/18753/50935/67916",84,1.07014488869142,0.327841845140033,0.882178177364106,"20773/54447/16590/68563/66459/27404/67916/70757/19012/14348/13244/30960/26889/68952/57874/20597/69923/11886/320910","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.569069069069069,4
"GO BP:GO:0045123","GO BP","GO:0045123","cellular extravasation",75,-0.93737152887014,0.569105691056911,0.787782348694096,"14723/67374/19204/84094/19152/19877/109934/12772/20737/110279/319655/58217/20300/20304/18613/16412/114774/16401/20343/14345/18829/68891/15894/50931/16177/16409/22329/16421/12929/16456/20443/13051/20345/17242/54371",33,1.41508676762805,0.0753424657534247,0.672271918137952,"21838/319655/16409/12928/109934/14348/13051/16412/18613/11519/15894/16423/14082","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.569105691056911,4
"GO BP:GO:0006368","GO BP","GO:0006368","transcription elongation by RNA polymerase II",96,0.944330574074863,0.56951871657754,0.787886904455303,"319955/20924/23989/70208/26896/22083/57261/235497/19014/235626/69131/192657/76246/14479/69792/13132/54624/72949/228880/381379/192191/214498/94112/234959/53890/57314/67219/74022/26395/73473/114741/66923",56,-1.05628315398021,0.354838709677419,0.894659453460952,"67673/72515/234959/22083/69562/26395/21399/114741/68705/20926/433702/53890/66505/67381/68092/76246/75613/58202","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.56951871657754,4
"GO BP:GO:0006670","GO BP","GO:0006670","sphingosine metabolic process",20,-0.927122410845724,0.570434782608696,0.78858972779899,"56632/171168/228677/50784/104725/67111/67916",12,1.48731492984161,0.0635514018691589,0.642446898895497,"20773/54447/67916/19012/11886/67111","Opposite",FALSE,FALSE,FALSE,FALSE,"Neither nominal P",0.570434782608696,4
