"EntrezID","Statistic"
"15476",2.0466104988917
"110616",2.046517738693
"16319",2.04526084892118
"210622",2.0419694180282
"229759",2.04092458075785
"23989",2.04089060199
"54373",2.03995215576117
"19359",2.03749850436155
"20660",2.03640916622325
"53623",2.03552249879316
"54375",2.03493919184934
"319807",2.03408332963926
"50754",2.03406805683417
"70208",2.03156479834242
"72831",2.02884427232006
"226412",2.02875596466909
"11765",2.02746457475312
"170738",2.02642807053357
"75276",2.02508129531739
"212307",2.02376359534556
"26390",2.02166240846837
"26408",2.02052965689936
"64817",2.01993605108436
"231125",2.019655176936
"16480",2.01823954405688
"75796",2.01331718797844
"207565",2.01328576145018
"269109",2.01316735721174
"75180",2.01170106121838
"78923",2.01139037787361
"52397",2.01035666911269
"100502846",2.01033106215125
"12753",2.00990644349387
"12116",2.00725074743982
"98366",2.00713405857773
"241311",2.00701538190622
"330627",2.00310207196593
"18549",2.00185489902578
"100910",2.00138567140525
"11928",1.99996191017973
"320473",1.99940728469068
"59044",1.99932437900531
"11492",1.9980700493516
"16531",1.99509807949155
"100043920",1.99399923356227
"232023",1.99310923963189
"67729",1.99299852320468
"243272",1.9891625307738
"73707",1.98689699993748
"433926",1.98663151749659
"116905",1.98517794705624
"107823",1.98456326626214
"15490",1.98121753499881
"79221",1.97949642852463
"432731",1.97949454564923
"76614",1.97807475607012
"102436",1.97622130171493
"170762",1.97607872834854
"212391",1.9750634014774
"72780",1.9743171594727
"434008",1.97406815025349
"20340",1.97276657201473
"72296",1.97260524380454
"17449",1.97250107113478
"238331",1.97218782335535
"19155",1.97198961392342
"11776",1.97167352241685
"22201",1.97057810014772
"13723",1.97052116466162
"75646",1.96830350875764
"13666",1.96670250192182
"60367",1.96662694065535
"20614",1.96556363160475
"64706",1.96453436149489
"16351",1.9642294476023
"81906",1.96298298542667
"232975",1.96281709345791
"76007",1.9615078608504
"215654",1.95978356373379
"93890",1.95820040967551
"79560",1.95774988077497
"331004",1.95306349824512
"56531",1.95299291137927
"56745",1.95177471026766
"194401",1.95152312477744
"235072",1.94983634087564
"192197",1.94830703870317
"239606",1.94722415547876
