"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0021692","cerebellar Purkinje cell layer morphogenesis",25,0.464972452942588,1.48467513129696,0.0398808281938846,0.240914220306575,0.208423499150209,3781,"tags=52%, list=20%, signal=42%","11941/20239/19883/235439/72393/12286/67453/11977/19156/67269/319953/66797/14466","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0021692"
"GO:0043268","positive regulation of potassium ion transport",52,0.377246545446526,1.39914299720282,0.0399118608988352,0.240914220306575,0.208423499150209,2688,"tags=35%, list=14%, signal=30%","16485/238161/16502/53416/241528/268345/109676/13383/229715/75607/11472/433809/11931/230899/279561/100986/16511/16527","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0043268"
"GO:0072078","nephron tubule morphogenesis",78,-0.373721628642496,-1.4393617144233,0.0401284109149278,0.241991101563025,0.209355147598993,2772,"tags=26%, list=14%, signal=22%","11609/226154/22414/16869/21803/329628/14734/20681/16202/19206/67087/14634/16373/14173/269152/14164/15208/319757/20682/11606","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0072078"
"GO:2000010","positive regulation of protein localization to cell surface",24,-0.496521214663982,-1.5071138840128,0.0402150071207405,0.242283005863227,0.209607684437988,2707,"tags=50%, list=14%, signal=43%","57785/22177/12503/17754/13844/235406/17846/68767/20909/14127/11651/216439","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:2000010"
"GO:2000146","negative regulation of cell motility",320,0.239599845898834,1.18728608043674,0.0405762328304319,0.24422734447463,0.211289801236265,2591,"tags=20%, list=14%, signal=18%","17356/100862177/18795/14083/104831/20312/56637/20346/52392/19272/338366/77574/237542/234593/17260/16480/19281/269275/18133/17684/19252/52592/20563/76707/19211/20855/19017/107831/12550/211323/17342/56715/52662/381290/105352/13078/12825/74012/110532/22003/320271/11595/13179/19274/76499/14270/18183/54608/114715/260315/15139/73608/57781/19273/118453/50768/21838/28010/12043/13482/18121/238247/18015/240725/269003","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:2000146"
"GO:1990748","cellular detoxification",49,-0.41562628392192,-1.4710273974663,0.040650406504065,0.244441875698378,0.211475399862504,4031,"tags=37%, list=21%, signal=29%","11532/12359/320769/57320/13361/11668/58810/14778/18024/14528/14866/20655/18477/18230/11669/11758/68312/17751","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:1990748"
"GO:0035987","endodermal cell differentiation",33,0.418580728424257,1.39385477072402,0.0409032998627336,0.24572967266021,0.212589519023418,4158,"tags=45%, list=22%, signal=36%","16410/12816/22083/235497/235626/76246/12831/22370/13813/54624/12832/214498/14268/14784/16323","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0035987"
"GO:0051341","regulation of oxidoreductase activity",88,-0.354538742807015,-1.39858127946475,0.0412044374009509,0.246898809780828,0.213600981316327,3655,"tags=30%, list=19%, signal=24%","56632/57320/13057/107607/13361/11609/12034/54683/12389/64384/17992/12856/13115/16175/14870/68165/18033/11754/14528/13492/50873/14678/11651/17751/20193/11816","GO BP","Transcriptomics","Down","Nominal P < 0.05",FALSE,"GO BP:GO:0051341"
"GO:0090140","regulation of mitochondrial fission",37,0.41578309160989,1.43631655917669,0.0412360019674632,0.246898809780828,0.213600981316327,4198,"tags=49%, list=22%, signal=38%","65114/12176/20847/74006/69104/19017/17762/13179/223601/72759/15944/72542/72108/56044/70435/16145/215999/75734","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0090140"
"GO:1902430","negative regulation of amyloid-beta formation",19,0.509787800078592,1.49881180605519,0.04129250270767,0.246898809780828,0.213600981316327,1265,"tags=37%, list=7%, signal=34%","68585/27403/260302/20660/104001/16000/20168","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:1902430"
"GO:0009048","dosage compensation by inactivation of X chromosome",30,0.436490784283405,1.43576319127667,0.04129250270767,0.246898809780828,0.213600981316327,5029,"tags=47%, list=26%, signal=34%","76719/16468/12593/74355/69612/76073/15161/67773/52615/50912/231386/108155/56335/229700","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0009048"
"GO:0150077","regulation of neuroinflammatory response",30,0.43561184435205,1.43287206585955,0.04129250270767,0.246898809780828,0.213600981316327,2615,"tags=30%, list=14%, signal=26%","66725/20312/15525/11920/16835/16000/329731/57781/20698","GO BP","Transcriptomics","Up","Nominal P < 0.05",FALSE,"GO BP:GO:0150077"
