"EntrezID","Statistic"
"59287",1.57151052566611
"383348",1.57036150399456
"54127",1.57019572844688
"13854",1.56922885804731
"68539",1.56658097282487
"11797",1.56533833789198
"60321",1.56495117228313
"11421",1.56473730153891
"237847",1.56057002282722
"12322",1.55814844472272
"18166",1.55813956746853
"16825",1.55692280033495
"217779",1.55622942894581
"54357",1.553667939095
"29806",1.55331348147327
"12751",1.55155142663454
"20523",1.54968847691241
"56438",1.54811854230599
"70568",1.5472051373315
"233824",1.54659045818236
"228942",1.54390684464901
"56013",1.54375125577018
"105663",1.5429648325417
"67788",1.54287657086225
"19946",1.53803410417749
"106344",1.5367462947293
"223601",1.53598120415033
"56199",1.53537012685528
"73699",1.53306976124287
"214063",1.53163144670861
"21991",1.53159791991615
"94332",1.5313819273476
"108097",1.53086496093574
"70314",1.52900339775519
"14264",1.52650265345809
"68192",1.52453155014541
"218952",1.5235208299751
"380686",1.52350299711871
"15569",1.52242206774124
"69906",1.5215130159074
"110312",1.52075122712711
"19378",1.52023497640961
"67845",1.52020611570016
"56508",1.51997152765653
"110157",1.51820233878101
"109778",1.51639637709889
"68052",1.51618473280309
"70757",1.51589418009605
"19659",1.51588150377501
"13340",1.51496769759878
"30928",1.51412993108209
"237500",1.5140924561892
"57138",1.51327449113952
"20085",1.51288294207214
"381979",1.51120829482802
"69642",1.51045896607768
"214917",1.51021045113017
"54381",1.50926348025737
"66854",1.50734453231013
"69742",1.50508156699615
"330064",1.50499414837713
"19035",1.50352139395723
"75530",1.50247294614333
"245446",1.50236971440594
"57751",1.50222470377911
"231014",1.50209619845694
"11769",1.50114644673211
"277463",1.50066648834211
"236643",1.5004854080254
"18682",1.50034574888505
"57837",1.49548396664784
"76308",1.49401099771567
"217843",1.49360752164939
"27377",1.49330795875114
"140919",1.49251852295419
"19243",1.49184743047943
"57357",1.49151398663968
"232157",1.49147497471683
"67671",1.49113306598147
"65019",1.48852214844141
"76688",1.48774357091783
"239606",1.48765877443173
"20535",1.48756240429336
"23943",1.48693715716063
"13360",1.48638479339991
"67767",1.48630314690492
"66230",1.48532521916308
"76630",1.48261586497538
"17532",1.4795548215624
"20657",1.4787554067109
"12632",1.47802705889721
"52575",1.47760664395089
"26942",1.47539769468674
"14132",1.47155210450426
"30050",1.47001611411653
"269109",1.46939130542372
"192287",1.4693432098277
"330171",1.46895515112896
"53312",1.46890151539047
"70567",1.46877571103549
"234384",1.46850021770888
"58193",1.46625252278072
"14700",1.46431263234301
"67308",1.45747931059911
"19063",1.45616248806482
"17884",1.4540687972469
"244418",1.45171896313515
"12919",1.45069250986762
"19341",1.44814803484678
"636808",1.44692062509707
"243382",1.44632780534479
"67568",1.44537549555008
"19012",1.44401525280177
"269717",1.44340215084151
"20740",1.44277613922343
"217219",1.44127564367431
"242721",1.43976518287126
"26430",1.43933556714605
"18189",1.43923853766667
"211948",1.43893679712945
"19215",1.43863762934675
"27050",1.43845580060837
"74525",1.43837208336029
"12794",1.43544963920726
"333050",1.43396514121964
"72354",1.43339644403147
"319278",1.42955508372973
"108682",1.4278795976837
"114641",1.42741124290569
"269061",1.42586549356458
"98238",1.42577928706463
"16783",1.42359174528024
"67075",1.42326842076106
"66071",1.42262243513672
"22384",1.42257138768033
"70231",1.42138950304784
"277854",1.41911045244347
"20661",1.41856558264569
"12675",1.41798740141595
"97820",1.41764561536982
"12727",1.416075267969
"66660",1.41448930510091
"11787",1.41357773922158
"54122",1.41248907943314
"13121",1.41215475935719
"20467",1.41108512044148
"20779",1.41100829347956
"319734",1.40964839898734
"235402",1.40901386589768
"13040",1.40802544036803
"67116",1.40761588902775
"72605",1.40746909202805
"67516",1.40684075281034
