"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","Evidence","FDRSignificant","PathwayKey"
"GO:0031929","TOR signaling",170,0.327638814364974,1.51022610087487,0.0013617349389979,0.0270810233636448,0.0234287608379312,3572,"tags=31%, list=19%, signal=25%","22284/67419/18099/56637/19699/108079/97998/320311/107045/271981/277854/56717/110616/22215/74374/11920/56480/68441/270802/216742/11865/319481/18749/237898/15251/56032/75425/72175/22628/78757/52187/22631/69159/66629/69470/224826/18712/252870/18706/83429/70713/72508/74370/66443/230676/17165/15565/268933/26554/66797/58864/83924","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0031929"
"GO:0060560","developmental growth involved in morphogenesis",284,0.295907028749325,1.44746335834788,0.00138445028433383,0.027369530993776,0.0236783590962945,3177,"tags=27%, list=17%, signal=23%","210108/320027/17356/68585/11820/330914/13175/22284/77300/382253/20979/56637/20346/18472/17755/18479/12808/69737/11622/13640/239667/235072/15519/20404/52822/99982/54338/20983/20347/14042/20563/232370/18377/12159/19211/12550/14567/19014/319740/21960/12168/16728/104382/22129/54214/20355/74132/13690/20351/17762/116838/83431/106042/382018/20357/75605/76499/18786/22418/225348/81904/396184/381350/20980/13193/18998/99152/70834/19227/12904/76884/27279/20358/20361/71461/15516/240058","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0060560"
"GO:0061620","glycolytic process through glucose-6-phosphate",20,0.628924930561918,1.88012338880048,0.0013848706571567,0.027369530993776,0.0236783590962945,3286,"tags=55%, list=17%, signal=46%","56421/18642/13807/433182/18746/11674/56012/13806/18655/21991/14430","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0061620"
"GO:0008038","neuron recognition",47,0.474236940648516,1.71770848508721,0.00139514177755694,0.0274868926609355,0.0237798928675446,2263,"tags=36%, list=12%, signal=32%","68585/11820/67784/20346/268902/319504/244682/13723/14042/53870/229715/16728/12801/12569/22631/72832/22418","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0008038"
"GO:1901888","regulation of cell junction assembly",243,0.303255667886689,1.46401159083949,0.00141005237144761,0.0276158543057911,0.0238914621939329,2299,"tags=25%, list=12%, signal=22%","399558/99633/11820/19266/76965/14083/56637/208643/19878/65945/320840/245446/13640/65114/18222/18606/17260/60367/18708/242384/12405/21983/17926/331461/13836/192167/16150/107065/12404/20563/232370/76707/19211/319387/107831/229715/100042150/243725/13829/211323/105352/225875/216856/330814/69697/20351/68792/171171/21826/14810/76499/216028/382864/13048/238205/76089/50768/22418/21838/211187","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:1901888"
"GO:0016236","macroautophagy",265,0.293078843005767,1.42226123252904,0.00141150768451972,0.0276158543057911,0.0238914621939329,3895,"tags=30%, list=20%, signal=24%","11938/66725/11975/100502841/17966/108079/17918/225326/98732/72145/20924/12176/244962/56717/64113/77573/18571/245860/214063/230895/74374/11920/15194/56480/269523/75909/76559/12421/226407/18711/228361/94178/71742/20479/75669/66270/217695/54609/15251/72175/209815/218035/13179/76561/67727/18786/227738/54636/74244/20333/19324/15944/319801/268656/242557/51897/117150/116733/106064/19305/68942/67166/56085/22333/80743/320869/268933/100504663/16145/211978/59026/67846/18715/229722/12317/80877/14466/67474/67490","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0016236"
"GO:0009100","glycoprotein metabolic process",341,0.274817802466132,1.36461700097229,0.00141474663451799,0.0276158543057911,0.0238914621939329,3069,"tags=24%, list=16%, signal=20%","76055/26878/27403/69352/18795/240119/71685/320011/94229/380959/107895/68292/244745/14348/211673/20454/56846/15476/78923/100910/195646/268510/17158/54616/56228/17156/14042/233040/50785/233781/16000/26879/53625/68059/242291/20442/23956/59287/83398/14584/15251/225742/68169/14538/11977/11595/16795/57783/80286/387314/233038/278279/66967/16430/333424/230815/66629/17309/67422/12043/12156/19324/94192/74653/54128/270049/240725/52120/71797/14537/12824/64580/328779/99412/16337/233824/70551/59031/11305/232313/99011","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:0009100"
"GO:1901985","positive regulation of protein acetylation",29,0.539452089151009,1.76541798552954,0.00142781153580497,0.0277167393743853,0.0239787414711032,2192,"tags=38%, list=11%, signal=34%","11820/108079/64451/319955/239667/11865/73873/319675/18854/13205/81898","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:1901985"
"GO:1903818","positive regulation of voltage-gated potassium channel activity",16,0.673396026248362,1.92398184495805,0.00142865286497856,0.0277167393743853,0.0239787414711032,1842,"tags=50%, list=10%, signal=45%","16485/238161/16502/241528/268345/229715/433809/230899","GO BP","Transcriptomics","Up","Nominal P < 0.05",TRUE,"GO BP:GO:1903818"
"mmu00670","One carbon pool by folate",37,-0.513529692346146,-1.70776014729965,0.00396331837290778,0.0283903009977679,0.0221366869378308,2527,"tags=35%, list=13%, signal=31%","269378/17768/107869/20425/665563/110695/107747/74340/68133/12411/434437/192166/104174","KEGG","Transcriptomics","Down","Nominal P < 0.05",TRUE,"KEGG:mmu00670"
