"Rank","RunningES","Statistic","Hit"
14994,-0.335894787722563,-0.773967656869025,FALSE
14995,-0.335947770662056,-0.774067285288599,FALSE
14996,-0.33600075360155,-0.774093094638502,FALSE
14997,-0.336053736541043,-0.774313106526833,FALSE
14998,-0.336106719480537,-0.774809544768858,FALSE
14999,-0.33615970242003,-0.775275307353225,FALSE
15000,-0.336212685359524,-0.775339660754225,FALSE
15001,-0.336265668299017,-0.77569819510361,FALSE
15002,-0.336318651238511,-0.775977652587086,FALSE
15003,-0.336371634178004,-0.776175136992919,FALSE
15004,-0.336424617117498,-0.776516007376839,FALSE
15005,-0.336477600056991,-0.776560105187692,FALSE
15006,-0.336530582996485,-0.776720888151364,FALSE
15007,-0.336583565935978,-0.776849191615082,FALSE
15008,-0.336636548875472,-0.77699209757269,FALSE
15009,-0.336689531814965,-0.777049597340305,FALSE
15010,-0.336742514754459,-0.777057798399615,FALSE
15011,-0.336795497693952,-0.777995905390744,FALSE
15012,-0.336848480633446,-0.778094044722997,FALSE
15013,-0.336901463572939,-0.778410549439925,FALSE
15014,-0.336954446512433,-0.778419211060242,FALSE
15015,-0.337007429451926,-0.778452857670114,FALSE
15016,-0.33706041239142,-0.778495781241155,FALSE
15017,-0.337113395330913,-0.779196723646002,FALSE
15018,-0.337166378270407,-0.77926285794868,FALSE
15019,-0.3372193612099,-0.77946144676547,FALSE
15020,-0.337272344149394,-0.779572901507079,FALSE
15021,-0.337325327088887,-0.779633909129186,FALSE
15022,-0.337378310028381,-0.779711567612068,FALSE
15023,-0.337431292967874,-0.779717839150467,FALSE
15024,-0.337484275907367,-0.779748708426074,FALSE
15025,-0.337537258846861,-0.780262372385497,FALSE
15026,-0.337590241786354,-0.78027407606448,FALSE
15027,-0.337643224725848,-0.7803455279203,FALSE
15028,-0.337696207665341,-0.78043538257092,FALSE
15029,-0.337749190604835,-0.780436321565988,FALSE
15030,-0.337802173544328,-0.780609831271799,FALSE
15031,-0.337855156483822,-0.780963807436433,FALSE
15032,-0.337908139423315,-0.781049044784848,FALSE
15033,-0.337961122362809,-0.781108717798417,FALSE
15034,-0.338014105302302,-0.781160252501385,FALSE
15035,-0.338067088241796,-0.781206156729206,FALSE
15036,-0.338120071181289,-0.781318666044799,FALSE
15037,-0.338173054120783,-0.781330463460297,FALSE
15038,-0.338226037060276,-0.781346380218448,FALSE
15039,-0.335454702757647,-0.78137553818792,TRUE
15040,-0.335507685697141,-0.781555938131215,FALSE
15041,-0.335560668636634,-0.781589642914365,FALSE
15042,-0.335613651576128,-0.781610636574651,FALSE
15043,-0.335666634515621,-0.78172596004018,FALSE
15044,-0.335719617455115,-0.781975461188874,FALSE
15045,-0.335772600394608,-0.782271402721659,FALSE
15046,-0.335825583334102,-0.782513900621759,FALSE
15047,-0.335878566273595,-0.782535035940167,FALSE
15048,-0.335931549213088,-0.782739016036558,FALSE
15049,-0.335984532152582,-0.782877284537375,FALSE
15050,-0.336037515092075,-0.782950909183926,FALSE
15051,-0.336090498031569,-0.783269651495006,FALSE
15052,-0.336143480971062,-0.783440540576171,FALSE
15053,-0.336196463910556,-0.783753392909655,FALSE
15054,-0.336249446850049,-0.783829374802674,FALSE
15055,-0.336302429789543,-0.783848076030367,FALSE
15056,-0.336355412729036,-0.783864249583142,FALSE
15057,-0.33640839566853,-0.783884384993402,FALSE
15058,-0.336461378608023,-0.784095185709569,FALSE
15059,-0.336514361547517,-0.784257523405177,FALSE
15060,-0.33656734448701,-0.784324345399327,FALSE
15061,-0.336620327426504,-0.784453511735753,FALSE
15062,-0.336673310365997,-0.784516099891458,FALSE
15063,-0.336726293305491,-0.784633601870672,FALSE
15064,-0.336779276244984,-0.784865643973788,FALSE
15065,-0.336832259184478,-0.785377077543859,FALSE
15066,-0.336885242123971,-0.785584770470482,FALSE
15067,-0.334098631417982,-0.785682708162362,TRUE
15068,-0.334151614357475,-0.786177387030687,FALSE
15069,-0.334204597296968,-0.786190480792208,FALSE
15070,-0.334257580236462,-0.786222628602244,FALSE
15071,-0.334310563175955,-0.786298805036748,FALSE
15072,-0.334363546115449,-0.786329071774897,FALSE
15073,-0.334416529054942,-0.786799815622573,FALSE
15074,-0.334469511994436,-0.786812751484475,FALSE
