"PathwayKey","Database","ID","Description","RNA_setSize","RNA_NES","RNA_pvalue","RNA_padj","RNA_leadingEdge","Protein_setSize","Protein_NES","Protein_pvalue","Protein_padj","Protein_leadingEdge","DirectionPattern","SharedPvalue","SharedFDR","JointPvalue"
"KEGG:mmu05170","KEGG","mmu05170","Human immunodeficiency virus 1 infection",203,1.03370766012057,0.345263157894737,0.545889046941679,"16438/13194/18708/26419/56717/26965/18479/26420/16150/11765/14677/19094/14695/14083/18706/667823/56480/11768/11764/12234/241656/19057/26413/18751/14704/72584/14681/17874/14688/14706/14696/100529082/15006/22390/16440/26414/15039/12631/252903/71609/16151/14827/26409/66513/11920/12367/18750/245000/16653/12043/434219/22030/12500/321006/69550/11767/18707/14697",119,1.16726034816368,0.191800878477306,0.514747656768155,"12928/14702/11769/12317/67923/66513/21402/18706/14082/14688/14682/56438/18176/26399/99375/26420/16885/72584/14083/14827/54131/11767/18709/64337/19353/75717/14672/18481/26419/72508/14700/26413/22033/224105/14704/321006","Both positive",FALSE,FALSE,0.345263157894737
"GO CC:GO:0008540","GO CC","GO:0008540","proteasome regulatory particle, base subcomplex",12,1.08164300769487,0.345309381237525,0.549883426424462,"21762/19181/23996/70247/19179/67089",12,1.44516107513561,0.0926916221033868,0.301374399735055,"67151/19182/19184/67089/66998/19181/21762/19179/23996","Both positive",FALSE,FALSE,0.345309381237525
"GO BP:GO:1901184","GO BP","GO:1901184","regulation of ERBB signaling pathway",66,1.07326356723567,0.345309381237525,0.706804370555839,"68585/232431/19255/231125/70294/230899/26367/72349/56044/19349/19664/78388/208994/29816/26365/19268/67845/12554/14103/21418/69601/192192/19271/227333/14158/58184/225608/208092/215114/108686",40,1.23963477796728,0.153364632237872,0.651608645438047,"67845/22088/58184/54725/231125/69178/11606/73711/28084/208092/19255/70294/19164/64143","Both positive",FALSE,FALSE,0.345309381237525
"GO BP:GO:0016081","GO BP","GO:0016081","synaptic vesicle docking",14,1.15392103526917,0.274428274428274,0.665452883484307,"22249/116838/56216/22318/18951/382018/116837",12,-1.09119849738689,0.345323741007194,0.832789725254782,"22249/116838/116837/13017/382018/208898","Opposite",FALSE,FALSE,0.345323741007194
"GO BP:GO:2000737","GO BP","GO:2000737","negative regulation of stem cell differentiation",29,-1.0791192202308,0.345419847328244,0.706804370555839,"15208/12454/22601/21386/14056/12193/18024/19712/16449/18128/71950",12,-1.6266983924047,0.0295985801482142,0.326394293027447,"106042/58202/15526/69562/77889/22601","Both negative",FALSE,FALSE,0.345419847328244
"GO BP:GO:0006479","GO BP","GO:0006479","protein methylation",105,1.06034705795849,0.345528455284553,0.706804370555839,"18537/72722/69612/102182/68215/12142/71974/67773/76719/66617/233904/232811/208043/235626/69544/116848/192195/225518/14852/12116/73251/15161/52690/69908/226830/238505/84505/213389/329504/74729/19346/68073/20638/207965/14526/214572/225888",48,1.29816723521403,0.120243531202435,0.609188084366167,"67674/52690/18537/72096/27632/67773/108155/68043/15468/213464/110147/232187/19346/214917/68215/140858/20638/57295/24116/71974/102182/66617/225363/17257","Both positive",FALSE,FALSE,0.345528455284553
"GO BP:GO:0008213","GO BP","GO:0008213","protein alkylation",105,1.06034705795849,0.345528455284553,0.706804370555839,"18537/72722/69612/102182/68215/12142/71974/67773/76719/66617/233904/232811/208043/235626/69544/116848/192195/225518/14852/12116/73251/15161/52690/69908/226830/238505/84505/213389/329504/74729/19346/68073/20638/207965/14526/214572/225888",48,1.29816723521403,0.120243531202435,0.609188084366167,"67674/52690/18537/72096/27632/67773/108155/68043/15468/213464/110147/232187/19346/214917/68215/140858/20638/57295/24116/71974/102182/66617/225363/17257","Both positive",FALSE,FALSE,0.345528455284553
"GO BP:GO:1904263","GO BP","GO:1904263","positive regulation of TORC1 signaling",52,1.32293024201418,0.10261569416499,0.435156392902872,"74374/83429/56480/237898/107045/52187/68441/268933/319481/22258/20811/216742/225131/219024/54170/224023/26554/70713/18712/72508/83924",37,1.06709039144888,0.34585289514867,0.832789725254782,"76630/68526/68576/20779/56438/56692/68845/93687/72508/216805","Both positive",FALSE,FALSE,0.34585289514867
"GO BP:GO:0052372","GO BP","GO:0052372","modulation by symbiont of entry into host",55,1.07729870761455,0.346076458752515,0.707316061316352,"16410/20597/667823/27354/66482/53413/94088/18550/319415/227753/19360/20821/67525/16149/434219/17069/12265/319236",16,1.11265685454536,0.333889816360601,0.820018590541022,"20597/80876/16410","Both positive",FALSE,FALSE,0.346076458752515
"GO MF:GO:0005109","GO MF","GO:0005109","frizzled binding",41,1.45292579456865,0.0389674318354873,0.205970711130433,"99470/11820/13544/94221/72780/17926/22410/22420/26564/22409/216795/22418/68588",10,1.10189821902675,0.346760070052539,0.83521687846349,"56334/13542/72780/94221/11820","Both positive",FALSE,FALSE,0.346760070052539
