"EntrezID","PearsonR"
"12808",0.931168785421831
"319818",0.931093806848716
"76582",0.931035437937028
"27403",0.930855806981212
"69697",0.930814932556807
"72590",0.930743393075225
"78088",0.930437245925195
"14086",0.930378436964502
"22201",0.930173280857811
"217951",0.930114522699182
"71728",0.930088651446507
"16764",0.930032536399858
"216148",0.929986411907832
"67412",0.929908887999009
"69352",0.929867657367013
"226922",0.929521622156529
"72580",0.929238382850334
"99633",0.929170382660246
"54216",0.929108366117848
"217207",0.928740880448503
"269682",0.928716736791791
"232023",0.928419210331898
"28000",0.928365213864772
"236899",0.928313344553373
"22190",0.928290087748636
"320840",0.928031414584457
"101613",0.92802116512753
"59025",0.927709639977124
"228942",0.927632738135996
"18798",0.927497061103319
"14219",0.92748636321638
"110876",0.92737303233395
"320091",0.927282931865391
"14042",0.92724077550654
"217342",0.927137457211146
"319875",0.927073145221481
"26408",0.926978138428549
"229214",0.926308283687384
"244579",0.926290429693216
"231238",0.926259707939657
"50722",0.926237398020197
"75646",0.92593388413428
"16570",0.925824648366726
"12816",0.925654503353491
"74011",0.925491844886308
"107975",0.925391305733784
"20597",0.925360870102253
"12827",0.925002280063957
"18479",0.924860564545666
"18484",0.924468024366513
"104816",0.924380067068414
"75607",0.924323752820963
"11496",0.924060522556994
"382504",0.923964138793184
"16191",0.923955653158546
"27278",0.923955653158546
"56293",0.923955653158546
"625004",0.923955653158546
"665772",0.923955653158546
"668429",0.923955653158546
"107568",0.92389552799368
"11966",0.923841848148436
"19272",0.923523924006392
"56017",0.923285835109473
"56043",0.923202784547504
"16782",0.92316569871047
"20472",0.923157137882324
"207686",0.923120668617114
"26420",0.923095384450063
"232664",0.923010364865612
"27062",0.922955370862709
"228136",0.92274852552175
"50918",0.921835988237367
"50772",0.921756169367977
"80283",0.921708933941171
"216565",0.92157546685883
"433766",0.921451913552232
"12939",0.921284558065228
"74315",0.921262553354785
"54373",0.921204717987932
"93713",0.921162263295048
"16150",0.921143189657163
"234733",0.921093549142564
"214597",0.92108298924186
"14411",0.921047293510493
"13052",0.921022424317101
"11746",0.920952375028542
"23792",0.920800308116748
"241075",0.920431499880413
"15259",0.920413232309763
"16364",0.920165418319615
"72324",0.919988047232507
"67826",0.919942608721481
"211187",0.919648340934765
"210108",0.919603086521419
"19822",0.91935710788566
"19337",0.918978965238386
"229227",0.918847817956051
"67948",0.918818036539045
"107831",0.918688229562022
"225362",0.918305761930267
"231207",0.918194419398462
"19258",0.917988658841162
"21830",0.917951202606278
"52846",0.917665453226462
"216856",0.917598827760576
"76707",0.917539248080844
"225875",0.917450267699955
"217038",0.917387108920238
"381113",0.917213260586198
"11750",0.917085067346289
"330286",0.916912503190634
"11765",0.916902577232958
"26373",0.916771741951505
"19699",0.916711017643832
"110380",0.916677945653099
"12847",0.916447942034735
"17685",0.916352345460847
"64451",0.916226982454383
"20742",0.916091216540953
"16997",0.916047788132755
"76580",0.91579661310975
"635702",0.91569223873461
"223593",0.915470833115518
"68510",0.915364321469765
"13030",0.915212922866944
"12111",0.91508434683382
"68725",0.915037080802695
"78248",0.914883245422204
"16500",0.914796490031612
"69554",0.914664055763132
"26879",0.914590231623259
"20979",0.914478484722241
"71927",0.914455024033288
"23969",0.914316864777763
"64176",0.914165193076237
"72899",0.914139382369609
"18573",0.914125083171693
"399558",0.914074440309675
"66994",0.913890791862458
"72722",0.91380140704313
"68770",0.913776147767179
"216961",0.913753887893333
"242773",0.913726501783028
"12405",0.913473188590127
"268656",0.913442575533268
"331461",0.913397575738253
"30960",0.91319099314522
"14677",0.91314774218932
"239667",0.912783628433229
"13497",0.912455894648466
"56715",0.912448281163709
"11889",0.912448007135522
"18548",0.912405134433654
"74126",0.912010233414622
"20713",0.911995931225077
"19072",0.911966960182047
"100039815",0.911759429270485
"54130",0.911046171565769
"227154",0.911044068856511
"72313",0.910932607028967
"108934",0.910840324541082
"277854",0.910676148220489
"93692",0.909643601194796
"11820",0.909556347867496
"13000",0.909161340755228
"19359",0.909064043660165
"16924",0.908857003430616
