"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Database","Omics","Direction","PathwayKey"
"GO:0051225","spindle assembly",122,0.260338083176184,1.39501178544249,0.0201395199460039,0.165498853027784,0.146474228786453,3716,"tags=28%, list=19%, signal=23%","67300/212307/13424/13194/16319/19822/76707/223593/16569/67141/384619/19211/73420/53869/52023/233276/17350/213582/26934/328580/16563/24061/68942/22154/99412/76499/16211/106042/225745/100732/59002/20460/17865/74237","GO BP","Transcriptomics","Positive","GO BP:GO:0051225"
"GO:0071782","endoplasmic reticulum tubular network",30,0.38580869372753,1.51953814337166,0.0472087216474476,0.165667643559098,0.124003416023266,4355,"tags=47%, list=23%, signal=36%","68585/225362/73991/52250/13476/319740/69605/226407/20866/56298/16211/237542/19330/65973","GO CC","Transcriptomics","Positive","GO CC:GO:0071782"
"GO:0021860","pyramidal neuron development",13,0.53482736766789,1.6339117920752,0.0202884427150907,0.165943116631654,0.146867422863417,2486,"tags=46%, list=13%, signal=40%","213326/94229/11977/74244/328365/13193","GO BP","Transcriptomics","Positive","GO BP:GO:0021860"
"GO:0140058","neuron projection arborization",32,0.402576782893529,1.59684244888066,0.0203599353178584,0.165943116631654,0.146867422863417,4650,"tags=53%, list=24%, signal=40%","20346/13544/80883/17356/66725/22142/270163/21983/22418/171171/29859/140486/216049/13542/71751/192167/19242","GO BP","Transcriptomics","Positive","GO BP:GO:0140058"
"GO:0006869","lipid transport",409,0.198032076680049,1.25454789188097,0.0203599353178584,0.165943116631654,0.146867422863417,4389,"tags=30%, list=23%, signal=23%","16410/56745/69863/11980/110611/227446/22234/73658/27403/320091/26420/228136/30960/14081/218335/16891/245860/71720/320560/74486/116733/75909/15466/497097/77619/217265/107508/14719/18095/21943/79196/27410/21934/20750/68505/271564/11981/28253/12161/235283/50769/216225/67484/16416/18738/68299/170459/100102/76559/18399/64291/13645/19156/12904/50790/53357/19662/19879/26569/666173/327958/244152/214601/27801/12921/11815/23943/69981/26874/170731/238257/18777/26367/433256/18126/18671/15450/13132/18784/12953/76295/68039/18550/321007/12780/20517/75089/211323/57264/18718/237542/99296/237636/228787/11304/20788/20288/12306/18391/16534/17250/75605/67166/16835/12918/19016/233979/11421/217262/192663/26365/237625/54670/228432/58207/71027/16952/110460/12952/17339/21405","GO BP","Transcriptomics","Positive","GO BP:GO:0006869"
"GO:0021940","positive regulation of cerebellar granule cell precursor proliferation",11,-0.601789596658398,-1.70753315878873,0.0203877218944833,0.165943116631654,0.146867422863417,2560,"tags=64%, list=13%, signal=55%","14632/16873/319757/16869/14173/171469/14633","GO BP","Transcriptomics","Negative","GO BP:GO:0021940"
"GO:1901605","alpha-amino acid metabolic process",189,-0.237582681045696,-1.36471577541847,0.0204010665003187,0.165943116631654,0.146867422863417,5238,"tags=38%, list=27%, signal=28%","107146/15445/18416/19193/14431/107766/109900/22228/18125/269378/26433/108156/18242/30956/108037/71275/13180/17986/69051/13361/15378/70337/57320/246221/69219/12012/107869/56720/214579/14598/19125/100678/257635/20768/67432/50493/246277/108682/68133/100039707/76615/26432/212647/434437/104923/237823/107272/227095/210009/18263/192166/70503/110391/20751/20425/15108/78038/17850/14645/12411/56357/76187/14661/104174/66885/104776/665563/56448/66514/22293/236539","GO BP","Transcriptomics","Negative","GO BP:GO:1901605"
"GO:0045926","negative regulation of growth",258,0.219278690073014,1.32319168155778,0.0204010665003187,0.165943116631654,0.146867422863417,4221,"tags=30%, list=22%, signal=24%","68585/20239/11479/22401/19736/20346/18479/13052/210108/239667/67155/22431/71839/19094/320027/20347/73379/20378/14083/19211/13806/18133/12550/56637/20586/70834/22129/11554/11556/20563/17684/63953/209212/19662/100042784/18121/12575/72843/232339/22418/230899/236266/239790/18605/433182/20351/13132/18854/19280/14706/74132/20459/233805/67655/16468/20355/15251/21960/108151/20354/13205/64010/12631/59011/75766/22241/211652/11789/71254/19016/24087/216233/12168/20358/12043/108655/12568","GO BP","Transcriptomics","Positive","GO BP:GO:0045926"
"GO:0048668","collateral sprouting",33,0.383099984941224,1.5408890379338,0.0204146076145973,0.165943116631654,0.146867422863417,3614,"tags=36%, list=19%, signal=30%","12808/11820/320027/13640/235072/18377/12904/13193/19280/65086/20354/22241","GO BP","Transcriptomics","Positive","GO BP:GO:0048668"
"GO:0031334","positive regulation of protein-containing complex assembly",203,0.229775535211683,1.33501889401547,0.0204146076145973,0.165943116631654,0.146867422863417,3991,"tags=28%, list=21%, signal=22%","228361/13191/75786/26419/56717/14086/18479/16191/26420/17762/11622/17973/208643/58804/14544/20616/12562/27410/71902/56637/269523/22410/83679/100862177/78473/58799/11845/666048/108100/218333/26401/22249/19052/14234/14784/328108/12125/17755/56430/13383/260315/18552/100038882/17874/15519/72948/216742/211323/105377/13205/22375/75739/11789/207495/29816/11920/116837","GO BP","Transcriptomics","Positive","GO BP:GO:0031334"
"GO:0035970","peptidyl-threonine dephosphorylation",16,0.517046330126641,1.67341270640614,0.0204289996988212,0.165943116631654,0.146867422863417,2881,"tags=44%, list=15%, signal=37%","19042/381511/72542/243382/19052/63953/19043","GO BP","Transcriptomics","Positive","GO BP:GO:0035970"
"GO:0034976","response to endoplasmic reticulum stress",259,0.218829000537412,1.32029586222954,0.0205785803665217,0.166944391106412,0.147753597624212,4255,"tags=30%, list=22%, signal=24%","16438/56228/63913/18708/27403/59025/26408/74126/11820/17973/72607/13666/269695/208643/230249/320011/68292/26754/71472/58801/230815/223455/20338/56637/66725/269523/110616/233038/53323/74143/19255/51795/56807/17156/19418/26943/19053/12364/53357/63958/12125/74006/69187/54609/69232/16145/75841/75212/18023/18854/66861/56085/14251/69065/76299/233040/50527/13205/72053/16334/216440/320709/216157/224109/16151/14827/226641/67878/17118/12367/66967/12043/108159/26926/140630/217365/227619/70551","GO BP","Transcriptomics","Positive","GO BP:GO:0034976"
