"Rank","PearsonR","RunningES","IsHit","EntrezID"
1876,0.7482216293475,0.196673238503822,FALSE,"12292"
1877,0.748155939364504,0.196620179661566,FALSE,"99237"
1878,0.748056114395108,0.19656712081931,FALSE,"75805"
1879,0.74803836009731,0.196514061977054,FALSE,"53870"
1880,0.747957936917004,0.196461003134798,FALSE,"18974"
1881,0.747886110513968,0.196407944292542,FALSE,"16563"
1882,0.747769817331562,0.196354885450286,FALSE,"60455"
1883,0.74760516633127,0.19630182660803,FALSE,"381199"
1884,0.747557866207422,0.196248767765774,FALSE,"100504715"
1885,0.747353926621563,0.196195708923518,FALSE,"100101806"
1886,0.747216276412071,0.196142650081262,FALSE,"24061"
1887,0.746881128067732,0.196089591239006,FALSE,"15204"
1888,0.746850587738674,0.19603653239675,FALSE,"73845"
1889,0.746797381884251,0.195983473554494,FALSE,"104010"
1890,0.746713477227647,0.195930414712237,FALSE,"15557"
1891,0.746647355364096,0.195877355869981,FALSE,"225266"
1892,0.746542046632452,0.195824297027725,FALSE,"71544"
1893,0.746300057800849,0.195771238185469,FALSE,"67062"
1894,0.746173910187764,0.195718179343213,FALSE,"21376"
1895,0.74614253630787,0.195665120500957,FALSE,"101471"
1896,0.745994152372483,0.195612061658701,FALSE,"20623"
1897,0.745982763612843,0.195559002816445,FALSE,"433931"
1898,0.745772278041706,0.199932840306377,TRUE,"19053"
1899,0.745720130323465,0.199879781464121,FALSE,"72371"
1900,0.745680904653426,0.199826722621865,FALSE,"209212"
1901,0.745659283185382,0.199773663779609,FALSE,"69159"
1902,0.745560949013684,0.199720604937353,FALSE,"232370"
1903,0.745544308815962,0.199667546095097,FALSE,"231874"
1904,0.745526674942101,0.199614487252841,FALSE,"66352"
1905,0.745472714735066,0.199561428410585,FALSE,"244049"
1906,0.745442049687695,0.199508369568329,FALSE,"216795"
1907,0.745432028779289,0.199455310726073,FALSE,"235461"
1908,0.745347438562928,0.199402251883817,FALSE,"12364"
1909,0.745347075781953,0.199349193041561,FALSE,"17528"
1910,0.745281843813994,0.199296134199304,FALSE,"72772"
1911,0.744435775400313,0.199243075357048,FALSE,"21821"
1912,0.744409495414124,0.199190016514792,FALSE,"77552"
1913,0.744390638571072,0.199136957672536,FALSE,"210094"
1914,0.744129151620627,0.19908389883028,FALSE,"668166"
1915,0.744121186590396,0.199030839988024,FALSE,"76246"
1916,0.743947356677074,0.198977781145768,FALSE,"213993"
1917,0.743692077420138,0.198924722303512,FALSE,"53357"
1918,0.743679716580189,0.198871663461256,FALSE,"11671"
1919,0.743469549372068,0.198818604619,FALSE,"433693"
1920,0.742974358622865,0.198765545776744,FALSE,"14784"
1921,0.742729349944676,0.198712486934488,FALSE,"319888"
1922,0.742683841112771,0.198659428092232,FALSE,"244431"
1923,0.742413885975926,0.198606369249976,FALSE,"72972"
1924,0.742396580025109,0.19855331040772,FALSE,"14430"
1925,0.742345512219555,0.198500251565464,FALSE,"66235"
1926,0.742280083663899,0.198447192723207,FALSE,"16512"
1927,0.742224377231666,0.198394133880951,FALSE,"76980"
1928,0.742165270797113,0.198341075038695,FALSE,"69983"
1929,0.742109435399894,0.198288016196439,FALSE,"67123"
1930,0.742059575704949,0.198234957354183,FALSE,"14567"
1931,0.741885934569833,0.198181898511927,FALSE,"19662"
1932,0.741662793077641,0.198128839669671,FALSE,"16658"
1933,0.741589195945472,0.198075780827415,FALSE,"74251"
1934,0.74157795578966,0.198022721985159,FALSE,"12091"
1935,0.741559103957239,0.197969663142903,FALSE,"210145"
1936,0.741528619997917,0.197916604300647,FALSE,"240754"
1937,0.741445191701253,0.197863545458391,FALSE,"54387"
1938,0.741257132141461,0.197810486616135,FALSE,"13813"
1939,0.741248150872364,0.197757427773879,FALSE,"330222"
1940,0.741070255147545,0.197704368931623,FALSE,"17344"
1941,0.740942079796065,0.197651310089367,FALSE,"218811"
1942,0.740917880492285,0.197598251247111,FALSE,"12325"
1943,0.740870751838883,0.197545192404854,FALSE,"18751"
1944,0.740758652019225,0.197492133562598,FALSE,"19879"
1945,0.74073586864159,0.197439074720342,FALSE,"53858"
1946,0.740731002660109,0.197386015878086,FALSE,"230991"
1947,0.740536366945386,0.19733295703583,FALSE,"504186"
1948,0.740512518942818,0.197279898193574,FALSE,"100042784"
1949,0.740468131160422,0.197226839351318,FALSE,"12753"
1950,0.740289427017668,0.197173780509062,FALSE,"18121"
1951,0.740256230616385,0.197120721666806,FALSE,"227800"
1952,0.740133738078101,0.19706766282455,FALSE,"382864"
1953,0.739742343604054,0.197014603982294,FALSE,"14466"
1954,0.739705841008053,0.196961545140038,FALSE,"70223"
1955,0.739234770720114,0.196908486297782,FALSE,"224090"
1956,0.738987001157386,0.196855427455526,FALSE,"26569"
1957,0.738958178458423,0.19680236861327,FALSE,"51797"
1958,0.738918397577963,0.196749309771014,FALSE,"67729"
1959,0.738717245261274,0.196696250928757,FALSE,"68137"
1960,0.738531469268319,0.196643192086501,FALSE,"14584"
1961,0.738446849550773,0.196590133244245,FALSE,"53415"
1962,0.738236983113077,0.196537074401989,FALSE,"270066"
1963,0.738226093148153,0.196484015559733,FALSE,"11522"
1964,0.738101538117463,0.196430956717477,FALSE,"73713"
1965,0.738081178725353,0.196377897875221,FALSE,"54450"
1966,0.738057090712175,0.196324839032965,FALSE,"63958"
1967,0.737997428892613,0.196271780190709,FALSE,"16847"
1968,0.737874149955838,0.196218721348453,FALSE,"228807"
1969,0.737548513781534,0.196165662506197,FALSE,"69780"
1970,0.737166262221222,0.196112603663941,FALSE,"56224"
1971,0.737118612954088,0.196059544821685,FALSE,"20509"
1972,0.73707058762596,0.196006485979429,FALSE,"104271"
1973,0.736931943488606,0.195953427137173,FALSE,"109929"
1974,0.736813711463244,0.195900368294916,FALSE,"70227"
1975,0.736762940866992,0.19584730945266,FALSE,"234593"
1976,0.736727718554711,0.195794250610404,FALSE,"66930"
1977,0.736675336127019,0.195741191768148,FALSE,"209446"
1978,0.736605275230919,0.195688132925892,FALSE,"56149"
1979,0.736511956860964,0.195635074083636,FALSE,"11636"
1980,0.736211448162046,0.19558201524138,FALSE,"70472"
1981,0.73619268570242,0.195528956399124,FALSE,"14252"
1982,0.736077087615594,0.199845933117201,TRUE,"74302"
1983,0.735850791515546,0.199792874274945,FALSE,"105732"
1984,0.735512277807788,0.199739815432689,FALSE,"76747"
1985,0.735319015287523,0.199686756590433,FALSE,"69617"
1986,0.735282127136214,0.199633697748177,FALSE,"11835"
1987,0.735244025234288,0.199580638905921,FALSE,"14194"
1988,0.735219509973312,0.199527580063665,FALSE,"59054"
1989,0.735113657947611,0.199474521221408,FALSE,"674228"
1990,0.735028646255701,0.199421462379152,FALSE,"70208"
1991,0.734974663985178,0.199368403536896,FALSE,"328108"
1992,0.734782076853808,0.19931534469464,FALSE,"68666"
1993,0.734672719572196,0.199262285852384,FALSE,"241846"
1994,0.734601105696997,0.199209227010128,FALSE,"78560"
