"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity",3,22,19,17692,"3/19","22/17692",126.976076555024,1.59638973858344e-06,"17716/17718/17722",0.000324865311801729,"ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu05415","Diabetic cardiomyopathy",5,202,19,17692,"5/19","202/17692",23.0484627410109,1.88514931490778e-06,"17705/17711/17716/17718/17722",0.000293196570733908,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:0005746","mitochondrial respirasome",4,88,19,17692,"4/19","88/17692",42.3253588516746,2.09201887584703e-06,"17711/17716/17718/17722",0.000414811413893846,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:0098803","respiratory chain complex",4,89,19,17692,"4/19","89/17692",41.8497930218805,2.18897843743454e-06,"17711/17716/17718/17722",0.000414811413893846,"CYTB/ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu05208","Chemical carcinogenesis - reactive oxygen species",5,217,19,17692,"5/19","217/17692",21.4552510308028,2.67960766459508e-06,"17705/17711/17716/17718/17722",0.000293196570733908,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:0070469","respirasome",4,96,19,17692,"4/19","96/17692",38.7982456140351,2.96408202549048e-06,"17711/17716/17718/17722",0.000449354835064357,"CYTB/ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu04714","Thermogenesis",5,227,19,17692,"5/19","227/17692",20.5100857871551,3.34127146135507e-06,"17705/17711/17716/17718/17722",0.000293196570733908,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0006754","ATP biosynthetic process",4,99,19,17692,"4/19","99/17692",37.6225412014886,3.35199283210269e-06,"17716/17718/17722/17705",0.00235868562285626,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0022904","respiratory electron transport chain",4,99,19,17692,"4/19","99/17692",37.6225412014886,3.35199283210269e-06,"17711/17716/17718/17722",0.00235868562285626,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0006120","mitochondrial electron transport, NADH to ubiquinone",3,29,19,17692,"3/19","29/17692",96.3266787658802,3.76984693832233e-06,"17716/17718/17722",0.00238744406603953,"ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0045333","cellular respiration",5,242,19,17692,"5/19","242/17692",19.2387994780339,4.56807556085206e-06,"17711/17716/17718/17722/17705",0.00239278014531131,"CYTB/ND1/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0022900","electron transport chain",4,109,19,17692,"4/19","109/17692",34.1709319169483,4.92023613346969e-06,"17711/17716/17718/17722",0.00239278014531131,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",4,110,19,17692,"4/19","110/17692",33.8602870813397,5.10243472004147e-06,"17716/17718/17722/17705",0.00239278014531131,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0009145","purine nucleoside triphosphate biosynthetic process",4,111,19,17692,"4/19","111/17692",33.5552394499763,5.28958187815543e-06,"17716/17718/17722/17705",0.00239278014531131,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",3,33,19,17692,"3/19","33/17692",84.6507177033493,5.61371891028691e-06,"17716/17718/17722",0.000979192969922903,"ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0009201","ribonucleoside triphosphate biosynthetic process",4,115,19,17692,"4/19","115/17692",32.3881006864989,6.08938277377706e-06,"17716/17718/17722/17705",0.00257093740708867,"ND1/ND3/ND6/ATP6"
"Transcriptomics","KEGG","mmu05012","Parkinson disease",5,257,19,17692,"5/19","257/17692",18.1159123489658,6.12425288205164e-06,"17705/17711/17716/17718/17722",0.000386236368241821,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu05020","Prion disease",5,261,19,17692,"5/19","261/17692",17.8382738455334,6.60233108105677e-06,"17705/17711/17716/17718/17722",0.000386236368241821,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:1990204","oxidoreductase complex",4,120,19,17692,"4/19","120/17692",31.0385964912281,7.21096579015192e-06,"17711/17716/17718/17722",0.000910985344822526,"CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0009142","nucleoside triphosphate biosynthetic process",4,121,19,17692,"4/19","121/17692",30.7820791648543,7.45242435113774e-06,"17716/17718/17722/17705",0.00294976271348471,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO BP","GO:0046034","ATP metabolic process",4,133,19,17692,"4/19","133/17692",28.00474871389,1.0839203904032e-05,"17716/17718/17722/17705",0.00403792225436673,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO MF","GO:0015399","primary active transmembrane transporter activity",4,135,19,17692,"4/19","135/17692",27.5898635477583,1.14982150408485e-05,"17711/17716/17718/17722",0.00175491507060951,"CYTB/ND1/ND3/ND6"
"Transcriptomics","KEGG","mmu05016","Huntington disease",5,296,19,17692,"5/19","296/17692",15.7290184921764,1.21571729716998e-05,"17705/17711/17716/17718/17722",0.000609595387580948,"ATP6/CYTB/ND1/ND3/ND6"
"Transcriptomics","GO BP","GO:0009205","purine ribonucleoside triphosphate metabolic process",4,157,19,17692,"4/19","157/17692",23.723768018773,2.08517207208996e-05,"17716/17718/17722/17705",0.00725537540514013,"ND1/ND3/ND6/ATP6"
"Transcriptomics","GO CC","GO:0005747","mitochondrial respiratory chain complex I",3,51,19,17692,"3/19","51/17692",54.7739938080495,2.11668586237892e-05,"17716/17718/17722",0.00178271987075914,"ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:0030964","NADH dehydrogenase complex",3,51,19,17692,"3/19","51/17692",54.7739938080495,2.11668586237892e-05,"17716/17718/17722",0.00178271987075914,"ND1/ND3/ND6"
"Transcriptomics","GO CC","GO:0045271","respiratory chain complex I",3,51,19,17692,"3/19","51/17692",54.7739938080495,2.11668586237892e-05,"17716/17718/17722",0.00178271987075914,"ND1/ND3/ND6"
