"Omics","Category","TermID","Description","Overlap","SetSize","CandidateSize","BackgroundSize","GeneRatio","BgRatio","FoldEnrichment","Pvalue","OverlapEntrez","padj","OverlapGenes"
"Transcriptomics","GO BP","GO:0042481","regulation of odontogenesis",0,19,19,17692,"0/19","19/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0042487","regulation of odontogenesis of dentin-containing tooth",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0048713","regulation of oligodendrocyte differentiation",0,55,19,17692,"0/19","55/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0070445","regulation of oligodendrocyte progenitor proliferation",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0046620","regulation of organ growth",0,113,19,17692,"0/19","113/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902115","regulation of organelle assembly",0,224,19,17692,"0/19","224/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902513","regulation of organelle transport along microtubule",0,12,19,17692,"0/19","12/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045667","regulation of osteoblast differentiation",0,143,19,17692,"0/19","143/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0033688","regulation of osteoblast proliferation",0,30,19,17692,"0/19","30/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2001204","regulation of osteoclast development",0,11,19,17692,"0/19","11/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0045670","regulation of osteoclast differentiation",0,82,19,17692,"0/19","82/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002082","regulation of oxidative phosphorylation",0,27,19,17692,"0/19","27/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",0,36,19,17692,"0/19","36/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1903376","regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",0,17,19,17692,"0/19","17/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0051341","regulation of oxidoreductase activity",0,88,19,17692,"0/19","88/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:1900744","regulation of p38MAPK cascade",0,40,19,17692,"0/19","40/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0062207","regulation of pattern recognition receptor signaling pathway",0,137,19,17692,"0/19","137/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090276","regulation of peptide hormone secretion",0,245,19,17692,"0/19","245/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0002791","regulation of peptide secretion",0,250,19,17692,"0/19","250/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0090087","regulation of peptide transport",0,252,19,17692,"0/19","252/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:2000756","regulation of peptidyl-lysine acetylation",0,32,19,17692,"0/19","32/17692",0,1,"",1,""
"Transcriptomics","GO BP","GO:0010799","regulation of peptidyl-threonine phosphorylation",0,49,19,17692,"0/19","49/17692",0,1,"",1,""
