"GeneID","GeneName","CON-R1-1","CON-R1-2","CON-R1-3","Asphyxia-R1-1","Asphyxia-R1-2","Asphyxia-R1-3"
"ENSMUSG00000095044","Gm6401",0,0,0,0,0,0
"ENSMUSG00000095048","Msantd5f2",0,0,0,0,0,0
"ENSMUSG00000095049","Gm21756",0,0,0,0,0,0
"ENSMUSG00000095054","Gm13146",0,0,0,3.8967972137684,2.1477703085214,2.71887888988354
"ENSMUSG00000095056","Gm3159",0,0,0,0,0,0
"ENSMUSG00000095057","Zfp353-ps",0,0,0,0,0,0
"ENSMUSG00000095061","E030018B13Rik",0,0,0,0,0,0
"ENSMUSG00000095063","Slx",0,0,0,0,0,0
"ENSMUSG00000095064","Vmn1r135",0,0,0,0,0,0
"ENSMUSG00000095065","Gm5947",0,0,0,0,0,0
"ENSMUSG00000095066","Defa20",0,0,0,0,0,0
"ENSMUSG00000095071","Tcstv2a",0,0,0,0,0,0
"ENSMUSG00000095074","Pramel42",0,0,0,0,0,0
"ENSMUSG00000095075","Or6c6",0,0,0,0,0,0
"ENSMUSG00000095078","Gm5866",0,0,0,0,0,0
"ENSMUSG00000095079","Igha",3.17618915143483,3.70884751717477,3.12725119800988,1.9483986068842,2.1477703085214,4.53146481647256
"ENSMUSG00000095081","Vmn1r257",0,0,0,0,0,0
"ENSMUSG00000095082","Gm15091",0,0,0,0,0,0
"ENSMUSG00000095088","Trav11d",0,0,0,0,0,0
"ENSMUSG00000095092","ENSMUSG00000095092",0,0,0,0,0,0
"ENSMUSG00000095093","Vmn2r111",0,0,0,0,1.0738851542607,0
"ENSMUSG00000095095","Or1e26",0,0,0,0,0,0
"ENSMUSG00000095096","Vmn2r-ps17",0,0,0,0,0,0
"ENSMUSG00000095098","Ccdc85b",2340.85140460747,1915.61974262077,2135.91256824075,2033.15394628366,1810.57037008354,1970.28090220227
"ENSMUSG00000095101","Gm13285",0,0,0,0,0,0
"ENSMUSG00000095103","Gm21171",0,0,0,0,0,0
"ENSMUSG00000095104","Esp15",0,0,0,0,0,0
"ENSMUSG00000095105","Edaradd",6.35237830286967,8.34490691364324,15.6362559900494,11.6903916413052,12.8866218511284,9.96922259623964
"ENSMUSG00000095107","Vmn2r-ps10",0,0,0,0,0,0
"ENSMUSG00000095113","Gm3633",0,0,0,0,0,0
"ENSMUSG00000095115","Itpripl2",214.922132580424,228.094122306248,254.349764104804,206.530252329725,195.447098075447,216.604018227388
"ENSMUSG00000095117","Ighv8-9",0,0,0,0,0,0
"ENSMUSG00000095125","Vmn1r198",0,0,0,0,0,0
"ENSMUSG00000095126","Trav6-7-dv9",0,0,0,0,0,0
"ENSMUSG00000095127","Ighv1-82",0,0,1.04241706600329,0,0,0.906292963294512
"ENSMUSG00000095128","Gm5709",0,0,0,0,0,0
"ENSMUSG00000095130","Ighv1-39",0,0,0,0,0,0
"ENSMUSG00000095134","Mid1-ps1",44.4666481200877,63.9776196712648,14.5938389240461,26.3033811929367,15.0343921596498,46.2209411280201
"ENSMUSG00000095135","Gm21858",0,0,0,0,0,0
"ENSMUSG00000095136","Gm12616",0,0,0,0,0,0
"ENSMUSG00000095138","Or6c35",0,0,0,0,0,0
"ENSMUSG00000095139","Pou3f2",578.06642556114,492.349507904951,784.94005070048,715.062288726501,685.138728418326,697.845581736775
"ENSMUSG00000095141","Gm28891",0,0,0,0,0,0
"ENSMUSG00000095143","Hsd3b4",0,0,0,0,1.0738851542607,0
"ENSMUSG00000095148","Gm20873",0,0,0,0,0,0
"ENSMUSG00000095150","Rps19-ps13",0,0,0,0,0,0
"ENSMUSG00000095153","Gm21095",0,0,0,0,0,0
"ENSMUSG00000095156","Or4k37",0,0,0,0,0,0
"ENSMUSG00000095159","Tubb4b-ps1",5.29364858572472,3.70884751717477,1.04241706600329,7.79359442753679,8.59108123408559,6.34405074306159
"ENSMUSG00000095163","Vmn1r138",0,0,0,0,0,0
"ENSMUSG00000095168","Gm4795",0,0.927211879293693,0,0,1.0738851542607,0
"ENSMUSG00000095170","Ighv8-11",0,0,0,0,0,0
"ENSMUSG00000095171","Taar7b",0,0,0,0,0,0
"ENSMUSG00000095179","Gm21638",0,0,0,0,0,0
"ENSMUSG00000095180","Rhox5",0,2.78163563788108,0,0,0,0
"ENSMUSG00000095185","Vmn1r-ps75",0,0,0,0,0,0
"ENSMUSG00000095187","Or2y11",3.17618915143483,0.927211879293693,3.12725119800988,2.9225979103263,3.2216554627821,0.906292963294512
"ENSMUSG00000095189","Or5b117",0,0,0,0,0,0
"ENSMUSG00000095190","Gm10668",0,0,0,0,0,0
"ENSMUSG00000095191","Vmn1r249",0,0,0,0,0,0
"ENSMUSG00000095194","Or8g22",0,0,0,0,0,0
"ENSMUSG00000095195","Gm3005",17.9984051914641,30.5979920166919,14.5938389240461,16.5613881585157,20.4038179309533,16.3132733393012
"ENSMUSG00000095196","Gm8305",0,0,0,0,0,0
"ENSMUSG00000095197","Ighv1-59",0,0,0,0,0,0
"ENSMUSG00000095199","Zfp967",8.46983773715956,38.0156870510414,33.3573461121054,37.0195735307998,15.0343921596498,50.7524059444927
"ENSMUSG00000095200","Ighv1-7",0,0,0,0,0,0
"ENSMUSG00000095201","Vmn1r91",1.05872971714494,0,0,0,0,0
"ENSMUSG00000095202","Gm6100",0,0.927211879293693,1.04241706600329,0,0,0.906292963294512
"ENSMUSG00000095204","Ighv1-52",0,0,0,0,0,0
"ENSMUSG00000095210","Ighv5-9-1",0,0,0,0,0,0
"ENSMUSG00000095212","Or5p53",0,0,0,0,0,0
"ENSMUSG00000095217","H2bc15",7.41110802001461,5.56327127576216,0,5.8451958206526,1.0738851542607,5.43775777976707
"ENSMUSG00000095218","Or10ak14",0,0,0,0,0,0
"ENSMUSG00000095226","Gm10377",0,0,0,0,0,0
"ENSMUSG00000095231","Gm14297",0,0,0,0,0,0
"ENSMUSG00000095232","Scgb1b19",0,0,0,0,0,0
"ENSMUSG00000095234","Gm21586",0,0,33.3573461121054,0,6.44331092556419,9.06292963294512
"ENSMUSG00000095236","Or2f1b",0,0,0,0,0,0
"ENSMUSG00000095238","Gm4845",0,0,0,0,0,0
"ENSMUSG00000095239","Or5p72",0,0,0,0,0,0
"ENSMUSG00000095240","Cypt14-ps",0,0,0,0,0,0
"ENSMUSG00000095241","Gm5478",0,0,0,0,0,0
"ENSMUSG00000095242","Gm20834",0,0,0,0,0,0
"ENSMUSG00000095248","Or56a3b",0,0,0,0,0,0
"ENSMUSG00000095250","ENSMUSG00000095250",0,0,0,0,0,0
"ENSMUSG00000095253","Zfp799",392.788725060774,365.321480441715,355.464219507123,368.247336701114,429.554061704279,405.112954592647
"ENSMUSG00000095257","Scgb1b3",0,0,0,0,0,0
"ENSMUSG00000095258","Gm2163",117.518998603089,115.901484911712,96.9447871383063,128.594308054357,104.166859963288,147.725753017006
"ENSMUSG00000095259","Gm14357",0,0,0,0,0,0
"ENSMUSG00000095261","Gm17391",0,0,0,0,0,0
"ENSMUSG00000095262","Gm21893",0,0,0,0,0,0
"ENSMUSG00000095263","Gm21094",0,0,0,0,0,0
"ENSMUSG00000095266","Gm5225",0,0,0,0,0,0
"ENSMUSG00000095267","Ssty1",0,0,0,0,0,0
"ENSMUSG00000095270","Ifna9",0,0,0,0,0,0
"ENSMUSG00000095273","Vmn1r142",0,0,0,0,0,0
"ENSMUSG00000095274","Obox4-ps27",0,0,0,0,0,0
"ENSMUSG00000095275","Vmn1r107",0,0,0,0,0,0
"ENSMUSG00000095276","Gfy",1.05872971714494,0.927211879293693,6.25450239601976,6.8193951240947,7.51719607982489,0.906292963294512
"ENSMUSG00000095277","Rps12-ps22",0,0,0,0,0,0
"ENSMUSG00000095285","Ighv5-9",0,0,0,0,0,0
