"GeneName","GeneID","Accession","RNAFeatureCount","ProteinFeatureCount","RNABaseMean","RNA_log2FC","RNA_pvalue","RNA_padj","ProteinAveExpr","Protein_log2FC","Protein_pvalue","Protein_padj","RNAEffect","ProteinEffect","RNAEvidence","ProteinEvidence","Evidence","NineQuadrant","NineCell","LabelScore"
"Fndc10","ENSMUSG00000074738","A2A9Q0","1","1",373.407990035243,0.0259336887548758,0.37107497480318,0.999163298615518,11.7381759453446,0.667736216896728,0.0101437355589161,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.99416560800788
"Bbln","ENSMUSG00000039195","P58686","1","1",1518.87039458657,0.00734160719696644,0.708985838712534,0.999163298615518,13.1962022187216,0.803646775133901,0.010210097442082,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.99133364001535
"Ahsg","ENSMUSG00000022868","P29699","1","1",0.176454952857491,-0.00065197956377779,0.806691149057295,0.999163298615518,15.7866195465018,-0.61329132396483,0.0103197518706226,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.98669427171019
"Tspyl5","ENSMUSG00000038984","Q69ZB3","1","1",1118.0934094217,0.126957570196245,0.025280442178095,0.55419884585976,12.5347792453541,0.6594707604555,0.0204973982820834,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.94463564307538
"Tmem161a","ENSMUSG00000002342","Q8VCA6","1","1",375.370596692662,-0.0195729920942761,0.515431581889365,0.999163298615518,14.8574620541687,0.576166878146752,0.0113871833004155,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.94394721531745
"Actn2","ENSMUSG00000052374","Q9JI91","1","1",359.333277846944,0.0211211595862427,0.164339730279905,0.989506961295131,19.2421909049441,-0.613405539447026,0.011959191327294,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.92687933219924
"Dxo","ENSMUSG00000040482","O70348","1","1",152.185510956893,0.0157422077511405,0.518584996264728,0.999163298615518,14.0158357908594,1.12820002665085,0.0125197496737611,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.90276788144063
"Tmem209","ENSMUSG00000029782","Q8BRG8","1","1",466.307050172812,0.0469405119386513,0.152424474489008,0.977741782712173,14.0638163987044,0.613403594832548,0.0132949216717879,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.88609004233435
"Pde4dip","ENSMUSG00000038170","Q80YT7","1","1",4293.45662756422,0.0787150217648756,0.0801201840452785,0.839590589111743,7.83619475311144,0.938915833220442,0.0158510421354228,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.8758746176061
"Usp54","ENSMUSG00000034235","Q8BL06","1","1",975.128060651533,-0.0223357177286603,0.401270111851346,0.999163298615518,10.1765747503226,-3.80246108821209,0.0133493837005361,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.87490231075728
"Cd55","ENSMUSG00000026399","Q61475","1","1",94.9390357665228,0.0328626274337949,0.106048458838507,0.899317681411639,9.96374065848611,-0.648687698720932,0.0148342466885939,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.87482137096542
"Sstr2","ENSMUSG00000047904","P30875","1","1",295.090044148741,0.0561601417570775,0.01729664689353,0.467805245317832,10.6164791795827,0.502164704095099,0.0300022035058788,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.85278176036183
"Lrig1","ENSMUSG00000030029","P70193","1","1",637.717198774041,-0.0162487726294255,0.358343834872966,0.999163298615518,9.08673702691259,0.602884392431822,0.0145218676564086,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.83834105235743
"Nmnat1","ENSMUSG00000028992","Q9EPA7","1","1",116.861850227729,0.00451572683466166,0.836016056737097,0.999163298615518,10.1379161044326,-0.684335302031695,0.0149732018457096,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.82504884778082
"Cand2","ENSMUSG00000030319","Q6ZQ73","1","1",74.766946352863,-0.0138630856401281,0.339371793313035,0.999163298615518,13.3885970216708,0.697428805602977,0.0156214481924292,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.80664223405078
"Vip","ENSMUSG00000019772","P32648","1","1",578.595467735819,0.0178545449482513,0.262207911507046,0.999163298615518,9.2300683904215,0.67969820207453,0.0163057673186846,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.78802228619441
"Klhdc3","ENSMUSG00000063576","Q8VEM9","1","1",3086.11524769135,0.00343434466394147,0.908344151138999,0.99955764995295,8.7473764618845,-1.25796917318663,0.0164364043608607,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.78438533565265
"Igkc","ENSMUSG00000076609","P01837","1","1",4.59016012496988,0.000845116380960974,0.876564375838557,0.99955764995295,15.9550789301434,-0.587880245141148,0.0166141990454468,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.77971274348681
"Saysd1","ENSMUSG00000045107","Q8K190","1","1",125.36394056621,-0.0187031266736314,0.359411562068928,0.999163298615518,7.79592073930914,-1.63590892007265,0.0198400908646031,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.70281987007174
"Jpt2","ENSMUSG00000024165","Q6PGH2","1","1",104.141599922351,-0.0214126259615975,0.195230736655893,0.999163298615518,13.4842834129293,-0.824691990758797,0.0199613511442633,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.70017359241893
"Adora2a","ENSMUSG00000020178","Q60613","1","1",839.886198469059,0.000248811089976915,0.982914255368354,0.99955764995295,12.1043219289323,-1.27309259435957,0.0202492038906328,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.69378419934382
"Ambp","ENSMUSG00000028356","Q07456","1","1",0,NA,NA,NA,12.1508978139122,-0.668132627799098,0.0208268904907081,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.68137556651573
"Pold1","ENSMUSG00000038644","P52431","1","1",107.601878809398,0.0165214034069024,0.41533962589039,0.999163298615518,8.12190757544469,-0.871571419409136,0.0208760948383809,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.68071426574523
"Fetub","ENSMUSG00000022871","Q9QXC1","1","1",0.51255768109839,-0.000545504297129401,0.745613770141982,0.999163298615518,12.9138654567758,-0.681262401006,0.0210274370625527,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.67757718513918
"Glmp","ENSMUSG00000001418","Q9JHJ3","1","1",582.38726815793,0.0208832315153915,0.510980894438213,0.999163298615518,11.5685501507352,-0.933218031688623,0.0212161172558658,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.67369761993524
"Nudt8","ENSMUSG00000110949","Q9CR24","1","1",67.4923196619775,-0.0376698384114546,0.0731067611658684,0.818909954372048,9.14807608495176,0.89792745847012,0.0260616200132295,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.67076244138558
"Serpina1b","ENSMUSG00000071178","P22599","1","1",0.324785004882968,-5.22766218583514e-05,0.99282421667059,0.99955764995295,15.8453610052027,-0.646952728251875,0.0231531080080607,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.63558285495074
"Rragd","ENSMUSG00000028278","Q7TT45","1","1",3192.75631558138,0.0396221528555156,0.218561472027609,0.999163298615518,12.9806805321101,-0.576470327728671,0.0239539355831866,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.62098664957904
"Syt6","ENSMUSG00000027849","Q9R0N8","1","1",817.857718135614,0.00390961533347242,0.579267644092896,0.999163298615518,15.0523918368204,-0.760010940395853,0.0244076657208455,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.61283728017284
"Hrg","ENSMUSG00000022877","Q9ESB3","1","1",0.154535313215615,-0.000632495382051126,0.806691149057295,0.999163298615518,12.694578699929,-0.622020179500247,0.0257210099301235,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.59007550982744
"Sfxn4","ENSMUSG00000063698","Q925N1","1","1",117.243353355891,-0.0116227136544434,0.550364250429524,0.999163298615518,14.2195732572341,0.527288389595673,0.0279139266356074,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.55454259416251
"Dtnbp1","ENSMUSG00000057531","Q91WZ8","1","1",991.946708468109,-0.0235465392304566,0.441891907804792,0.999163298615518,15.8679412941826,0.516236313615224,0.0295969405242094,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.52911670712634
"Serpina1d","ENSMUSG00000071177","Q00897","1","1",0.498521182550183,-0.000368231547434918,0.79820965999729,0.999163298615518,18.3424975720225,-0.572279001339677,0.0296070821029598,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.52896791886714
"Serpina1a","ENSMUSG00000066366","P07758","1","1",0.173736177667216,-0.000649727164144502,0.806691149057295,0.999163298615518,17.4908726885033,-0.581480985180555,0.0301991704947449,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.52036851289712
"Apaf1","ENSMUSG00000019979","O88879","1","1",250.506729454808,-0.0251617924803946,0.338949606157379,0.999163298615518,10.7408126803334,-1.00283799327216,0.0317953836402768,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.49799945738731
"Serpina1e","ENSMUSG00000072849","Q00898","1","1",0,NA,NA,NA,19.7231475099881,-0.567077164510998,0.0322457279086056,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.4915278149393
"Fhod3","ENSMUSG00000034295","Q76LL6","1","1",1122.03857853751,0.0242387598718337,0.0923782542068006,0.873648830453573,11.7982144154853,-0.518672373184152,0.0376067526379549,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.48339726664453
"Pcp4l1","ENSMUSG00000038370","Q6W8Q3","1","1",4062.77765352468,0.00391571755475507,0.659917804886897,0.999163298615518,16.6945830845647,-1.15459687255937,0.0329847677980785,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.48205009576037
"Trpc6","ENSMUSG00000031997","Q61143","1","1",150.408834837763,-0.00258777011958368,0.79821777090492,0.999163298615518,12.1330811600627,0.626747234213177,0.0330344551444438,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.48139637875313
"Sharpin","ENSMUSG00000022552","Q91WA6","1","1",412.434614875365,-0.00839964482303483,0.769815364386652,0.999163298615518,7.63180251853637,-0.703102795323321,0.0337165497461862,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.47252040053105
"C9","ENSMUSG00000022149","P06683","1","1",0,NA,NA,NA,9.67127486136294,-0.963449061211362,0.033837123168609,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.47060656776979
"Sp3","ENSMUSG00000027109","O70494","1","1",756.998187062019,0.00271405539426123,0.920383589273239,0.99955764995295,7.15619449392858,0.747327710950429,0.0348762669603209,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.45766215937649
"Serpina3k","ENSMUSG00000058207","P07759","1","1",0,NA,NA,NA,19.2931040017506,-0.533906872628577,0.0365032528010271,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.43766843388343
"Tmem145","ENSMUSG00000043843","Q8C4U2","1","1",327.919072694861,0.0128201360750192,0.567507378483702,0.999163298615518,12.6205120414032,-0.706901891290627,0.0370802264905023,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.43122114869351
"Sptlc2","ENSMUSG00000021036","P97363","1","1",588.307498864579,0.0167351801187665,0.61353236656688,0.999163298615518,12.2477215622671,0.530556544520602,0.0385163164045669,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.41471878119827
"Gc","ENSMUSG00000035540","P21614","1","1",0.487151555456651,0.00042887751365272,0.789701104653157,0.999163298615518,17.7813731747904,-0.530360322665182,0.0386261224951481,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.41348241345811
"Ftsj1","ENSMUSG00000031171","Q8CBC7","1","1",316.8984637739,0.0192860500706678,0.521486362254059,0.999163298615518,9.96510752873787,0.570349707228164,0.0387867266243657,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.41168039769576
"Cbx6","ENSMUSG00000089715","Q9DBY5","1","1",9746.67336716126,-0.0307370022197528,0.347840373779783,0.999163298615518,8.52455988247181,-0.62618940818826,0.0389645408743198,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.40969396365615
"Asah2","ENSMUSG00000024887","Q9JHE3","1","1",225.517043217141,0.00361724035806108,0.860160397356928,0.99955764995295,7.10638069625709,0.856106795186453,0.0410123112247582,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.38727790829893
"Hexd","ENSMUSG00000039307","Q3U4H6","1","1",639.159852197249,-0.00188885814817197,0.951542483372471,0.99955764995295,16.7430785652562,-0.806247546405377,0.0425884287283274,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.37090053532294
"Frk","ENSMUSG00000019779","Q922K9","1","1",8.99194780801878,-1.10980755763255e-06,0.997628610659158,0.999658848786627,14.3636609952643,-0.7467042085327,0.0436537984500196,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.36012614639575
"Nol6","ENSMUSG00000028430","Q8R5K4","1","1",2269.66571882628,0.00103490703058467,0.976281392962637,0.99955764995295,7.22164921948832,0.65699250292851,0.0446555870219393,0.999906683574988,"Stable","Up",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein up",1.3503163499103
"Rftn1","ENSMUSG00000039316","Q6A0D4","1","1",194.612119724719,-0.0115559361192373,0.346795228507438,0.999163298615518,13.9900445240249,-0.509307367041973,0.0483516868225928,0.999906683574988,"Stable","Down",FALSE,TRUE,"Protein only","Protein-specific","RNA stable / Protein down",1.31595189718627
"Rpl9","ENSMUSG00000047215","P51410","1","1",5297.27305807421,-0.520789509032796,3.06230864869618e-08,8.2326340134386e-05,19.1361664680672,-0.000440678027349151,0.99554741486127,0.999906683574988,"Down","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA down / Protein stable",4.08639924200824
"Hopx","ENSMUSG00000059325","Q8R1H0","1","1",688.914798274228,-0.866886748422465,2.02893127849792e-06,0.00229664342140289,11.4797303855458,-0.212374510955451,0.365859001659395,0.999906683574988,"Down","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA down / Protein stable",3.0755926835023
"Glcci1","ENSMUSG00000029638","Q8K3I9","1","1",438.047616272156,0.607742501723444,2.52458308023223e-06,0.00263863556915778,15.7052092888926,0.0922892787488259,0.413385141456538,0.999906683574988,"Up","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA up / Protein stable",2.96226572503955
"mt-Nd3","ENSMUSG00000064360","P03899","1","1",19875.7652844541,-0.549039524575668,3.70236227025447e-06,0.00331777938943179,19.3268309310774,0.0068661975079749,0.945952606506475,0.999906683574988,"Down","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA down / Protein stable",2.50328311687496
"Coch","ENSMUSG00000020953","Q62507","1","1",472.962916688266,0.878749979750112,5.48330858365514e-05,0.017601420553533,17.3547436409596,0.147754646280131,0.345736695122227,0.999906683574988,"Up","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA up / Protein stable",2.21570680398974
"Kcna1","ENSMUSG00000047976","P16388","1","1",1314.82996250539,0.56454869902805,4.55355259330685e-05,0.0157956863910081,18.9542613709867,0.106166709890999,0.611758928771295,0.999906683574988,"Up","Stable",TRUE,FALSE,"RNA only","RNA-specific","RNA up / Protein stable",2.01488118066763
