"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"P07091","S100a4","20198","Protein S100-A4",0,0
"P52623","Uck1","22245","Uridine-cytidine kinase 1",0,0
"Q9JJG6","Tmem47","192216","Transmembrane protein 47",0,0
"O88543","Cops3","26572","COP9 signalosome complex subunit 3",0,0
"O35127","Grcc10","14790","Protein C10",0,0
"Q9WV55","Vapa","30960","Vesicle-associated membrane protein-associated protein A",0,0
"P63011","Rab3a","19339","Ras-related protein Rab-3A",0,0
"Q61191","Hcfc1","15161","Host cell factor 1",0,0
"Q3UJB9","Edc4","234699","Enhancer of mRNA-decapping protein 4",0,0
"E9Q3G8","Nup153","218210","Nuclear pore complex protein Nup153",0,0
"P46061","Rangap1","19387","Ran GTPase-activating protein 1",0,0
"Q9ESN6","Trim2","80890","Tripartite motif-containing protein 2",0,0
"B1AVZ0","Uprt","331487","Uracil phosphoribosyltransferase homolog",0,0
"Q6WKZ8","Ubr2","224826","E3 ubiquitin-protein ligase UBR2",0,0
"Q8BVA5","Ldah","68832","Lipid droplet-associated hydrolase",0,0
"Q9WU78","Pdcd6ip","18571","Programmed cell death 6-interacting protein",0,0
"O54692","Zw10","26951","Centromere/kinetochore protein zw10 homolog",0,0
"Q01853","Vcp","269523","Transitional endoplasmic reticulum ATPase",0,0
"Q9WV80","Snx1","56440","Sorting nexin-1",0,0
"Q61171","Prdx2","21672","Peroxiredoxin-2",0,0
"Q9D1F4","Akt1s1","67605","Proline-rich AKT1 substrate 1",0,0
"Q9CQ65","Mtap","66902","S-methyl-5'-thioadenosine phosphorylase",0,0
"Q9ERE8","Tlnrd1","80889","Talin rod domain-containing protein 1",0,0.25
"Q8BUR9","Mzt1","76789","Mitotic-spindle organizing protein 1",0,0
"Q9DBC7","Prkar1a","19084","cAMP-dependent protein kinase type I-alpha regulatory subunit",0,0
"P18760","Cfl1","12631","Cofilin-1",0,0
"Q9R0P5","Dstn","56431","Destrin",0,0
"P45591","Cfl2","12632","Cofilin-2",0,0
"P45376","Akr1b1","11677","Aldo-keto reductase family 1 member B1",0,0
"Q8VHQ3","Ppp1r16b","228852","Protein phosphatase 1 regulatory inhibitor subunit 16B",0,0
"Q8R307","Vps18","228545","Vacuolar protein sorting-associated protein 18 homolog",0,0
"O35639","Anxa3","11745","Annexin A3",0,0
"Q6NS60","Fbxo41","330369","F-box only protein 41",0,0
"Q8CBY8","Dctn4","67665","Dynactin subunit 4",0,0
"P21619","Lmnb2","16907","Lamin-B2",0,0
"P80314","Cct2","12461","T-complex protein 1 subunit beta",0,0
"Q8C3W1","Q8C3W1","69551","Uncharacterized protein C1orf198 homolog",0,0
"P63213","Gng2","14702","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2",0,0
"Q9Z204","Hnrnpc","15381","Heterogeneous nuclear ribonucleoproteins C1/C2",0,0
"Q99KP3","Cryl1","68631","Lambda-crystallin homolog",0,0
"Q6IR34","Gpsm1","67839","G protein-signaling modulator 1",0,0
"P48320","Gad2","14417","Glutamate decarboxylase 2",0,0
"P12849","Prkar1b","19085","cAMP-dependent protein kinase type I-beta regulatory subunit",0,0
"Q9CR51","Atp6v1g1","66290","V-type proton ATPase subunit G 1",0,0
"Q9WTT4","Atp6v1g2","66237","V-type proton ATPase subunit G 2",0,0
"Q78PY7","Snd1","56463","Staphylococcal nuclease domain-containing protein 1",0,0
"P54227","Stmn1","16765","Stathmin",0,0
"Q9R0A0","Pex14","56273","Peroxisomal membrane protein PEX14",0,0
"Q9Z0S1","Bpnt1","23827","3'(2'),5'-bisphosphate nucleotidase 1",0,0
"P51830","Adcy9","11515","Adenylate cyclase type 9",0,0
"Q91WV0","Dr1","13486","Protein Dr1",0,0
"Q91XU3","Pip4k2c","117150","Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma",0,0
"P59017","Bcl2l13","94044","Bcl-2-like protein 13",0,0
"Q8CGY8","Ogt","108155","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit",0,0
"Q91V01","Lpcat3","14792","Lysophospholipid acyltransferase 5",0,0
"P43006","Slc1a2","20511","Excitatory amino acid transporter 2",0,0
"Q6PHZ2","Camk2d","108058","Calcium/calmodulin-dependent protein kinase type II subunit delta",0,0
"Q9CQV7","Dnajc19","67713","Mitochondrial import inner membrane translocase subunit TIM14",0,0
"P80316","Cct5","12465","T-complex protein 1 subunit epsilon",0,0
"Q9CXW3","Cacybp","12301","Calcyclin-binding protein",0,0
"P47955","Rplp1","56040","Large ribosomal subunit protein P1",0,0
"Q9D8W7","Ociad2","433904","OCIA domain-containing protein 2",0,0
"Q9CZT8","Rab3b","69908","Ras-related protein Rab-3B",0,0
"O35465","Fkbp8","14232","Peptidyl-prolyl cis-trans isomerase FKBP8",0,0
"Q9DBT5","Ampd2","109674","AMP deaminase 2",0,0
"Q9QYI5","Dnajb2","56812","DnaJ homolog subfamily B member 2",0,0
"Q64514","Tpp2","22019","Tripeptidyl-peptidase 2",0,0
"Q5U458","Dnajc11","230935","DnaJ homolog subfamily C member 11",0,0
"Q3TDK6","Rogdi","66049","Protein rogdi homolog",0,0
"P28740","Kif2a","16563","Kinesin-like protein KIF2A",0,0
"Q91V41","Rab14","68365","Ras-related protein Rab-14",0,0
"P14733","Lmnb1","16906","Lamin-B1",0,0
"Q9DCL9","Paics","67054","Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase",0,0
"Q9D8Y0","Efhd2","27984","EF-hand domain-containing protein D2",0,0
"Q9CQJ6","Denr","68184","Density-regulated protein",0,0
"Q3TEA8","Hp1bp3","15441","Heterochromatin protein 1-binding protein 3",0,0
"B9EJA2","Cttnbp2","30785","Cortactin-binding protein 2",0,0
"Q61655","Ddx19a","13680","ATP-dependent RNA helicase DDX19A",0,0
"Q8BUV3","Gphn","268566","Gephyrin",0,0
"Q9D428","GOLGA7B","71146","Golgin subfamily A member 7B",0,0
"Q9CQM5","Txndc17","52700","Thioredoxin domain-containing protein 17",0,0
"Q64213","Sf1","22668","Splicing factor 1",0,0
"Q62189","Snrpa","53607","U1 small nuclear ribonucleoprotein A",0,0
"P11798","Camk2a","12322","Calcium/calmodulin-dependent protein kinase type II subunit alpha",0,0
"Q9Z2M7","Pmm2","54128","Phosphomannomutase 2",0,0
"Q99MN1","Kars1","85305","Lysine--tRNA ligase",0,0
"O88448","Klc2","16594","Kinesin light chain 2",0,0
