"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia"
"Q9QZE5","Copg1","54161","Coatomer subunit gamma-1",0,0
"Q9QXK3","Copg2","54160","Coatomer subunit gamma-2",0,0
"Q9QXG2","Chm","12662","Rab proteins geranylgeranyltransferase component A 1",0,0
"Q6ZQ18","Efr3b","668212","Protein EFR3 homolog B",0,0
"Q91WE3","Rpp25","102614","Ribonuclease P protein subunit p25",0.25,0.5
"Q8R420","Abca3","27410","Phospholipid-transporting ATPase ABCA3",0,0
"O35188","Cx3cl1","20312","Fractalkine",0,0
"P49117","Nr2c2","22026","Nuclear receptor subfamily 2 group C member 2",0,0
"Q60632","Nr2f1","13865","COUP transcription factor 1",0,0
"P43135","Nr2f2","11819","COUP transcription factor 2",0,0
"Q99JY8","Plpp3","67916","Phospholipid phosphatase 3",0,0
"Q8CGF7","Tcerg1","56070","Transcription elongation regulator 1",0,0
"Q9Z0U0","Xpr1","19775","Solute carrier family 53 member 1",0,0
"Q60695","Rgl1","19731","Ral guanine nucleotide dissociation stimulator-like 1",0.5,0.25
"Q8VHQ4","Rab40c","224624","Ras-related protein Rab-40C",0,0
"P35951","Ldlr","16835","Low-density lipoprotein receptor",0,0
"Q6A028","Swap70","20947","Switch-associated protein 70",0,0
"P09671","Sod2","20656","Superoxide dismutase [Mn], mitochondrial",0,0
"Q8K4G5","Ablim1","226251","Actin-binding LIM protein 1",0,0
"Q6PHZ8","Kcnip4","80334","Kv channel-interacting protein 4",0,0
"Q9D8W5","Psmd12","66997","26S proteasome non-ATPase regulatory subunit 12",0,0
"P63154","Crnkl1","66877","Crooked neck-like protein 1",0,0
"Q922G0","Slc25a36","192287","Solute carrier family 25 member 36",0,0
"Q9Z1G4","Atp6v0a1","11975","V-type proton ATPase 116 kDa subunit a 1",0,0
"Q8K012","Fnbp1l","214459","Formin-binding protein 1-like",0,0
"O55234","Psmb5","19173","Proteasome subunit beta type-5",0,0
"Q3TCJ1","Abraxas2","109359","BRISC complex subunit Abraxas 2",0,0
"Q9ERZ3","Chrm3","12671","Muscarinic acetylcholine receptor M3",0,0
"Q9JIY0","Plekho1","67220","Pleckstrin homology domain-containing family O member 1",0,0
"P05132","Prkaca","18747","cAMP-dependent protein kinase catalytic subunit alpha",0,0
"P68181","Prkacb","18749","cAMP-dependent protein kinase catalytic subunit beta",0,0
"P97346","Nxn","18230","Nucleoredoxin",0,0
"P14094","Atp1b1","11931","Sodium/potassium-transporting ATPase subunit beta-1",0,0
"Q9CQK7","Rwdd1","66521","RWD domain-containing protein 1",0,0
"P20029","Hspa5","14828","Endoplasmic reticulum chaperone BiP",0,0
"Q4PJX1","Odr4","226499","Protein odr-4 homolog",0,0
"O88844","Idh1","15926","Isocitrate dehydrogenase [NADP] cytoplasmic",0,0
"O08532","Cacna2d1","12293","Voltage-dependent calcium channel subunit alpha-2/delta-1",0,0
"P58281","Opa1","74143","Dynamin-like GTPase OPA1, mitochondrial",0,0
"Q8K0P3","Meak7","74347","MTOR-associated protein MEAK7",0,0
"Q9D2G2","Dlst","78920","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",0,0
"Q8VCI5","Pex19","19298","Peroxisomal biogenesis factor 19",0,0
"Q9WUM5","Suclg1","56451","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0,0
"Q8K2J0","Plcd3","72469","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3",0,0
"P10637","Mapt","17762","Microtubule-associated protein tau",0,0
"Q6ZWV3","Rpl10","110954","Large ribosomal subunit protein uL16",0,0
"Q9DAK9","Phpt1","75454","14 kDa phosphohistidine phosphatase",0,0
"Q9CZX8","Rps19","20085","Small ribosomal subunit protein eS19",0,0
"Q6NT99","Dusp23","68440","Dual specificity protein phosphatase 23",0,0
"Q9CPW4","Arpc5","67771","Actin-related protein 2/3 complex subunit 5",0,0
"Q8BTW9","Pak4","70584","Serine/threonine-protein kinase PAK 4",0,0.25
"Q91YN5","Uap1","107652","UDP-N-acetylhexosamine pyrophosphorylase",0,0
"Q9D0L7","Armc10","67211","Armadillo repeat-containing protein 10",0,0
"Q6ZQB6","Ppip5k2","227399","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2",0.5,0.25
"Q9JIM1","Slc29a1","63959","Equilibrative nucleoside transporter 1",0,0
"Q99LP6","Grpel1","17713","GrpE protein homolog 1, mitochondrial",0,0
"Q8C1A5","Thop1","50492","Thimet oligopeptidase",0,0
"Q80ZJ7","Snx32","225861","Sorting nexin-32",0,0
"Q5RJG7","Crppa","75847","D-ribitol-5-phosphate cytidylyltransferase",0,0
"Q80ZJ1","Rap2a","76108","Ras-related protein Rap-2a",0,0
"P61226","Rap2b","74012","Ras-related protein Rap-2b",0,0
"P13020","Gsn","227753","Gelsolin",0,0
"Q921J2","Rheb","19744","GTP-binding protein Rheb",0,0
"Q922J9","Far1","67420","Fatty acyl-CoA reductase 1",0,0
"Q8BZX4","Srek1","218543","Splicing regulatory glutamine/lysine-rich protein 1",0,0
"Q9ESK3","Capn10","23830","Calpain-10",0.5,0.5
"Q93092","Taldo1","21351","Transaldolase",0,0
"Q8BTY8","Scfd2","212986","Sec1 family domain-containing protein 2",0,0
"Q71M36","Cspg5","29873","Chondroitin sulfate proteoglycan 5",0,0
"Q3TLP5","Echdc2","52430","Enoyl-CoA hydratase domain-containing protein 2, mitochondrial",0,0
"Q60847","Col12a1","12816","Collagen alpha-1(XII) chain",0,0
"Q9CZP5","Bcs1l","66821","Mitochondrial chaperone BCS1",0,0
"Q80TE0","Rpap1","68925","RNA polymerase II-associated protein 1",0,0
"Q3UMC0","Afg2a","57815","ATPase family gene 2 protein homolog A",0.25,0
"P09103","P4hb","18453","Protein disulfide-isomerase",0,0
"P35285","Rab22a","19334","Ras-related protein Rab-22A",0,0
"Q64105","Spr","20751","Sepiapterin reductase",0,0
"Q91W90","Txndc5","105245","Thioredoxin domain-containing protein 5",0,0
"Q8BU31","Rap2c","72065","Ras-related protein Rap-2c",0,0
"P26443","Glud1","14661","Glutamate dehydrogenase 1, mitochondrial",0,0
"Q9EQN3","Tsc22d4","78829","TSC22 domain family protein 4",0,0
"Q91YH5","Atl3","109168","Atlastin-3",0,0
"Q69ZP3","Pnkd","56695","Probable thioesterase PNKD",0,0
"Q3TC72","Fahd2a","68126","Oxaloacetate tautomerase Fahd2a, mitochondrial",0,0
"Q3V384","Afg1l","215951","AFG1-like ATPase",0,0
"Q8BPM2","Map4k5","399510","Mitogen-activated protein kinase kinase kinase kinase 5",0,0
"Q9D898","Arpc5l","74192","Actin-related protein 2/3 complex subunit 5-like protein",0,0
"A2A699","Fam171a2","217219","Protein FAM171A2",0,0
"Q9D2V7","Coro7","78885","Coronin-7",0,0
"Q9JJA9","Tamalin","56149","General receptor for phosphoinositides 1-associated scaffold protein",0,0
"Q3UU96","Cdc42bpa","226751","Serine/threonine-protein kinase MRCK alpha",0,0
"Q9CRT8","Xpot","73192","Exportin-T",0,0
"Q6TEK5","Vkorc1l1","69568","Vitamin K epoxide reductase complex subunit 1-like protein 1",0,0
"Q9CRC0","Vkorc1","27973","Vitamin K epoxide reductase complex subunit 1",0,0
"Q80YE7","Dapk1","69635","Death-associated protein kinase 1",0,0
"Q9QZW0","Atp11c","320940","Phospholipid-transporting ATPase 11C",0,0
"P11531","Dmd","13405","Dystrophin",0,0
"Q8JZW4","Cpne5","240058","Copine-5",0,0
"Q6DIB5","Megf10","70417","Multiple epidermal growth factor-like domains protein 10",0,0
"Q8K1R3","Pnpt1","71701","Polyribonucleotide nucleotidyltransferase 1, mitochondrial",0,0
"P21460","Cst3","13010","Cystatin-C",0,0
"Q8C052","Map1s","270058","Microtubule-associated protein 1S",0,0
"Q8BHN7","Rlig1","68281","RNA ligase 1",0,0
"Q9R190","Mta2","23942","Metastasis-associated protein MTA2",0,0
"Q9JIG8","Praf2","54637","PRA1 family protein 2",0,0
"O88351","Ikbkb","16150","Inhibitor of nuclear factor kappa-B kinase subunit beta",0,0
"Q9D8S4","Rexo2","104444","Oligoribonuclease, mitochondrial",0,0
"Q9CZW4","Acsl3","74205","Fatty acid CoA ligase Acsl3",0,0
"Q3USJ8","Fchsd2","207278","F-BAR and double SH3 domains protein 2",0,0
"A2A6Q5","Cdc27","217232","Cell division cycle protein 27 homolog",0,0
"Q8VD33","Sgtb","218544","Small glutamine-rich tetratricopeptide repeat-containing protein beta",0,0
"P10107","Anxa1","16952","Annexin A1",0,0
"Q922R8","Pdia6","71853","Protein disulfide-isomerase A6",0,0
"Q8BIG7","Comtd1","69156","Catechol O-methyltransferase domain-containing protein 1",0,0
"O88986","Gcat","26912","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",0,0
"Q9D855","Uqcrb","67530","Cytochrome b-c1 complex subunit 7",0,0
"Q9CV28","Mindy3","66960","Ubiquitin carboxyl-terminal hydrolase MINDY-3",0,0.25
"P70265","Pfkfb2","18640","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",0,0
"Q69Z26","Cntn4","269784","Contactin-4",0,0
"O08663","Metap2","56307","Methionine aminopeptidase 2",0,0
"Q922P9","Glyr1","74022","Cytokine-like nuclear factor N-PAC",0,0
"Q3UHD1","Adgrb1","107831","Adhesion G protein-coupled receptor B1",0,0
"P23506","Pcmt1","18537","Protein-L-isoaspartate(D-aspartate) O-methyltransferase",0,0
"Q3TMH2","Scrn3","74616","Secernin-3",0,0
"Q00915","Rbp1","19659","Retinol-binding protein 1",0,0
"Q8BYN5","Fsd1l","319636","FSD1-like protein",0,0
"P83093","Stim2","116873","Stromal interaction molecule 2",0,0
"O54833","Csnk2a2","13000","Casein kinase II subunit alpha'",0,0
"Q60737","Csnk2a1","12995","Casein kinase II subunit alpha",0,0
"Q8CF89","Tab1","66513","TGF-beta-activated kinase 1 and MAP3K7-binding protein 1",0,0
"Q62036","Cep131","12009","Centrosomal protein of 131 kDa",0,0.25
"Q9WV02","Rbmx","19655","RNA-binding motif protein, X chromosome",0,0
"O35250","Exoc7","53413","Exocyst complex component 7",0,0
"P15066","Jund","16478","Transcription factor JunD",0,0
"O08529","Capn2","12334","Calpain-2 catalytic subunit",0,0
"Q3UMG5","Lrch2","210297","Leucine-rich repeat and calponin homology domain-containing protein 2",0,0
"Q8VDD5","Myh9","17886","Myosin-9",0,0
"Q8C9B9","Dido1","23856","Death-inducer obliterator 1",0,0
"Q69ZZ9","Macf1","11426","Microtubule-actin cross-linking factor 1, isoforms 6/7",0,0
"Q8BH35","C8b","110382","Complement component C8 beta chain",0,0.25
"Q8BIL5","Hook1","77963","Protein Hook homolog 1",0,0
"Q8BMK4","Ckap4","216197","Cytoskeleton-associated protein 4",0,0
"P55821","Stmn2","20257","Stathmin-2",0,0
"O70166","Stmn3","20262","Stathmin-3",0,0
"Q8R0I4","Tm2d2","69742","TM2 domain-containing protein 2",0,0
"Q9WTK3","Gpaa1","14731","GPI-anchor transamidase component GPAA1",0,0
"Q6NZL8","Scube1","64706","Signal peptide, CUB and EGF-like domain-containing protein 1",0,0
"P70698","Ctps1","51797","CTP synthase 1",0,0
"Q3TTA7","Cblb","208650","E3 ubiquitin-protein ligase CBL-B",0,0
"Q8K0Z7","Taco1","70207","Translational activator of cytochrome c oxidase 1",0,0
"Q3V0I2","Prr7","432763","Proline-rich protein 7",0,0
"Q8QZR5","Gpt","76282","Alanine aminotransferase 1",0,0
"Q9D6N5","Drap1","66556","Dr1-associated corepressor",0,0
"Q91V24","Abca7","27403","ATP-binding cassette sub-family A member 7",0,0
"O09012","Pex5","19305","Peroxisomal targeting signal 1 receptor",0,0
"Q569Z5","Ddx46","212880","Probable ATP-dependent RNA helicase DDX46",0,0
"Q91X58","Zfand2b","68818","AN1-type zinc finger protein 2B",0,0
"P09405","Ncl","17975","Nucleolin",0,0
"Q45VK7","Dync2h1","110350","Cytoplasmic dynein 2 heavy chain 1",0,0
"Q5RJI5","Brsk1","381979","Serine/threonine-protein kinase BRSK1",0,0
"Q91WZ8","Dtnbp1","94245","Dysbindin",0.25,0
"P55194","Sh3bp1","20401","SH3 domain-binding protein 1",0,0
"Q8C4Y3","Nelfb","58202","Negative elongation factor B",0,0
"P27773","Pdia3","14827","Protein disulfide-isomerase A3",0,0
"A2APY7","Ndufaf5","69487","Arginine-hydroxylase NDUFAF5, mitochondrial",0,0
"P97438","Kcnk2","16526","Potassium channel subfamily K member 2",0,0
"P60122","Ruvbl1","56505","RuvB-like 1",0,0
"Q9CZR8","Tsfm","66399","Elongation factor Ts, mitochondrial",0,0
"Q8K4Q0","Rptor","74370","Regulatory-associated protein of mTOR",0,0
"Q8C854","Myef2","17876","Myelin expression factor 2",0,0
"Q3UHQ6","Dop1b","70028","Protein DOP1B",0,0
"Q6NZR5","Skic2","108077","Superkiller complex protein 2",0,0
"P23116","Eif3a","13669","Eukaryotic translation initiation factor 3 subunit A",0,0
"Q8CIQ7","Dock3","208869","Dedicator of cytokinesis protein 3",0,0
"Q52KF3","Spire1","68166","Protein spire homolog 1",0,0
"Q9CQF3","Nudt21","68219","Cleavage and polyadenylation specificity factor subunit 5",0,0
"Q9CRA8","Exosc5","27998","Exosome complex component RRP46",0,0.25
"Q9Z2D3","Gsdme","54722","Gasdermin-E",0,0
"Q8R0S4","Cacnb4","12298","Voltage-dependent L-type calcium channel subunit beta-4",0,0
"Q8VD72","Ttc8","76260","Tetratricopeptide repeat protein 8",0,0
"Q9CPY1","Mrpl51","66493","Large ribosomal subunit protein mL51",0,0
"Q9CWZ7","Napg","108123","Gamma-soluble NSF attachment protein",0,0
"Q99JP0","Map4k3","225028","Mitogen-activated protein kinase kinase kinase kinase 3",0,0
"Q80XE1","Ric8b","237422","Chaperone Ric-8B",0,0
"Q9WUI1","Mapk11","19094","Mitogen-activated protein kinase 11",0,0
"Q8R1S0","Coq6","217707","Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",0,0
"Q3UFQ8","Carmil3","268747","Capping protein, Arp2/3 and myosin-I linker protein 3",0,0
"Q9JMD0","Znf207","22680","BUB3-interacting and GLEBS motif-containing protein ZNF207",0,0
"Q9CQN7","Mrpl41","107733","Large ribosomal subunit protein mL41",0,0
"Q9ERB5","Slco1c1","58807","Solute carrier organic anion transporter family member 1C1",0,0
"Q80XL6","Acad11","102632","Acyl-CoA dehydrogenase family member 11",0,0
"Q9CY28","Gtpbp8","66067","GTP-binding protein 8",0,0
"Q8VEB1","Grk5","14773","G protein-coupled receptor kinase 5",0,0
"Q9DBL9","Abhd5","67469","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0,0
"Q61361","Bcan","12032","Brevican core protein",0,0
"Q91W61","Fbxl15","68431","F-box/LRR-repeat protein 15",0,0
"Q80TA9","Epg5","100502841","Ectopic P granules protein 5 homolog",0,0
"P49443","Ppm1a","19042","Protein phosphatase 1A",0,0
"Q3U2A8","Vars2","68915","Valine--tRNA ligase, mitochondrial",0,0
"Q80XU8","Lrfn4","225875","Leucine-rich repeat and fibronectin type-III domain-containing protein 4",0,0
"P36993","Ppm1b","19043","Protein phosphatase 1B",0,0
"A8Y5H7","Sec14l1","74136","SEC14-like protein 1",0,0
"Q8C1M2","Znf428","232969","Zinc finger protein 428",0,0
"Q9DAW6","Prpf4","70052","U4/U6 small nuclear ribonucleoprotein Prp4",0,0
"Q8C025","Chpt1","212862","Cholinephosphotransferase 1",0,0
"Q80SY5","Prpf38b","66921","Pre-mRNA-splicing factor 38B",0,0
"P54728","Rad23b","19359","Lysine-specific demethylase RAD23B",0,0
"Q9CZU6","Cs","12974","Citrate synthase, mitochondrial",0,0
"Q91WM2","Hdhd5","214932","Haloacid dehalogenase-like hydrolase domain-containing 5",0,0
"P22437","Ptgs1","19224","Prostaglandin G/H synthase 1",0,0
"Q6GQS1","Slc25a23","66972","Mitochondrial adenyl nucleotide antiporter SLC25A23",0,0
"Q07235","Serpine2","20720","Glia-derived nexin",0,0
"Q3ULJ0","Gpd1l","333433","Glycerol-3-phosphate dehydrogenase 1-like protein",0,0
"O88447","Klc1","16593","Kinesin light chain 1",0,0
"P47802","Mtx1","17827","Metaxin-1",0,0
"Q64378","Fkbp5","14229","Peptidyl-prolyl cis-trans isomerase FKBP5",0,0
"Q811I0","Atpaf1","230649","ATP synthase mitochondrial F1 complex assembly factor 1",0,0
"O35604","Npc1","18145","NPC intracellular cholesterol transporter 1",0,0
"Q8VI56","Lrp4","228357","Low-density lipoprotein receptor-related protein 4",0,0
"Q5SYH2","Vma12","195040","Vacuolar ATPase assembly protein VMA12",0.25,0
"P09541","Myl4","17896","Myosin light chain 4",0,0
"Q7TNV1","Tlcd3b","68952","Ceramide synthase",0,0
"O08848","RO60","20822","RNA-binding protein Ro60",0,0
"Q8VI59","Pcnx3","104401","Pecanex-like protein 3",0,0
"Q8VDS8","Stx18","71116","Syntaxin-18",0,0
"Q6PDC8","Slc60a1","213006","Solute carrier family 60 member 1",0,0
"Q8VDP3","Mical1","171580","[F-actin]-monooxygenase MICAL1",0,0
"P45377","Akr1b8","14187","Aldose reductase-related protein 2",0,0
"Q3TFD2","Lpcat1","210992","Lysophosphatidylcholine acyltransferase 1",0,0
"Q9Z2I0","Letm1","56384","Mitochondrial proton/calcium exchanger protein",0,0
"O35684","Serpini1","20713","Neuroserpin",0,0
"Q91VY9","Znf622","52521","Cytoplasmic 60S subunit biogenesis factor ZNF622",0,0
"Q9CQX0","Otub2","68149","Ubiquitin thioesterase OTUB2",0,0
"Q8K0C1","Ipo13","230673","Importin-13",0,0
"Q61097","Ksr1","16706","Kinase suppressor of Ras 1",0,0
"Q8BP00","Iqcb1","320299","IQ calmodulin-binding motif-containing protein 1",0,0
"O54901","Cd200","17470","OX-2 membrane glycoprotein",0,0
"Q6P4T0","Atg2a","329015","Autophagy-related protein 2 homolog A",0,0
"Q8K245","Uvrag","78610","UV radiation resistance-associated protein",0,0
"Q8BS40","Cptp","79554","Ceramide-1-phosphate transfer protein",0,0
"Q9Z2I9","Sucla2","20916","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",0,0
"P80315","Cct4","12464","T-complex protein 1 subunit delta",0,0
"Q9D4C9","Clvs1","74438","Clavesin-1",0,0
"P97823","Lypla1","18777","Acyl-protein thioesterase 1",0,0
"Q8R092","Ltap1","99650","Lipid transport auxiliary protein 1",0,0
"Q9WTL7","Lypla2","26394","Acyl-protein thioesterase 2",0,0
"Q3V2Q8","N4bp2l1","100637","NEDD4-binding protein 2-like 1",0.5,0.5
"O35678","Mgll","23945","Monoglyceride lipase",0,0
"Q9WV85","Nme3","79059","Nucleoside diphosphate kinase C",0,0
"P13864","Dnmt1","13433","DNA (cytosine-5)-methyltransferase 1",0,0
"Q9DAX9","Appbp2","66884","Amyloid protein-binding protein 2",0,0
"Q924D0","Rtn4ip1","170728","NAD(P)H oxidoreductase RTN4IP1, mitochondrial",0,0
"Q8BG30","Nelfa","24116","Negative elongation factor A",0,0
"Q80YQ2","Med23","70208","Mediator of RNA polymerase II transcription subunit 23",0,0
"Q8BTZ7","Gmppb","331026","Mannose-1-phosphate guanylyltransferase catalytic subunit beta",0,0
"O35681","Syt3","20981","Synaptotagmin-3",0,0
"Q8C522","Endod1","71946","Endonuclease domain-containing 1 protein",0,0
"Q9D7M8","Polr2d","69241","DNA-directed RNA polymerase II subunit RPB4",0,0
"Q9DAM5","Slc25a19","67283","Mitochondrial thiamine pyrophosphate carrier",0,0
"Q91VR5","Ddx1","104721","ATP-dependent RNA helicase DDX1",0,0
"Q64669","Nqo1","18104","NAD(P)H dehydrogenase [quinone] 1",0,0
"Q8BHS6","Armcx3","71703","Armadillo repeat-containing X-linked protein 3",0,0
"Q80UW8","Polr2e","66420","DNA-directed RNA polymerases I, II, and III subunit RPABC1",0,0
"Q8C2E7","Washc5","223593","WASH complex subunit 5",0,0
"Q91YM4","Tbrg4","21379","FAST kinase domain-containing protein 4",0,0
"Q8BKR5","Ppp1r37","232947","Protein phosphatase 1 regulatory subunit 37",0,0
"Q8BVY0","Rsl1d1","66409","Ribosomal L1 domain-containing protein 1",0,0
"Q9EQK5","Mvp","78388","Major vault protein",0,0
"Q8R1R4","Il34","76527","Interleukin-34",0.25,0
"Q9D563","Tmem114","74720","Transmembrane protein 114",0.25,0
"Q91WK2","Eif3h","68135","Eukaryotic translation initiation factor 3 subunit H",0,0
"Q8K2T1","Nmral1","67824","NmrA-like family domain-containing protein 1",0,0
"O88839","Adam15","11490","Disintegrin and metalloproteinase domain-containing protein 15",0,0
"Q8R361","Rab11fip5","52055","Rab11 family-interacting protein 5",0,0
"P58252","Eef2","13629","Elongation factor 2",0,0
"Q99KB8","Hagh","14651","Hydroxyacylglutathione hydrolase, mitochondrial",0,0
"Q8BHC9","Pofut4","73068","GDP-fucose protein O-fucosyltransferase 4",0,0
"Q3TRM4","Pnpla6","50767","Patatin-like phospholipase domain-containing protein 6",0,0
"Q9JIN6","Kcnmb4","58802","Calcium-activated potassium channel subunit beta-4",0,0
"Q80U58","Pum2","80913","Pumilio homolog 2",0,0
"Q8VCS3","Fam20b","215015","Glycosaminoglycan xylosylkinase",0,0
"Q9DBS2","Tprg1l","67808","Tumor protein p63-regulated gene 1-like protein",0,0
"Q8R180","Ero1a","50527","ERO1-like protein alpha",0,0
"A2A8U2","Tmem201","230917","Transmembrane protein 201",0,0
"Q9R0G7","Zeb2","24136","Zinc finger E-box-binding homeobox 2",0,0
"Q8VIK2","Mpv17l2","234384","Mpv17-like protein 2",0,0
"Q3UKC1","Tax1bp1","52440","Tax1-binding protein 1 homolog",0,0
"Q8VEG4","Exd2","97827","Exonuclease 3'-5' domain-containing protein 2",0,0
"Q3ZK22","Vezt","215008","Vezatin",0,0
"O35405","Pld3","18807","5'-3' exonuclease PLD3",0,0
"Q00PI9","Hnrnpul2","68693","Heterogeneous nuclear ribonucleoprotein U-like protein 2",0,0
"Q8C2E4","Ptcd1","71799","Pentatricopeptide repeat-containing protein 1, mitochondrial",0.25,0
"Q3UV70","Pdp1","381511","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",0,0
"Q99KD5","Unc45a","101869","Protein unc-45 homolog A",0,0.25
"Q8R4V2","Dusp15","252864","Dual specificity protein phosphatase 15",0,0
"Q80TL4","Phf24","230085","PHD finger protein 24",0,0
"Q8BNV1","Trmt2a","15547","tRNA (uracil-5-)-methyltransferase homolog A",0,0
"P39053","Dnm1","13429","Dynamin-1",0,0
"P13808","Slc4a2","20535","Anion exchange protein 2",0.25,0.25
"Q8BHA3","Dtd2","328092","D-aminoacyl-tRNA deacylase 2",0,0
"Q8BMA6","Srp68","217337","Signal recognition particle subunit SRP68",0,0
"P29416","Hexa","15211","Beta-hexosaminidase subunit alpha",0,0
"Q8BZS9","Dhx32","101437","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32",0.5,0.5
"Q3UPL0","Sec31a","69162","Protein transport protein Sec31A",0,0
"Q7TNR6","Igsf21","230868","Immunoglobulin superfamily member 21",0,0
"Q8C726","Btbd9","224671","BTB/POZ domain-containing protein 9",0,0
"P58501","Paxbp1","67367","PAX3- and PAX7-binding protein 1",0,0
"Q01065","Pde1b","18574","Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B",0,0
"Q8CI71","Vps50","73288","Syndetin",0,0
"Q8BP47","Nars1","70223","Asparagine--tRNA ligase, cytoplasmic",0,0
"P08032","Spta1","20739","Spectrin alpha chain, erythrocytic 1",0,0
"Q8VD65","Pik3r4","75669","Phosphoinositide 3-kinase regulatory subunit 4",0,0
"Q8VCM4","Lipt1","623661","Lipoyl amidotransferase LIPT1, mitochondrial",0,0
"Q4VA53","Pds5b","100710","Sister chromatid cohesion protein PDS5 homolog B",0,0
"Q8C5H8","Nadk2","68646","NAD kinase 2, mitochondrial",0,0
"Q9CQ22","Lamtor1","66508","Ragulator complex protein LAMTOR1",0,0
"Q8CI75","Dis3l2","208718","DIS3-like exonuclease 2",0,0
"Q7TMB8","Cyfip1","20430","Cytoplasmic FMR1-interacting protein 1",0,0
"Q921L5","Cog2","76332","Conserved oligomeric Golgi complex subunit 2",0,0
"P59325","Eif5","217869","Eukaryotic translation initiation factor 5",0,0
"B1AZA5","Tmem245","242474","Transmembrane protein 245",0,0
"P99029","Prdx5","54683","Peroxiredoxin-5, mitochondrial",0,0
"Q9DC29","Abcb6","74104","ATP-binding cassette sub-family B member 6",0,0
"Q99LG4","Ttc5","219022","Tetratricopeptide repeat protein 5",0,0
"Q6XUX1","Dstyk","213452","Dual serine/threonine and tyrosine protein kinase",0,0
"Q9JJF3","Riox1","71952","Ribosomal oxygenase 1",0,0
"Q8BLJ3","Plcxd3","239318","PI-PLC X domain-containing protein 3",0,0
"P03987","P03987","16136","Ig gamma-3 chain C region",0,0.25
"Q923S6","Neurl1","18011","E3 ubiquitin-protein ligase NEURL1",0.5,0.25
"Q8C4G9","Adgra1","52389","Adhesion G protein-coupled receptor A1",0,0
"O54824","Il16","16170","Pro-interleukin-16",0,0
"Q8C729","Hycc2","213056","Hyccin 2",0,0
"Q8R105","Vps37c","107305","Vacuolar protein sorting-associated protein 37C",0,0
"Q9D328","Tmem35a","67564","Novel acetylcholine receptor chaperone",0,0
"Q03249","Galt","14430","Galactose-1-phosphate uridylyltransferase",0,0
"O70250","Pgam2","56012","Phosphoglycerate mutase 2",0,0
"Q9DBJ1","Pgam1","18648","Phosphoglycerate mutase 1",0,0
"Q8BRH0","Tmtc3","237500","Protein O-mannosyl-transferase TMTC3",0,0
"Q5FWH2","Unkl","74154","Putative E3 ubiquitin-protein ligase UNKL",0.25,0.25
"Q64336","Tbr1","21375","T-box brain protein 1",0,0
"Q9JMK2","Csnk1e","27373","Casein kinase I isoform epsilon",0,0
"Q9DBE0","Csad","246277","Cysteine sulfinic acid decarboxylase",0,0
"Q9QZA0","Ca5b","56078","Carbonic anhydrase 5B, mitochondrial",0.25,0.5
"Q8CHT1","Ngef","53972","Ephexin-1",0,0
"Q9D6T0","Nosip","66394","Nitric oxide synthase-interacting protein",0,0
"P01864","P01864","621968","Ig gamma-2A chain C region secreted form",0,0
"Q8CE50","Snx30","209131","Sorting nexin-30",0,0
"P16283","Slc4a3","20536","Anion exchange protein 3",0,0
"Q9CWB7","Q9CWB7","77422","Glutaredoxin-like protein C5orf63 homolog",0,0
"Q9QZF2","Gpc1","14733","Glypican-1",0,0
"P11438","Lamp1","16783","Lysosome-associated membrane glycoprotein 1",0,0
"Q99KP6","Prpf19","28000","Pre-mRNA-processing factor 19",0,0
"Q8VDS4","Rprd1a","225283","Regulation of nuclear pre-mRNA domain-containing protein 1A",0,0
"Q9CSU0","Rprd1b","70470","Regulation of nuclear pre-mRNA domain-containing protein 1B",0,0
"Q8C8N2","Scai","320271","Protein SCAI",0,0
"Q811L6","Mast4","328329","Microtubule-associated serine/threonine-protein kinase 4",0,0
"Q6P9R4","Arhgef18","102098","Rho guanine nucleotide exchange factor 18",0,0
"Q8R3S6","Exoc1","69940","Exocyst complex component 1",0,0
"O35691","Pnn","18949","Pinin",0,0
"P80317","Cct6a","12466","T-complex protein 1 subunit zeta",0,0
"Q8BX10","Pgam5","72542","Serine/threonine-protein phosphatase PGAM5, mitochondrial",0,0
"Q3U319","Rnf40","233900","E3 ubiquitin-protein ligase BRE1B",0,0
"Q9EPB5","Serhl","68607","Serine hydrolase-like protein",0,0
"Q9DBG3","Ap2b1","71770","AP-2 complex subunit beta",0,0
"Q8VCF0","Mavs","228607","Mitochondrial antiviral-signaling protein",0,0
"Q8BW41","Pomgnt2","215494","Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2",0,0
