"Accession","GeneName","GeneID","Description","MissingFractionControl","MissingFractionAsphyxia","AveExpr","log2FoldChange","t","pvalue","padj","B","FDRRegulation","ThresholdRegulation","ExploratoryRegulation"
"Q91WA6","Sharpin","106025","Sharpin",0,0,7.63180251853637,-0.703102795323321,-2.48265944793508,0.0337165497461862,0.999906683574988,-3.83083474638437,"Not significant","Not significant","Down"
"P06683","C9","12279","Complement component C9",0,0,9.67127486136294,-0.963449061211362,-2.48052549883033,0.033837123168609,0.999906683574988,-3.83209222605355,"Not significant","Not significant","Down"
"O70494","Sp3","20687","Transcription factor Sp3",0.5,0,7.15619449392858,0.747327710950429,2.46244102138937,0.0348762669603209,0.999906683574988,-3.84276179320241,"Not significant","Not significant","Up"
"P07759","Serpina3k","20714","Serine protease inhibitor A3K",0,0,19.2931040017506,-0.533906872628577,-2.47021612266241,0.0365032528010271,0.999906683574988,-3.8592808262634,"Not significant","Not significant","Down"
"Q8C4U2","Tmem145","330485","Transmembrane protein 145",0,0,12.6205120414032,-0.706901891290627,-2.42578954673924,0.0370802264905023,0.999906683574988,-3.86445370941896,"Not significant","Not significant","Down"
"Q76LL6","Fhod3","225288","FH1/FH2 domain-containing protein 3",0,0,11.7982144154853,-0.518672373184152,-2.4173526889458,0.0376067526379549,0.999906683574988,-3.86945938397299,"Not significant","Not significant","Down"
"P97363","Sptlc2","20773","Serine palmitoyltransferase 2",0.25,0,12.2477215622671,0.530556544520602,2.40304935407936,0.0385163164045669,0.999906683574988,-3.87795584465109,"Not significant","Not significant","Up"
"P21614","Gc","14473","Vitamin D-binding protein",0,0,17.7813731747904,-0.530360322665182,-2.42476124986039,0.0386261224951481,0.999906683574988,-3.87897801436056,"Not significant","Not significant","Down"
"Q8CBC7","Ftsj1","54632","tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase",0,0,9.96510752873787,0.570349707228164,2.39886127369388,0.0387867266243657,0.999906683574988,-3.88044601321893,"Not significant","Not significant","Up"
"Q9DBY5","Cbx6","494448","Chromobox protein homolog 6",0,0.25,8.52455988247181,-0.62618940818826,-2.39612297701597,0.0389645408743198,0.999906683574988,-3.88207473275988,"Not significant","Not significant","Down"
"Q9JHE3","Asah2","54447","Neutral ceramidase",0.25,0,7.10638069625709,0.856106795186453,2.3654463230938,0.0410123112247582,0.999906683574988,-3.9003508847413,"Not significant","Not significant","Up"
"Q3U4H6","Hexd","238023","Hexosaminidase D",0,0.5,16.7430785652562,-0.806247546405377,-2.38968874375214,0.0425884287283274,0.999906683574988,-3.91324275276764,"Not significant","Not significant","Down"
"Q922K9","Frk","14302","Tyrosine-protein kinase FRK",0,0.25,14.3636609952643,-0.7467042085327,-2.34271338951801,0.0436537984500196,0.999906683574988,-3.92239270777855,"Not significant","Not significant","Down"
"Q8R5K4","Nol6","230082","Nucleolar protein 6",0,0,7.22164921948832,0.65699250292851,2.3144161644572,0.0446555870219393,0.999906683574988,-3.93086592014508,"Not significant","Not significant","Up"
"Q6A0D4","Rftn1","76438","Raftlin",0,0,13.9900445240249,-0.509307367041973,-2.26665550610691,0.0483516868225928,0.999906683574988,-3.95953795822072,"Not significant","Not significant","Down"
