"FeatureKey","FeatureLabel","KEGGCompound","PathwayID","PathwayName"
"FT5637NR","Adenosine 3',5'-diphosphate","C00054","mmu00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"
"FT5637NR","Adenosine 3',5'-diphosphate","C00054","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin"
"FT5637NR","Adenosine 3',5'-diphosphate","C00054","mmu00770","Pantothenate and CoA biosynthesis"
"FT5637NR","Adenosine 3',5'-diphosphate","C00054","mmu00920","Sulfur metabolism"
"FT3784NR","S-(Formylmethyl)glutathione","C14871","mmu00980","Metabolism of xenobiotics by cytochrome P450"
"FT1054PR","Adenine","C00147","mmu00230","Purine metabolism"
"FT1135NR","N-formylmaleamic acid","C18232","mmu00760","Nicotinate and nicotinamide metabolism"
"FT3822PR","N-Acetylaspartylglutamic acid","C12270","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT3822PR","N-Acetylaspartylglutamic acid","C12270","mmu04080","Neuroactive ligand-receptor interaction"
"FT3822PR","N-Acetylaspartylglutamic acid","C12270","mmu05215","Prostate cancer"
"FT3579NR","FA(22:1)","C08316","mmu01040","Biosynthesis of unsaturated fatty acids"
"FT2793PR","Pyridoxal 5'-phosphate","C00018","mmu00730","Thiamine metabolism"
"FT2793PR","Pyridoxal 5'-phosphate","C00018","mmu00750","Vitamin B6 metabolism"
"FT2793PR","Pyridoxal 5'-phosphate","C00018","mmu04977","Vitamin digestion and absorption"
"FT0472NR","4-Hydroxyproline","C01157","mmu00330","Arginine and proline metabolism"
"FT0472NR","4-Hydroxyproline","C01157","mmu00470","D-Amino acid metabolism"
"FT0472NR","4-Hydroxyproline","C01157","mmu02010","ABC transporters"
"FT4613NR","D-Erythrose 4-phosphate","C00279","mmu00030","Pentose phosphate pathway"
"FT4613NR","D-Erythrose 4-phosphate","C00279","mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"FT4613NR","D-Erythrose 4-phosphate","C00279","mmu00750","Vitamin B6 metabolism"
"FT6607NR","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol","C11435","mmu00900","Terpenoid backbone biosynthesis"
"FT0999NR","Ureidosuccinic acid","C00438","mmu00240","Pyrimidine metabolism"
"FT0999NR","Ureidosuccinic acid","C00438","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT3278PR","6-Phosphogluconic acid","C00345","mmu00030","Pentose phosphate pathway"
"FT0016NR","Pyruvaldehyde","C00546","mmu00260","Glycine, serine and threonine metabolism"
"FT0016NR","Pyruvaldehyde","C00546","mmu00620","Pyruvate metabolism"
"FT0016NR","Pyruvaldehyde","C00546","mmu00640","Propanoate metabolism"
"FT0016NR","Pyruvaldehyde","C00546","mmu05415","Diabetic cardiomyopathy"
"FT3447PR","Guanosine","C00387","mmu00230","Purine metabolism"
"FT3447PR","Guanosine","C00387","mmu02010","ABC transporters"
"FT1843NR","DL-Dopa","C00355","mmu00350","Tyrosine metabolism"
"FT1843NR","DL-Dopa","C00355","mmu04728","Dopaminergic synapse"
"FT1843NR","DL-Dopa","C00355","mmu04917","Prolactin signaling pathway"
"FT1843NR","DL-Dopa","C00355","mmu05012","Parkinson disease"
"FT1843NR","DL-Dopa","C00355","mmu05030","Cocaine addiction"
"FT1843NR","DL-Dopa","C00355","mmu05031","Amphetamine addiction"
"FT1843NR","DL-Dopa","C00355","mmu05034","Alcoholism"
"FT6820NR","LysoPC(20:5/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6820NR","LysoPC(20:5/0:0)","C04230","mmu04148","Efferocytosis"
"FT6820NR","LysoPC(20:5/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT4646PR","Pantetheine 4'-phosphate","C01134","mmu00770","Pantothenate and CoA biosynthesis"
"FT1175NR","Citric acid","C00158","mmu00020","Citrate cycle (TCA cycle)"
"FT1175NR","Citric acid","C00158","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT1175NR","Citric acid","C00158","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1175NR","Citric acid","C00158","mmu04742","Taste transduction"
"FT1175NR","Citric acid","C00158","mmu04922","Glucagon signaling pathway"
"FT1175NR","Citric acid","C00158","mmu05230","Central carbon metabolism in cancer"
"FT2000NR","Deoxyinosine","C05512","mmu00230","Purine metabolism"
"FT2000NR","Deoxyinosine","C05512","mmu02010","ABC transporters"
"FT1034NR","myo-Inositol","C00137","mmu00052","Galactose metabolism"
"FT1034NR","myo-Inositol","C00137","mmu00053","Ascorbate and aldarate metabolism"
"FT1034NR","myo-Inositol","C00137","mmu00562","Inositol phosphate metabolism"
"FT1034NR","myo-Inositol","C00137","mmu02010","ABC transporters"
"FT1034NR","myo-Inositol","C00137","mmu04070","Phosphatidylinositol signaling system"
"FT3696NR","Glycerol 3-phosphate","C00093","mmu00561","Glycerolipid metabolism"
"FT3696NR","Glycerol 3-phosphate","C00093","mmu00564","Glycerophospholipid metabolism"
"FT3696NR","Glycerol 3-phosphate","C00093","mmu02010","ABC transporters"
"FT3696NR","Glycerol 3-phosphate","C00093","mmu05231","Choline metabolism in cancer"
"FT6983NR","UDP-GlcNAc","C00043","mmu00520","Amino sugar and nucleotide sugar metabolism"
"FT6983NR","UDP-GlcNAc","C00043","mmu00524","Neomycin, kanamycin and gentamicin biosynthesis"
"FT6983NR","UDP-GlcNAc","C00043","mmu00541","Biosynthesis of various nucleotide sugars"
"FT6983NR","UDP-GlcNAc","C00043","mmu04931","Insulin resistance"
"FT6983NR","UDP-GlcNAc","C00043","mmu05415","Diabetic cardiomyopathy"
"FT2154PR","3-Oxalomalic acid","C01990","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1305PR","Guanine","C00242","mmu00230","Purine metabolism"
"FT2117PR","Car(2:0)","C02571","mmu04931","Insulin resistance"
"FT1016PR","L-Asparagine","C00152","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT1016PR","L-Asparagine","C00152","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1016PR","L-Asparagine","C00152","mmu04974","Protein digestion and absorption"
"FT1016PR","L-Asparagine","C00152","mmu04978","Mineral absorption"
"FT1016PR","L-Asparagine","C00152","mmu05230","Central carbon metabolism in cancer"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu00564","Glycerophospholipid metabolism"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu00590","Arachidonic acid metabolism"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu00591","Linoleic acid metabolism"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu00592","alpha-Linolenic acid metabolism"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu04723","Retrograde endocannabinoid signaling"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu04981","Folate transport and metabolism"
"FT7881PR","PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z))","C00157","mmu05231","Choline metabolism in cancer"
"FT3764NR","Inosinic acid","C00130","mmu00230","Purine metabolism"
"FT3764NR","Inosinic acid","C00130","mmu01523","Antifolate resistance"
"FT3764NR","Inosinic acid","C00130","mmu04742","Taste transduction"
"FT2067NR","N-Acetylgalactosamine","C01074","mmu05146","Amoebiasis"
"FT3877PR","Oleoylethanolamide","C20792","mmu04024","cAMP signaling pathway"
"FT3872PR","Glutathione","C00051","mmu00270","Cysteine and methionine metabolism"
"FT3872PR","Glutathione","C00051","mmu00480","Glutathione metabolism"
"FT3872PR","Glutathione","C00051","mmu02010","ABC transporters"
"FT3872PR","Glutathione","C00051","mmu04216","Ferroptosis"
"FT3872PR","Glutathione","C00051","mmu04918","Thyroid hormone synthesis"
"FT3872PR","Glutathione","C00051","mmu04976","Bile secretion"
"FT3872PR","Glutathione","C00051","mmu05208","Chemical carcinogenesis - reactive oxygen species"
"FT3872PR","Glutathione","C00051","mmu05415","Diabetic cardiomyopathy"
"FT4774NR","6-Thioinosine-5'-monophosphate","C04646","mmu00983","Drug metabolism - other enzymes"
"FT1683PR","Serotonin","C00780","mmu00380","Tryptophan metabolism"
"FT1683PR","Serotonin","C00780","mmu04024","cAMP signaling pathway"
"FT1683PR","Serotonin","C00780","mmu04080","Neuroactive ligand-receptor interaction"
"FT1683PR","Serotonin","C00780","mmu04082","Neuroactive ligand signaling"
"FT1683PR","Serotonin","C00780","mmu04540","Gap junction"
"FT1683PR","Serotonin","C00780","mmu04721","Synaptic vesicle cycle"
"FT1683PR","Serotonin","C00780","mmu04726","Serotonergic synapse"
"FT1683PR","Serotonin","C00780","mmu04742","Taste transduction"
"FT1683PR","Serotonin","C00780","mmu04750","Inflammatory mediator regulation of TRP channels"
"FT1683PR","Serotonin","C00780","mmu04976","Bile secretion"
"FT1683PR","Serotonin","C00780","mmu05207","Chemical carcinogenesis - receptor activation"
"FT3918PR","2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone","C17561","mmu00130","Ubiquinone and other terpenoid-quinone biosynthesis"
"FT5289NR","CDP-ethanolamine","C00570","mmu00564","Glycerophospholipid metabolism"
"FT1201NR","D-Glucuronic acid","C00191","mmu00040","Pentose and glucuronate interconversions"
"FT1201NR","D-Glucuronic acid","C00191","mmu00053","Ascorbate and aldarate metabolism"
"FT1201NR","D-Glucuronic acid","C00191","mmu00520","Amino sugar and nucleotide sugar metabolism"
"FT1201NR","D-Glucuronic acid","C00191","mmu00562","Inositol phosphate metabolism"
"FT0471NR","N-Acetyl-beta-alanine","C01073","mmu00410","beta-Alanine metabolism"
"FT6965NR","Guanosine diphosphate mannose","C00096","mmu00051","Fructose and mannose metabolism"
"FT6965NR","Guanosine diphosphate mannose","C00096","mmu00053","Ascorbate and aldarate metabolism"
"FT6965NR","Guanosine diphosphate mannose","C00096","mmu00510","N-Glycan biosynthesis"
"FT6965NR","Guanosine diphosphate mannose","C00096","mmu00520","Amino sugar and nucleotide sugar metabolism"
"FT6965NR","Guanosine diphosphate mannose","C00096","mmu00541","Biosynthesis of various nucleotide sugars"
"FT2720PR","Cytidine","C00475","mmu00240","Pyrimidine metabolism"
"FT2720PR","Cytidine","C00475","mmu02010","ABC transporters"
"FT3064PR","Thiamine","C00378","mmu00730","Thiamine metabolism"
"FT3064PR","Thiamine","C00378","mmu02010","ABC transporters"
"FT3064PR","Thiamine","C00378","mmu04122","Sulfur relay system"
"FT3064PR","Thiamine","C00378","mmu04977","Vitamin digestion and absorption"
"FT3845PR","all-trans-13,14-dihydroretinol","C15492","mmu00830","Retinol metabolism"
"FT5506NR","Adenylosuccinic acid","C03794","mmu00230","Purine metabolism"
"FT5506NR","Adenylosuccinic acid","C03794","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT1857NR","Uridine","C00299","mmu00240","Pyrimidine metabolism"
"FT1857NR","Uridine","C00299","mmu02010","ABC transporters"
"FT1976PR","Isonicotinylglycine","C16623","mmu00983","Drug metabolism - other enzymes"
"FT1396PR","Imidazolepropionic acid","C20522","mmu00340","Histidine metabolism"
"FT1872NR","O-Phosphothreonine","C12147","mmu00860","Porphyrin metabolism"
"FT0315NR","Indole","C00463","mmu00380","Tryptophan metabolism"
"FT0315NR","Indole","C00463","mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"FT0315NR","Indole","C00463","mmu04974","Protein digestion and absorption"
"FT2628NR","Orotidine","C01103","mmu00240","Pyrimidine metabolism"
"FT1072NR","5-Hydroxyisourate","C11821","mmu00230","Purine metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00220","Arginine biosynthesis"
"FT1241PR","L-Glutamic acid","C00025","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00330","Arginine and proline metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00340","Histidine metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00430","Taurine and hypotaurine metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00470","D-Amino acid metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00480","Glutathione metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00524","Neomycin, kanamycin and gentamicin biosynthesis"
"FT1241PR","L-Glutamic acid","C00025","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00650","Butanoate metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00660","C5-Branched dibasic acid metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00860","Porphyrin metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00910","Nitrogen metabolism"
"FT1241PR","L-Glutamic acid","C00025","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT1241PR","L-Glutamic acid","C00025","mmu02010","ABC transporters"
"FT1241PR","L-Glutamic acid","C00025","mmu04068","FoxO signaling pathway"
"FT1241PR","L-Glutamic acid","C00025","mmu04072","Phospholipase D signaling pathway"
"FT1241PR","L-Glutamic acid","C00025","mmu04080","Neuroactive ligand-receptor interaction"
"FT1241PR","L-Glutamic acid","C00025","mmu04082","Neuroactive ligand signaling"
"FT1241PR","L-Glutamic acid","C00025","mmu04216","Ferroptosis"
"FT1241PR","L-Glutamic acid","C00025","mmu04540","Gap junction"
"FT1241PR","L-Glutamic acid","C00025","mmu04713","Circadian entrainment"
"FT1241PR","L-Glutamic acid","C00025","mmu04720","Long-term potentiation"
"FT1241PR","L-Glutamic acid","C00025","mmu04721","Synaptic vesicle cycle"
"FT1241PR","L-Glutamic acid","C00025","mmu04723","Retrograde endocannabinoid signaling"
"FT1241PR","L-Glutamic acid","C00025","mmu04724","Glutamatergic synapse"
"FT1241PR","L-Glutamic acid","C00025","mmu04727","GABAergic synapse"
"FT1241PR","L-Glutamic acid","C00025","mmu04730","Long-term depression"
"FT1241PR","L-Glutamic acid","C00025","mmu04742","Taste transduction"
"FT1241PR","L-Glutamic acid","C00025","mmu04964","Proximal tubule bicarbonate reclamation"
"FT1241PR","L-Glutamic acid","C00025","mmu04974","Protein digestion and absorption"
"FT1241PR","L-Glutamic acid","C00025","mmu05014","Amyotrophic lateral sclerosis"
"FT1241PR","L-Glutamic acid","C00025","mmu05016","Huntington disease"
"FT1241PR","L-Glutamic acid","C00025","mmu05017","Spinocerebellar ataxia"
"FT1241PR","L-Glutamic acid","C00025","mmu05022","Pathways of neurodegeneration - multiple diseases"
"FT1241PR","L-Glutamic acid","C00025","mmu05030","Cocaine addiction"
"FT1241PR","L-Glutamic acid","C00025","mmu05031","Amphetamine addiction"
"FT1241PR","L-Glutamic acid","C00025","mmu05033","Nicotine addiction"
"FT1241PR","L-Glutamic acid","C00025","mmu05034","Alcoholism"
"FT1241PR","L-Glutamic acid","C00025","mmu05215","Prostate cancer"
"FT1241PR","L-Glutamic acid","C00025","mmu05230","Central carbon metabolism in cancer"
"FT0453NR","Pyroglutamic acid","C01879","mmu00480","Glutathione metabolism"
"FT0453NR","Pyroglutamic acid","C01879","mmu04382","Cornified envelope formation"
"FT7867PR","PC(18:0/22:5)","C00157","mmu00564","Glycerophospholipid metabolism"
"FT7867PR","PC(18:0/22:5)","C00157","mmu00590","Arachidonic acid metabolism"
"FT7867PR","PC(18:0/22:5)","C00157","mmu00591","Linoleic acid metabolism"
"FT7867PR","PC(18:0/22:5)","C00157","mmu00592","alpha-Linolenic acid metabolism"
"FT7867PR","PC(18:0/22:5)","C00157","mmu04723","Retrograde endocannabinoid signaling"
"FT7867PR","PC(18:0/22:5)","C00157","mmu04981","Folate transport and metabolism"
"FT7867PR","PC(18:0/22:5)","C00157","mmu05231","Choline metabolism in cancer"
"FT1156NR","Carglumic acid","C05829","mmu00340","Histidine metabolism"
"FT1133PR","(Z)-5-oxohex-2-enedioic acid","C03453","mmu00380","Tryptophan metabolism"
"FT5742NR","LysoPC(15:0/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT5742NR","LysoPC(15:0/0:0)","C04230","mmu04148","Efferocytosis"
"FT5742NR","LysoPC(15:0/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT2362NR","D-Glucuronic acid 1-phosphate","C05385","mmu00040","Pentose and glucuronate interconversions"
"FT2362NR","D-Glucuronic acid 1-phosphate","C05385","mmu00053","Ascorbate and aldarate metabolism"
"FT2362NR","D-Glucuronic acid 1-phosphate","C05385","mmu00520","Amino sugar and nucleotide sugar metabolism"
"FT6515PR","LysoPC(20:1/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6515PR","LysoPC(20:1/0:0)","C04230","mmu04148","Efferocytosis"
"FT6515PR","LysoPC(20:1/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT7780NR","FAD","C00016","mmu00740","Riboflavin metabolism"
"FT7780NR","FAD","C00016","mmu04977","Vitamin digestion and absorption"
"FT3565NR","Imidazoleacetic acid ribotide","C04437","mmu00340","Histidine metabolism"
"FT2470PR","Carnosine","C00386","mmu00340","Histidine metabolism"
"FT2470PR","Carnosine","C00386","mmu00410","beta-Alanine metabolism"
"FT1327NR","Oxoadipic acid","C00322","mmu00310","Lysine degradation"
"FT1327NR","Oxoadipic acid","C00322","mmu00380","Tryptophan metabolism"
"FT1327NR","Oxoadipic acid","C00322","mmu00785","Lipoic acid metabolism"
"FT2141PR","Xanthurenic acid","C02470","mmu00380","Tryptophan metabolism"
"FT2194PR","L-Kynurenine","C00328","mmu00380","Tryptophan metabolism"
"FT2194PR","L-Kynurenine","C00328","mmu05143","African trypanosomiasis"
"FT6047NR","LysoPC(17:0/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT6047NR","LysoPC(17:0/0:0)","C04230","mmu04148","Efferocytosis"
"FT6047NR","LysoPC(17:0/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT5042PR","S-Adenosylhomocysteine","C00021","mmu00270","Cysteine and methionine metabolism"
"FT5042PR","S-Adenosylhomocysteine","C00021","mmu00670","One carbon pool by folate"
"FT5042PR","S-Adenosylhomocysteine","C00021","mmu04981","Folate transport and metabolism"
"FT5042PR","S-Adenosylhomocysteine","C00021","mmu05208","Chemical carcinogenesis - reactive oxygen species"
"FT1380PR","cis-Aconitic acid","C00417","mmu00020","Citrate cycle (TCA cycle)"
"FT1380PR","cis-Aconitic acid","C00417","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT1380PR","cis-Aconitic acid","C00417","mmu00660","C5-Branched dibasic acid metabolism"
"FT0694PR","Uracil","C00106","mmu00240","Pyrimidine metabolism"
"FT0694PR","Uracil","C00106","mmu00410","beta-Alanine metabolism"
"FT0694PR","Uracil","C00106","mmu00770","Pantothenate and CoA biosynthesis"
"FT1029PR","Maleic acid","C01384","mmu00350","Tyrosine metabolism"
"FT1029PR","Maleic acid","C01384","mmu00650","Butanoate metabolism"
"FT1029PR","Maleic acid","C01384","mmu00760","Nicotinate and nicotinamide metabolism"
"FT1217NR","D-Ribose","C00121","mmu00030","Pentose phosphate pathway"
"FT1217NR","D-Ribose","C00121","mmu02010","ABC transporters"
"FT1852PR","N-Acetyl-L-glutamic acid","C00624","mmu00220","Arginine biosynthesis"
"FT1852PR","N-Acetyl-L-glutamic acid","C00624","mmu00470","D-Amino acid metabolism"
"FT1533PR","Tartaric acid","C00898","mmu00630","Glyoxylate and dicarboxylate metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu00250","Alanine, aspartate and glutamate metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu00330","Arginine and proline metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu00410","beta-Alanine metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu00650","Butanoate metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu00760","Nicotinate and nicotinamide metabolism"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04024","cAMP signaling pathway"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04080","Neuroactive ligand-receptor interaction"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04082","Neuroactive ligand signaling"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04721","Synaptic vesicle cycle"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04723","Retrograde endocannabinoid signaling"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04727","GABAergic synapse"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04742","Taste transduction"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04915","Estrogen signaling pathway"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu04929","GnRH secretion"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu05032","Morphine addiction"
"FT0213NR","gamma-Aminobutyric acid","C00334","mmu05033","Nicotine addiction"
"FT2253NR","Inosine","C00294","mmu00230","Purine metabolism"
"FT2253NR","Inosine","C00294","mmu02010","ABC transporters"
"FT4510NR","Chenodeoxycholic acid","C02528","mmu00120","Primary bile acid biosynthesis"
"FT4510NR","Chenodeoxycholic acid","C02528","mmu04976","Bile secretion"
"FT1320PR","N1-Methyl-4-pyridone-3-carboxamide","C05843","mmu00760","Nicotinate and nicotinamide metabolism"
"FT2711NR","6-Hydroxymelatonin","C05643","mmu00380","Tryptophan metabolism"
"FT1579NR","Deoxyuridine","C00526","mmu00240","Pyrimidine metabolism"
"FT1579NR","Deoxyuridine","C00526","mmu02010","ABC transporters"
"FT7075NR","PC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C04230","mmu00564","Glycerophospholipid metabolism"
"FT7075NR","PC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C04230","mmu04148","Efferocytosis"
"FT7075NR","PC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)","C04230","mmu05231","Choline metabolism in cancer"
"FT0772PR","L-Threonine","C00188","mmu00260","Glycine, serine and threonine metabolism"
"FT0772PR","L-Threonine","C00188","mmu00290","Valine, leucine and isoleucine biosynthesis"
"FT0772PR","L-Threonine","C00188","mmu00470","D-Amino acid metabolism"
"FT0772PR","L-Threonine","C00188","mmu00860","Porphyrin metabolism"
"FT0772PR","L-Threonine","C00188","mmu00970","Aminoacyl-tRNA biosynthesis"
"FT0772PR","L-Threonine","C00188","mmu02010","ABC transporters"
"FT0772PR","L-Threonine","C00188","mmu04974","Protein digestion and absorption"
"FT0772PR","L-Threonine","C00188","mmu04978","Mineral absorption"
"FT2622NR","Uridine 2',3'-cyclic phosphate","C02355","mmu00240","Pyrimidine metabolism"
"FT0714NR","Xanthine","C00385","mmu00230","Purine metabolism"
"FT0714NR","Xanthine","C00385","mmu00232","Caffeine metabolism"
"FT0430NR","2-Hydroxyethanesulfonate","C05123","mmu00430","Taurine and hypotaurine metabolism"
"FT0252NR","2,5-dioxopentanoic acid","C00433","mmu00040","Pentose and glucuronate interconversions"
"FT0252NR","2,5-dioxopentanoic acid","C00433","mmu00053","Ascorbate and aldarate metabolism"
"FT0252NR","2,5-dioxopentanoic acid","C00433","mmu00470","D-Amino acid metabolism"
"FT4921PR","Riboflavin","C00255","mmu00740","Riboflavin metabolism"
"FT4921PR","Riboflavin","C00255","mmu02010","ABC transporters"
"FT4921PR","Riboflavin","C00255","mmu04977","Vitamin digestion and absorption"
"FT2533NR","Biopterin","C06313","mmu00790","Folate biosynthesis"
"FT0679PR","Cytosine","C00380","mmu00240","Pyrimidine metabolism"
"FT3384NR","Cyclic AMP","C00575","mmu00230","Purine metabolism"
"FT3384NR","Cyclic AMP","C00575","mmu01522","Endocrine resistance"
"FT3384NR","Cyclic AMP","C00575","mmu04010","MAPK signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04014","Ras signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04015","Rap1 signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04020","Calcium signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04022","cGMP-PKG signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04024","cAMP signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04062","Chemokine signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04072","Phospholipase D signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04081","Hormone signaling"
"FT3384NR","Cyclic AMP","C00575","mmu04082","Neuroactive ligand signaling"
"FT3384NR","Cyclic AMP","C00575","mmu04114","Oocyte meiosis"
"FT3384NR","Cyclic AMP","C00575","mmu04211","Longevity regulating pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04213","Longevity regulating pathway - multiple species"
"FT3384NR","Cyclic AMP","C00575","mmu04261","Adrenergic signaling in cardiomyocytes"
"FT3384NR","Cyclic AMP","C00575","mmu04270","Vascular smooth muscle contraction"
"FT3384NR","Cyclic AMP","C00575","mmu04340","Hedgehog signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04371","Apelin signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04540","Gap junction"
"FT3384NR","Cyclic AMP","C00575","mmu04611","Platelet activation"
"FT3384NR","Cyclic AMP","C00575","mmu04670","Leukocyte transendothelial migration"
"FT3384NR","Cyclic AMP","C00575","mmu04710","Circadian rhythm"
"FT3384NR","Cyclic AMP","C00575","mmu04713","Circadian entrainment"
"FT3384NR","Cyclic AMP","C00575","mmu04714","Thermogenesis"
"FT3384NR","Cyclic AMP","C00575","mmu04720","Long-term potentiation"
"FT3384NR","Cyclic AMP","C00575","mmu04723","Retrograde endocannabinoid signaling"
"FT3384NR","Cyclic AMP","C00575","mmu04724","Glutamatergic synapse"
"FT3384NR","Cyclic AMP","C00575","mmu04725","Cholinergic synapse"
"FT3384NR","Cyclic AMP","C00575","mmu04726","Serotonergic synapse"
"FT3384NR","Cyclic AMP","C00575","mmu04727","GABAergic synapse"
"FT3384NR","Cyclic AMP","C00575","mmu04728","Dopaminergic synapse"
"FT3384NR","Cyclic AMP","C00575","mmu04740","Olfactory transduction"
"FT3384NR","Cyclic AMP","C00575","mmu04742","Taste transduction"
"FT3384NR","Cyclic AMP","C00575","mmu04750","Inflammatory mediator regulation of TRP channels"
"FT3384NR","Cyclic AMP","C00575","mmu04910","Insulin signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04911","Insulin secretion"
"FT3384NR","Cyclic AMP","C00575","mmu04912","GnRH signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04913","Ovarian steroidogenesis"
"FT3384NR","Cyclic AMP","C00575","mmu04914","Progesterone-mediated oocyte maturation"
"FT3384NR","Cyclic AMP","C00575","mmu04915","Estrogen signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04916","Melanogenesis"
"FT3384NR","Cyclic AMP","C00575","mmu04918","Thyroid hormone synthesis"
"FT3384NR","Cyclic AMP","C00575","mmu04919","Thyroid hormone signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04921","Oxytocin signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04922","Glucagon signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04923","Regulation of lipolysis in adipocytes"
"FT3384NR","Cyclic AMP","C00575","mmu04924","Renin secretion"
"FT3384NR","Cyclic AMP","C00575","mmu04925","Aldosterone synthesis and secretion"
"FT3384NR","Cyclic AMP","C00575","mmu04926","Relaxin signaling pathway"
"FT3384NR","Cyclic AMP","C00575","mmu04927","Cortisol synthesis and secretion"
