"PathwayID","PathwayName","SetSize","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"mmu00983","Drug metabolism - other enzymes",4,-0.390954529371833,-1.04044840500484,0.338229765453386,0.634922542166883,8,"Proteomics"
"mmu01523","Antifolate resistance",4,0.384927988984093,1.02159447946816,0.346384235216069,0.638488091793299,8,"Proteomics"
"mmu04974","Protein digestion and absorption",17,0.377282415973684,0.997895636561814,0.356857817055143,0.638488091793299,8,"Proteomics"
"mmu04724","Glutamatergic synapse",3,0.363504269569652,0.955782650693559,0.376089190861414,0.638488091793299,8,"Proteomics"
"mmu04918","Thyroid hormone synthesis",4,0.350522927192749,0.916767400978567,0.394619512478696,0.638488091793299,8,"Proteomics"
"mmu00770","Pantothenate and CoA biosynthesis",8,0.349426561360495,0.913500413783764,0.396202467015949,0.638488091793299,8,"Proteomics"
"mmu04928","Parathyroid hormone synthesis, secretion and action",3,0.347004174036414,0.906297225970677,0.399709753864017,0.638488091793299,8,"Proteomics"
"mmu00860","Porphyrin metabolism",3,0.345578018752998,0.902066084069677,0.401780918933814,0.638488091793299,8,"Proteomics"
"mmu05032","Morphine addiction",4,0.342427396113589,0.892743855434447,0.406372914355272,0.638488091793299,8,"Proteomics"
"mmu00660","C5-Branched dibasic acid metabolism",3,0.341970482981433,0.89139476179136,0.407040731894648,0.638488091793299,8,"Proteomics"
"mmu04721","Synaptic vesicle cycle",4,0.334878626413292,0.87054597748466,0.417466419666147,0.638488091793299,8,"Proteomics"
"mmu04714","Thermogenesis",4,0.333169434919275,0.865546399795522,0.419995928728789,0.638488091793299,8,"Proteomics"
"mmu00480","Glutathione metabolism",10,0.329456235428784,0.854717842290654,0.425513588557543,0.638488091793299,8,"Proteomics"
"mmu04723","Retrograde endocannabinoid signaling",6,0.328659762437423,0.852400963196751,0.426701078972525,0.638488091793299,8,"Proteomics"
"mmu00380","Tryptophan metabolism",11,0.324447787228001,0.840182362312564,0.433003995413188,0.638488091793299,8,"Proteomics"
"mmu05030","Cocaine addiction",5,0.318763554459038,0.823781208162964,0.441571203670132,0.638488091793299,8,"Proteomics"
"mmu05031","Amphetamine addiction",5,0.318763554459038,0.823781208162964,0.441571203670132,0.638488091793299,8,"Proteomics"
"mmu05034","Alcoholism",5,0.318763554459038,0.823781208162964,0.441571203670132,0.638488091793299,8,"Proteomics"
"mmu00020","Citrate cycle (TCA cycle)",6,0.312615102297374,0.806151912265597,0.450916176300704,0.63853757827341,8,"Proteomics"
"mmu04540","Gap junction",4,0.310897746414523,0.801247994813646,0.453540709801675,0.63853757827341,8,"Proteomics"
"mmu00730","Thiamine metabolism",4,0.306686075662464,0.789258178151066,0.460003400822849,0.639225505039544,8,"Proteomics"
"mmu00564","Glycerophospholipid metabolism",19,-0.295440198597518,-0.75749120821785,0.477439895480637,0.646423244722477,8,"Proteomics"
"mmu00750","Vitamin B6 metabolism",6,0.293219011598661,0.751258296060433,0.480914294096613,0.646423244722477,8,"Proteomics"
"mmu02010","ABC transporters",32,0.291692965346686,0.746983753056885,0.483307098857926,0.646423244722477,8,"Proteomics"
"mmu00470","D-Amino acid metabolism",15,0.281165024362906,0.717661723395758,0.49994059593461,0.660415355123497,8,"Proteomics"
"mmu04917","Prolactin signaling pathway",4,0.276457117987761,0.704641388964992,0.507448842403744,0.662158855331715,8,"Proteomics"
"mmu00350","Tyrosine metabolism",8,0.259003518170769,0.656840228786665,0.53564968355944,0.690536339046507,8,"Proteomics"
"mmu04728","Dopaminergic synapse",4,0.237822163647757,0.599750565277952,0.570611992100464,0.726850989937496,8,"Proteomics"
"mmu04977","Vitamin digestion and absorption",7,-0.201166189568255,-0.503038061371445,0.632865805368616,0.78834393471516,8,"Proteomics"
"mmu00051","Fructose and mannose metabolism",4,0.198444431250663,0.495951002786465,0.637569760907867,0.78834393471516,8,"Proteomics"
"mmu00360","Phenylalanine metabolism",5,0.196469327874504,0.490815613956241,0.640989928226345,0.78834393471516,8,"Proteomics"
"mmu00650","Butanoate metabolism",7,0.179788114088301,0.44768399108893,0.670091129513158,0.81476989611259,8,"Proteomics"
"mmu00270","Cysteine and methionine metabolism",15,0.169550888764174,0.421414642787823,0.688132244580917,0.827305058091664,8,"Proteomics"
"mmu00760","Nicotinate and nicotinamide metabolism",9,0.155400155913523,0.385332256780775,0.713281711014204,0.841591039678349,8,"Proteomics"
"mmu04216","Ferroptosis",5,0.154020814648896,0.381828535218161,0.715745650567568,0.841591039678349,8,"Proteomics"
"mmu04072","Phospholipase D signaling pathway",5,-0.142697533902285,-0.35315016323945,0.73605204970574,0.849162049292157,8,"Proteomics"
"mmu00030","Pentose phosphate pathway",6,-0.141583820237836,-0.350337318653259,0.738056734431501,0.849162049292157,8,"Proteomics"
