"PathwayID","PathwayName","SetSize","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","Concordant","MeanAbsR","MinAbsR","VIPORAFoldEnrichment","VIPORAOverlap","VIPORAPvalue","VIPORAFDR"
"mmu00140","Steroid hormone biosynthesis",4,0.587152829200465,0.22048076857388,0.660122037864857,6,0.540901181813822,0.166264525643759,0.520819330923092,8,TRUE,0.564027005507143,0.540901181813822,5.38636363636364,2,0.0441075690109091,0.762773337391502
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,0.968583089796124,0.00146502877548976,0.156758078977404,6,0.526933204074054,0.17965083330776,0.520819330923092,8,TRUE,0.747758146935089,0.526933204074054,2.15454545454545,1,0.388283544735279,1
"mmu00640","Propanoate metabolism",5,0.779085757507167,0.0678140035902327,0.565060988679585,6,0.52647806700038,0.180096404150976,0.520819330923092,8,TRUE,0.652781912253774,0.52647806700038,0,0,1,1
"mmu01040","Biosynthesis of unsaturated fatty acids",7,-0.764023078546954,0.0769574610732712,0.565060988679585,6,-0.514761452671119,0.191769913331898,0.539983703329293,8,TRUE,0.639392265609036,0.514761452671119,3.07792207792208,2,0.129886076563112,1
"mmu00230","Purine metabolism",22,0.92698683405599,0.00780176984079574,0.208697343241286,6,0.497120569133472,0.210079801607608,0.561963469300351,8,TRUE,0.712053701594731,0.497120569133472,0.489669421487603,1,0.894585296657535,1
"mmu04071","Sphingolipid signaling pathway",4,-0.477971494554104,0.337640665193989,0.833695732485506,6,-0.602023933559014,0.114291516860876,0.506870432380116,8,TRUE,0.539997714056559,0.477971494554104,2.69318181818182,1,0.324502682101042,1
"mmu04964","Proximal tubule bicarbonate reclamation",4,0.476651235860511,0.339169868785044,0.833695732485506,6,0.940472922541315,0.00050406888371792,0.0401987817051438,8,TRUE,0.708562079200913,0.476651235860511,5.38636363636364,2,0.0441075690109091,0.762773337391502
"mmu04925","Aldosterone synthesis and secretion",3,0.579286662089705,0.228266499074764,0.660122037864857,6,0.475035530685376,0.234232150983595,0.566940672770423,8,TRUE,0.527161096387541,0.475035530685376,3.59090909090909,1,0.254403903828509,1
"mmu00520","Amino sugar and nucleotide sugar metabolism",7,0.473501487512081,0.342828151676283,0.833695732485506,6,0.726134971700185,0.041381361979012,0.368983810979523,8,TRUE,0.599818229606133,0.473501487512081,1.53896103896104,1,0.499025316809064,1
"mmu05415","Diabetic cardiomyopathy",6,0.642141552949213,0.169179848418097,0.660122037864857,6,0.455522735376681,0.256691647657319,0.583331164433329,8,TRUE,0.548832144162947,0.455522735376681,1.79545454545455,1,0.446291139631071,1
"mmu00600","Sphingolipid metabolism",6,-0.439480516646997,0.383220545103247,0.849717999360622,6,-0.622240578361616,0.0994701447955108,0.501506867953952,8,TRUE,0.530860547504307,0.439480516646997,5.38636363636364,3,0.011646554179659,0.623090648611757
"mmu04750","Inflammatory mediator regulation of TRP channels",3,0.719089167013124,0.107282881357966,0.565060988679585,6,0.436507189130655,0.279570554878625,0.583331164433329,8,TRUE,0.57779817807189,0.436507189130655,0,0,1,1
"mmu04742","Taste transduction",10,0.434616282837388,0.389123195968883,0.849717999360622,6,0.430950188885862,0.286438444092726,0.583331164433329,8,TRUE,0.432783235861625,0.430950188885862,1.07727272727273,1,0.629985694805242,1
"mmu00190","Oxidative phosphorylation",5,0.590941442304774,0.21676969544703,0.660122037864857,6,0.428682438930237,0.289264535860456,0.583331164433329,8,TRUE,0.509811940617505,0.428682438930237,0,0,1,1
