"PathwayID","PathwayName","SetSize","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"mmu04148","Efferocytosis",16,-0.278365801130764,-0.579641870194365,0.593236235989179,0.929261146718664,6,"Transcriptomics"
"mmu05231","Choline metabolism in cancer",15,-0.276070312701883,-0.574465837316415,0.596414855204682,0.929261146718664,6,"Transcriptomics"
"mmu05030","Cocaine addiction",5,0.265281862384212,0.550279750380785,0.611411741193721,0.929261146718664,6,"Transcriptomics"
"mmu05031","Amphetamine addiction",5,0.265281862384212,0.550279750380785,0.611411741193721,0.929261146718664,6,"Transcriptomics"
"mmu05034","Alcoholism",5,0.265281862384212,0.550279750380785,0.611411741193721,0.929261146718664,6,"Transcriptomics"
"mmu04724","Glutamatergic synapse",3,0.26312137459904,0.545463384953972,0.614426260453488,0.929261146718664,6,"Transcriptomics"
"mmu04928","Parathyroid hormone synthesis, secretion and action",3,0.251865489081569,0.520511083571802,0.630190464243609,0.929261146718664,6,"Transcriptomics"
"mmu00340","Histidine metabolism",11,0.248999181329513,0.514193559720634,0.634220276368398,0.929261146718664,6,"Transcriptomics"
"mmu05215","Prostate cancer",4,0.246893914047574,0.509562604971604,0.637184036300927,0.929261146718664,6,"Transcriptomics"
"mmu00330","Arginine and proline metabolism",13,-0.237716913836732,-0.489464585329942,0.650141241143797,0.929261146718664,6,"Transcriptomics"
"mmu00650","Butanoate metabolism",7,0.235309314510894,0.484215130802325,0.653550622314854,0.929261146718664,6,"Transcriptomics"
"mmu04080","Neuroactive ligand-receptor interaction",15,0.232953301930891,0.479087290601222,0.65689091357856,0.929261146718664,6,"Transcriptomics"
"mmu00360","Phenylalanine metabolism",5,0.229333497450726,0.471226158573509,0.662030519956436,0.929261146718664,6,"Transcriptomics"
"mmu05230","Central carbon metabolism in cancer",18,0.217741509271817,0.446188658206637,0.678549447162898,0.929261146718664,6,"Transcriptomics"
"mmu00480","Glutathione metabolism",10,0.214258716966114,0.438705515823722,0.683529890348723,0.929261146718664,6,"Transcriptomics"
"mmu04977","Vitamin digestion and absorption",7,0.208423746167099,0.426207599422756,0.69189139224163,0.929261146718664,6,"Transcriptomics"
"mmu04022","cGMP-PKG signaling pathway",3,0.195586271469704,0.39887623936525,0.710361570391566,0.929261146718664,6,"Transcriptomics"
"mmu04740","Olfactory transduction",3,0.195586271469704,0.39887623936525,0.710361570391566,0.929261146718664,6,"Transcriptomics"
"mmu00760","Nicotinate and nicotinamide metabolism",9,-0.183863291756918,-0.374104380523401,0.727312876930132,0.929261146718664,6,"Transcriptomics"
"mmu00061","Fatty acid biosynthesis",3,0.178651466372297,0.363145057290323,0.73487375148766,0.929261146718664,6,"Transcriptomics"
"mmu00350","Tyrosine metabolism",8,-0.170807259085309,-0.346709602769353,0.746280772491561,0.929261146718664,6,"Transcriptomics"
"mmu04728","Dopaminergic synapse",4,0.167449440762623,0.33969515130787,0.75117342268185,0.929261146718664,6,"Transcriptomics"
"mmu00410","beta-Alanine metabolism",8,-0.166540165200453,-0.337797787473851,0.752499300119354,0.929261146718664,6,"Transcriptomics"
"mmu00430","Taurine and hypotaurine metabolism",7,0.164437119849543,0.333412798868117,0.755567474434802,0.929261146718664,6,"Transcriptomics"
"mmu04978","Mineral absorption",9,-0.153490074824924,-0.310661428722229,0.77157293968361,0.938162551660753,6,"Transcriptomics"
"mmu04072","Phospholipase D signaling pathway",5,0.138960183033441,0.280643174831208,0.792901381324945,0.949918756097082,6,"Transcriptomics"
"mmu00120","Primary bile acid biosynthesis",3,0.133045178900324,0.268477126461148,0.801609749311119,0.949918756097082,6,"Transcriptomics"
"mmu00591","Linoleic acid metabolism",4,-0.126554151193161,-0.255159864192009,0.811182215890647,0.949918756097082,6,"Transcriptomics"
"mmu05143","African trypanosomiasis",3,-0.122527378246529,-0.246915229740332,0.817128681847668,0.949918756097082,6,"Transcriptomics"
"mmu04727","GABAergic synapse",6,-0.110820042391254,-0.223013740298496,0.834450431415718,0.949918756097082,6,"Transcriptomics"
"mmu00860","Porphyrin metabolism",3,-0.110781141690743,-0.222934483866592,0.834508066103979,0.949918756097082,6,"Transcriptomics"
"mmu01523","Antifolate resistance",4,0.0975814870461371,0.196098848296249,0.854092362044034,0.961861662300673,6,"Transcriptomics"
