"PathwayID","PathwayName","SetSize","CON-1","CON-2","CON-3","CON-4","CON-5","CON-6","Asphyxia-1","Asphyxia-2","Asphyxia-3","Asphyxia-4","Asphyxia-5","Asphyxia-6"
"mmu00220","Arginine biosynthesis",11,0.423723530592411,0.427750229010565,0.424610813477177,0.419818615820324,0.42502381020663,0.444347287346984,0.462976941469782,0.42940472363633,0.433933249601904,0.434866802689991,0.443630124946136,0.424055515111199
"mmu00230","Purine metabolism",22,0.297839218851626,0.30146893181917,0.312562014143501,0.309927929376416,0.332369017503838,0.322207392026723,0.313067867776027,0.317243970931651,0.324939391627694,0.307280870332826,0.326122752305424,0.305909320049981
"mmu00240","Pyrimidine metabolism",13,0.360923112716474,0.357108578838305,0.36479516702542,0.353615053695868,0.370977236503651,0.370189089646173,0.377062591081186,0.373346380602135,0.372846993519908,0.354057396998025,0.365761588917431,0.363567431391359
"mmu00250","Alanine, aspartate and glutamate metabolism",16,0.491512974842292,0.502604813846591,0.485591313166819,0.496409256694519,0.512367000915284,0.504885443937872,0.524110316275191,0.506362323799932,0.510484760076817,0.500887042947702,0.51373278048956,0.500301198799767
"mmu00260","Glycine, serine and threonine metabolism",11,0.474356574264162,0.462574976842174,0.477978286965892,0.481909076486425,0.483333088739256,0.477867177412766,0.477872230580597,0.47035782413597,0.468550125254234,0.481415613155558,0.496016994549368,0.488526232763909
"mmu00270","Cysteine and methionine metabolism",15,0.38848540162114,0.380799030527352,0.39117964088989,0.367603749090119,0.391253413683724,0.395521054371238,0.391005344315493,0.378970340934966,0.392129937187966,0.395162914132103,0.37965947633071,0.38722630675607
"mmu00310","Lysine degradation",6,0.431840849988906,0.473766590632947,0.468701161032385,0.447317433323223,0.483102077648142,0.457428154616514,0.45948596635639,0.463529739877342,0.461299825425089,0.464713286426347,0.453965544215963,0.49545499417829
"mmu00330","Arginine and proline metabolism",13,0.401246302237209,0.406963007659365,0.424686693782258,0.400228029303026,0.413759058962226,0.400044750421709,0.393565766102812,0.393234625080148,0.406003397327887,0.401389095697706,0.413025091992556,0.392328276939483
"mmu00340","Histidine metabolism",11,0.297314490869271,0.287373577499773,0.326446555502587,0.302899990084857,0.330762205323308,0.320536185250307,0.279758160253609,0.313858454220961,0.31471057611666,0.321209981308072,0.330413777517101,0.311968164039928
"mmu00350","Tyrosine metabolism",8,0.314162927521525,0.309528834151631,0.297858162247527,0.288304846869223,0.311931822178704,0.306067124334267,0.316051136162354,0.300225267707225,0.30842319038753,0.33008619439713,0.312607131925984,0.318029718927831
"mmu00360","Phenylalanine metabolism",5,0.449747631640502,0.46256303115067,0.453968528013656,0.429486417510296,0.475336330733916,0.458231757240967,0.474720701715796,0.450176143031681,0.453774796626601,0.496998481230974,0.484190562652153,0.490417690329629
"mmu00380","Tryptophan metabolism",11,-0.0415362458154882,-0.0596835700209794,-0.0413135224706246,-0.0767249436845827,-0.0757197724594722,-0.0489192376687741,-0.0299382744891288,-0.0557822765352033,-0.04644160831194,-0.0549391097057027,-0.0725861185281553,-0.0793401916642407
"mmu00400","Phenylalanine, tyrosine and tryptophan biosynthesis",5,0.376366153013741,0.374421856033038,0.379914739060062,0.37419271746961,0.367380192728847,0.380127319507207,0.385518264009029,0.38475539668408,0.38878133514415,0.389451105594511,0.388416098424521,0.385131887269997
"mmu00410","beta-Alanine metabolism",8,0.51133028263522,0.492040219482713,0.519417898344295,0.524060569517783,0.494946138397416,0.504061660282994,0.468842696920673,0.5133219522546,0.509261696250788,0.494544774383041,0.523011088817456,0.501406831888474
"mmu00430","Taurine and hypotaurine metabolism",7,0.484297791122484,0.48382491077089,0.528169147457671,0.499990648871937,0.494969339632829,0.508957932424206,0.48609805503628,0.494354955011478,0.490823589105138,0.49915227670742,0.509396803957154,0.499492202065046
"mmu00470","D-Amino acid metabolism",15,0.55035028854653,0.541004326422518,0.53999560715185,0.54613854401125,0.550717573934953,0.547478995815908,0.550668863057724,0.549669923169429,0.539142835250643,0.542944664954683,0.54748648764057,0.551072389277364
"mmu00480","Glutathione metabolism",10,0.4426926471043,0.419542325223725,0.422569863556614,0.422394100426457,0.431057763738478,0.432444316075286,0.427641155250077,0.436612893077752,0.442663008120427,0.4249806577377,0.437735859644115,0.434272858483025
"mmu00520","Amino sugar and nucleotide sugar metabolism",7,0.24845155310224,0.260139690124087,0.249906586220941,0.252235929629571,0.253937717871031,0.273268123260411,0.27821574120435,0.25913419012134,0.255446653722122,0.249409000704741,0.249466589393454,0.227227733080792
"mmu00524","Neomycin, kanamycin and gentamicin biosynthesis",3,0.557116654012484,0.56427080173092,0.556045726807087,0.561752408102481,0.563554718646626,0.563419655194222,0.571850422343588,0.570852036818308,0.574632433692223,0.567496164021205,0.582120929100332,0.570897137726984
"mmu00541","Biosynthesis of various nucleotide sugars",6,0.235515772610336,0.2587874680532,0.254426020705281,0.256253560623556,0.208718551468295,0.261310717153349,0.310138702189845,0.245781213924447,0.277933682208126,0.25057647967124,0.287857307587616,0.239553971155801
"mmu00561","Glycerolipid metabolism",4,0.402679854491367,0.399889439616902,0.422524193799219,0.429508658902771,0.425783925066343,0.43085696897064,0.410761081186366,0.424303334871939,0.418358325933738,0.399701313904928,0.425761946009097,0.419466893185709
"mmu00562","Inositol phosphate metabolism",4,0.404119929301992,0.413215325206777,0.400884088619768,0.404767534561904,0.401140648996296,0.42402216659689,0.416992555500227,0.41985684577652,0.415943292240136,0.411571897414298,0.414744066894105,0.424290157844696
"mmu00564","Glycerophospholipid metabolism",19,0.3223714874368,0.339596907844533,0.342972181360404,0.341922114665561,0.331212161990862,0.328277846150137,0.324985791988563,0.318499151982334,0.338928982716156,0.339220134253157,0.321707017925378,0.323522662671198
"mmu00590","Arachidonic acid metabolism",9,0.244367292584014,0.210991771369524,0.211331741613139,0.253203105151215,0.194008700797999,0.250942024653971,0.248490712506273,0.221593084997787,0.250131150251575,0.21345638048175,0.219512055352427,0.204640616267099
"mmu00591","Linoleic acid metabolism",4,0.357126897746788,0.363092227957032,0.345190616682424,0.35711357355259,0.338754161143601,0.360710683343417,0.372236718194839,0.319056631540201,0.360810251022948,0.342453427662111,0.342875949488558,0.3498945710057
"mmu00600","Sphingolipid metabolism",6,0.0877072383883002,0.142387330244508,0.183082073276692,0.174366438518436,0.183506375127269,0.0964146295640548,0.0656432326701456,0.0657032975820333,0.0801693762464757,0.0710683949708264,0.0523808591281828,0.0432708112230669
"mmu00620","Pyruvate metabolism",5,0.558018611040868,0.562091233834904,0.56203864533767,0.541294840695593,0.574722592387343,0.551535079738817,0.567738746143235,0.554497746425001,0.554999303562193,0.569144367111286,0.56116062184403,0.569097765891815
"mmu00630","Glyoxylate and dicarboxylate metabolism",14,0.425829157355577,0.429767762881717,0.439302153388537,0.430282181692879,0.441277120460596,0.430487204442509,0.438119277558672,0.430726128124178,0.4276744773557,0.432917846912082,0.415954270004384,0.427182540125427
"mmu00640","Propanoate metabolism",5,0.368567237210956,0.369027908324142,0.375376410963089,0.35987369907483,0.382638948752301,0.383769727218146,0.38833013966735,0.371133433255841,0.380741413444502,0.386168366954445,0.379319102077403,0.372119165912013
"mmu00650","Butanoate metabolism",7,0.548108092007533,0.559995440695434,0.557832022382993,0.540341441826063,0.568987342361212,0.553374960870076,0.563969305800188,0.553742042180391,0.551933119933468,0.559814403742601,0.555297303871095,0.558831640788875
"mmu00660","C5-Branched dibasic acid metabolism",3,0.449192210816814,0.460978669633936,0.466589995737116,0.472057267011212,0.474045650871499,0.471584912416826,0.466761320018369,0.460513099989663,0.475343012477006,0.440662267242663,0.428316161536166,0.457159315883748
"mmu00670","One carbon pool by folate",5,0.433804701445291,0.423170166584634,0.431168799198769,0.426314323106306,0.438787612822857,0.44901814896894,0.432818165789604,0.44299161619371,0.446397515764149,0.431253940617104,0.426885290268092,0.43751420294476
"mmu00730","Thiamine metabolism",4,0.258239654434791,0.235750658634945,0.268820895955021,0.288460462533092,0.28012863718191,0.283257563915905,0.269490390009371,0.259074849679495,0.27581946797066,0.263229713303642,0.275626893484054,0.240534313719235
"mmu00740","Riboflavin metabolism",5,0.0707062324325129,0.0649501506259325,0.0932993300489446,0.0737661144644013,0.0763103018815648,0.0885632474343307,0.0587475301533462,0.070008251452304,0.0707416788019613,0.083597481381994,0.0734110438856871,0.0473694812296493
"mmu00750","Vitamin B6 metabolism",6,0.106495169489145,0.111728111089752,0.13840209536513,0.130217721172686,0.128446776830137,0.118485991542559,0.126755010424356,0.148238774333601,0.156441185592952,0.122964085840231,0.139323624344373,0.124970025320621
"mmu00760","Nicotinate and nicotinamide metabolism",9,0.489755963103369,0.516235717806418,0.497951514117221,0.489905148987347,0.510273217293257,0.490221304072844,0.507527022496554,0.483866022527974,0.498449774631899,0.506106253656885,0.498067320940937,0.495052861451886
"mmu00770","Pantothenate and CoA biosynthesis",8,0.250803140459845,0.241175485604491,0.21533604003661,0.195605308747502,0.232046761898844,0.247557044561673,0.238874146758533,0.251026235709288,0.25404088132373,0.218348424570852,0.24722203569989,0.24142700584421
"mmu00860","Porphyrin metabolism",3,0.525486737826271,0.545746369926505,0.509517276006893,0.535684159115953,0.539667978756442,0.519724531940384,0.553666048907355,0.533218892221525,0.509416656198198,0.534419672600205,0.548291055569774,0.531424970485491
"mmu00920","Sulfur metabolism",7,0.340867624103667,0.342974648953696,0.35663707055126,0.34394548029761,0.383204878724111,0.359197954835944,0.348845337607219,0.362100688509775,0.359050825872387,0.360258046581114,0.375193793885699,0.373615236429155
"mmu00970","Aminoacyl-tRNA biosynthesis",15,0.535671460003449,0.529151886819901,0.516321564530533,0.527875026868951,0.533751864126551,0.532133048052053,0.534290560132481,0.533472781684009,0.527293578798399,0.528906583910021,0.538102188743207,0.538908840286596
"mmu00983","Drug metabolism - other enzymes",4,0.232878354618314,0.330581485006827,0.271467009502461,0.178181929317268,0.35283680423875,0.244954554771213,0.219402488074073,0.253447910642989,0.230816009336397,0.343081635567995,0.232910886081315,0.331335879921844
"mmu01040","Biosynthesis of unsaturated fatty acids",7,0.349729637111336,0.340299379841722,0.338201145235695,0.334949226807702,0.334487038980562,0.344425582605016,0.319314646446937,0.313304476816986,0.333640040960513,0.3422569137657,0.314857746930861,0.324267351369813
"mmu01523","Antifolate resistance",4,0.512328218129142,0.549989805962033,0.502440085601272,0.539755422201885,0.539784531559055,0.545249810042058,0.528425626697408,0.535725894731882,0.538768194212054,0.504887764377083,0.524234473338451,0.527405981676845
