"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR","CorrelationT","Pvalue","padj","N","Omics"
"FT4439NR","Adunctin C",NA,"Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones",1.16237215056455,FALSE,0.377566539451297,0.877780064177489,3.66456408634344,0.0214937259241621,0.67419337390447,6,"Transcriptomics"
"FT4742NR","6-Hydroxy-5-[(4-sulfophenyl)azo]-2-naphthalenesulfonic acid",NA,"Naphthalenes","Naphthalene sulfonic acids and derivatives",0.777966211128782,FALSE,0.321261698555731,0.875647872734571,3.62624571541094,0.0222337207852637,0.67419337390447,6,"Transcriptomics"
"FT1631NR","9-(Methylthio)nonanenitrile",NA,"Organonitrogen compounds","Organic cyanides",0.0037444690013956,FALSE,-0.0423081153159178,-0.874808846539201,-3.61141871559056,0.0225281878433547,0.67419337390447,6,"Transcriptomics"
"FT3037NR","Zilascorb",NA,"Dihydrofurans","Furanones",0.664938300510862,FALSE,0.215760693150944,0.873862748522289,3.59486554413417,0.022862449247168,0.67419337390447,6,"Transcriptomics"
"FT3082NR","MG(0:0/16:0)",NA,"Glycerolipids","Monoradylglycerols",1.45663525483969,FALSE,1.18209719490525,0.873522513374247,3.58895511424123,0.0229832299230465,0.67419337390447,6,"Transcriptomics"
"FT2756NR","Demethoxyegonol",NA,"2-arylbenzofuran flavonoids","Unclassified",0.853661827954331,FALSE,-0.242252432568002,-0.8727327443759,-3.57532087639347,0.0232647605660781,0.67419337390447,6,"Transcriptomics"
"FT1908PR","2-Amino-3-methyl-1-pyrrolidin-1-YL-butan-1-one",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.50885694536673,FALSE,-0.213294576627999,-0.869193971609152,-3.51565002561387,0.0245462658255977,0.69681338292666,6,"Transcriptomics"
"FT3588PR","1-(1-(3-Methoxyphenyl)cyclohexyl)piperidine",NA,"Phenol ethers","Anisoles",1.25707571187535,FALSE,-0.611311114930951,-0.867177430316519,-3.4826451668029,0.0252911355955182,0.703599392267318,6,"Transcriptomics"
"FT0707NR","4-Mercapto-2-butanone",NA,"Organooxygen compounds","Carbonyl compounds",1.37488172445992,TRUE,-0.841144848910104,-0.861531021028877,-3.39382567973282,0.027433008773251,0.717627196300257,6,"Transcriptomics"
"FT2434PR","(E,E)-2,4-Decadienoic isobutylamide",NA,"Fatty Acyls","Fatty amides",0.766190294074245,FALSE,-0.370313341002852,-0.861194932875946,-3.38869803271061,0.0275631020170623,0.717627196300257,6,"Transcriptomics"
"FT2989PR","Car(6:0)",NA,"Fatty Acyls","Fatty acid esters",2.26577880677495,TRUE,1.5903234483011,0.858996742581901,3.35558021718413,0.0284211702604342,0.717627196300257,6,"Transcriptomics"
"FT3860NR","Prostaglandin F2a","C00639","Fatty Acyls","Eicosanoids",0.92189815224096,FALSE,0.299608659060848,0.857869713370712,3.33887674862702,0.028865939299899,0.717627196300257,6,"Transcriptomics"
"FT2350NR","Deoxycytidine","C00881","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides",1.21746894954513,FALSE,0.630988600227895,0.855402811541883,3.30294726308268,0.0298508762757422,0.717627196300257,6,"Transcriptomics"
"FT3483NR","Glycerophosphoinositol","C01225","Glycerophospholipids","Glycerophosphoinositols",1.10985538010562,FALSE,0.419375187342363,0.85284619810153,3.26659493634556,0.0308881101441731,0.717627196300257,6,"Transcriptomics"
"FT4174NR","10-Hydroxy-2-decenoic acid",NA,"Hydroxy acids and derivatives","Medium-chain hydroxy acids and derivatives",0.596095460992293,FALSE,-0.220948709028369,0.852602153474621,3.26317052387435,0.030987995709493,0.717627196300257,6,"Transcriptomics"
"FT4558PR","Isograyanotoxin II",NA,"Organooxygen compounds","Alcohols and polyols",1.17748993589543,TRUE,0.588054417269046,0.850942867015019,3.24009324882761,0.0316711654968171,0.717627196300257,6,"Transcriptomics"
"FT2116NR","2,4,5-Trihydroxyphenylalanine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",1.39091196390249,FALSE,0.485181270615247,0.849874948736454,3.22542727194331,0.032114572525692,0.717627196300257,6,"Transcriptomics"
"FT1212PR","1-Hydroxyisoquinoline","C06324","Isoquinolines and derivatives","Isoquinolones and derivatives",0.488085458298617,FALSE,0.211084294890081,0.848452502824365,3.20611428269954,0.0327096971494991,0.717627196300257,6,"Transcriptomics"
"FT6209PR","Lipoxin D4",NA,"Fatty Acyls","Eicosanoids",0.324031377295789,FALSE,0.212325895473766,-0.847218776841051,-3.18956465103912,0.0332300357661321,0.717627196300257,6,"Transcriptomics"
"FT3032NR","[(2R,3S,5R)-5-(2,4-Dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methoxy-fluorophosphinic acid",NA,"Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides",0.734847404075601,FALSE,-0.398828249082134,0.846631863454499,3.18175600254534,0.0334789317707464,0.717627196300257,6,"Transcriptomics"
"FT4082PR","11E-Eicosen-1-ol",NA,"Fatty Acyls","Fatty alcohols",1.30657375981066,FALSE,-0.818626833634669,-0.846364837206869,-3.17821691604031,0.0335924608652569,0.717627196300257,6,"Transcriptomics"
"FT3532NR","Hepsulfam",NA,"Organic sulfuric acids and derivatives","Unclassified",0.242671749841205,FALSE,0.0406789909537656,-0.843756812679698,-3.14408967328109,0.0347108012201019,0.717627196300257,6,"Transcriptomics"
"FT2411PR","Hexamethylene bisacetamide",NA,"Carboximidic acids and derivatives","Carboximidic acids",0.827012136798358,FALSE,-0.392464869179436,-0.84313039062035,-3.1360090100656,0.0349819820151921,0.717627196300257,6,"Transcriptomics"
"FT3348NR","5-O-beta-D-Xylopyranosyl-L-arabinose",NA,"Organooxygen compounds","Carbohydrates and carbohydrate conjugates",0.529991824871701,FALSE,0.155539769450797,0.843076409700163,3.13531474479968,0.0350053970482054,0.717627196300257,6,"Transcriptomics"
"FT0100NR","Glyceraldehyde","C02154","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",1.07907407698584,FALSE,0.334297286602061,0.842766201728296,3.13133140753349,0.0351400972588172,0.717627196300257,6,"Transcriptomics"
"FT5668PR","Austalide L",NA,"Isoflavonoids","Isoflavans",0.753117969503143,FALSE,-0.277609675079818,-0.842613943796756,-3.12938022751786,0.0352063005542397,0.717627196300257,6,"Transcriptomics"
"FT4958PR","MG(0:0/20:4)",NA,"Endocannabinoids","Unclassified",0.568453126355037,FALSE,-0.280860243355851,-0.839590469346503,-3.0911625000136,0.0365330600235906,0.717627196300257,6,"Transcriptomics"
"FT0293NR","Fumaric acid","C00122","Carboxylic acids and derivatives","Dicarboxylic acids and derivatives",1.13495105024855,FALSE,0.398071650574546,0.836230825736847,3.0498357569765,0.0380343409909211,0.717627196300257,6,"Transcriptomics"
"FT0969PR","5,6-Dihydroxyindole","C05578","Indoles and derivatives","Hydroxyindoles",0.194513345915323,FALSE,0.0479905329961975,-0.836212800728457,-3.04961716527498,0.0380424720653303,0.717627196300257,6,"Transcriptomics"
"FT5143NR","10-Hydroxydodec-10-enedioylcarnitine",NA,"Fatty Acyls","Fatty acid esters",1.52171552663752,TRUE,0.812032383597581,0.833236309169592,3.0139650216798,0.0393963330268868,0.717627196300257,6,"Transcriptomics"
"FT4764PR","Glycylprolylarginine",NA,"Carboxylic acids and derivatives","Amino acids, peptides, and analogues",0.336300116239339,FALSE,0.111525757788545,0.831175986841901,2.98979100669075,0.0403464483199794,0.717627196300257,6,"Transcriptomics"
"FT1320PR","N1-Methyl-4-pyridone-3-carboxamide","C05843","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives",0.539498658486658,FALSE,0.171536072703682,-0.828053628122743,-2.95391154171091,0.041806487262278,0.717627196300257,6,"Transcriptomics"
"FT5995NR","LysoPE(20:3/0:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.693535499863708,FALSE,0.189688115426929,0.827706577577602,2.9499782622999,0.0419702679760333,0.717627196300257,6,"Transcriptomics"
"FT3992PR","(S)-Annocherine A",NA,"Isoquinolines and derivatives","Benzylisoquinolines",0.595937302112709,FALSE,-0.217119240419972,-0.827508740153724,-2.94774089586428,0.0420637656140663,0.717627196300257,6,"Transcriptomics"
"FT3412NR","Taurolidine",NA,"Thiadiazinanes","Unclassified",0.805325123285155,FALSE,-0.205322478428508,-0.827100375021311,-2.94313365127844,0.0422570655486816,0.717627196300257,6,"Transcriptomics"
