"FeatureKey","Metabolite","KEGG","Class","SubClass","VIP","VIPCandidate","log2FC","PearsonR_RNA","Pvalue_RNA","padj_RNA","N_RNA","PearsonR_Protein","Pvalue_Protein","padj_Protein","N_Protein","DirectionPattern","Concordant","MeanAbsR","MinAbsR"
"FT3407PR","9-Octadecenamide",NA,"Fatty Acyls","Fatty amides",0.580334102298802,FALSE,-0.226083735399372,-0.809707579990755,0.0508714487432628,0.717627196300257,6,-0.602097541040072,0.114235423073499,0.679713203740303,8,"RNA negative / Protein negative",TRUE,0.705902560515414,0.602097541040072
"FT7137NR","WE(16:0/23:0)",NA,"Fatty Acyls","Fatty acid esters",1.56061324698731,TRUE,-0.72569143387527,-0.594044879605986,0.213748727096686,0.855762031526234,6,-0.915185463631801,0.00142990569320537,0.249161067041036,8,"RNA negative / Protein negative",TRUE,0.754615171618893,0.594044879605986
"FT6006PR","5-Methylhenicosanoylcarnitine",NA,"Fatty Acyls","Fatty acid esters",1.96585550336584,TRUE,-1.06353019008,-0.58562635471815,0.221983156171773,0.865298849559908,6,-0.846746439367021,0.00799594218477757,0.425136786510782,8,"RNA negative / Protein negative",TRUE,0.716186397042586,0.58562635471815
"FT6193PR","LysoPC(O-18:0/0:0)","C04317","Glycerophospholipids","Glycerophosphocholines",0.128380264659479,FALSE,-0.0847954156790364,-0.708987566607682,0.114709689707756,0.765141115763805,6,-0.585340172135237,0.127408482345708,0.70272845909954,8,"RNA negative / Protein negative",TRUE,0.64716386937146,0.585340172135237
"FT3458NR","FA(19:1)",NA,"Fatty Acyls","Fatty acids and conjugates",0.131153377444154,FALSE,0.0542249830008157,-0.584470341809153,0.223123652472351,0.866884510440095,6,-0.708402394557348,0.0492201681987809,0.584128132428263,8,"RNA negative / Protein negative",TRUE,0.64643636818325,0.584470341809153
"FT7545PR","PC(P-16:0/22:6)",NA,"Glycerophospholipids","Glycerophosphocholines",1.86876087100892,TRUE,-1.0609729005247,-0.950619039234697,0.00359751170417957,0.543555659481085,6,-0.584347226016571,0.128214460185998,0.70272845909954,8,"RNA negative / Protein negative",TRUE,0.767483132625634,0.584347226016571
"FT7317NR","WE(25:0/16:1)",NA,"Fatty Acyls","Fatty acid esters",1.57619919845049,TRUE,-0.760738129969788,-0.579943915793483,0.227611828955609,0.866884510440095,6,-0.887054079357673,0.00330382955844285,0.328967028890666,8,"RNA negative / Protein negative",TRUE,0.733498997575578,0.579943915793483
"FT4079PR","FA(21:3;O)",NA,"Fatty Acyls","Fatty acids and conjugates",0.854541350622577,FALSE,0.345368370743178,0.911708156386725,0.0113490371623104,0.543896992986746,6,0.579135892932652,0.132491178552964,0.70272845909954,8,"RNA positive / Protein positive",TRUE,0.745422024659689,0.579135892932652
"FT6658NR","LysoPE(22:6/0:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.562981269884907,FALSE,-0.214328219772786,-0.924325353946169,0.00837329689937697,0.543555659481085,6,-0.570722537461834,0.139561106819418,0.708914427173625,8,"RNA negative / Protein negative",TRUE,0.747523945704001,0.570722537461834
"FT5456NR","MG(22:1/0:0)",NA,"Glycerolipids","Monoradylglycerols",1.51742409193163,TRUE,-0.671832203052621,-0.570610209100177,0.236978890231962,0.866884510440095,6,-0.868503208808078,0.00513854340146454,0.377006815875872,8,"RNA negative / Protein negative",TRUE,0.719556708954128,0.570610209100177
"FT6387PR","LPC(18:0(11cp)/0:0)",NA,"Glycerophospholipids","Glycerophosphocholines",0.0497844467443917,FALSE,0.0618675753849821,-0.67123967556332,0.144358267627625,0.800009363625605,6,-0.567191209558303,0.14258943349227,0.712436094223026,8,"RNA negative / Protein negative",TRUE,0.619215442560811,0.567191209558303
"FT6491PR","LysoPC(20:2/0:0)","C04230","Glycerophospholipids","Glycerophosphocholines",0.0274806372052523,FALSE,0.0199300243493637,-0.624282499032654,0.185226635675438,0.842783223920486,6,-0.566432611943212,0.143244672108388,0.713153831853902,8,"RNA negative / Protein negative",TRUE,0.595357555487933,0.566432611943212
"FT4230NR","Taxa-4(20),11(12)-dien-5alpha-yl acetate","C11896","Prenol lipids","Diterpenoids",1.65450679365245,TRUE,0.731525583590916,0.679842852541412,0.137342748897895,0.779770464150909,6,0.565177057572279,0.144332805186382,0.716013987294721,8,"RNA positive / Protein positive",TRUE,0.622509955056845,0.565177057572279
"FT2622NR","Uridine 2',3'-cyclic phosphate","C02355","Pyrimidine nucleotides","Cyclic pyrimidine nucleotides",0.512710649278554,FALSE,-0.178433079922138,-0.60446812427433,0.203728613018838,0.842783223920486,6,-0.562993607385531,0.146235934847487,0.717039432551467,8,"RNA negative / Protein negative",TRUE,0.58373086582993,0.562993607385531
"FT4082PR","11E-Eicosen-1-ol",NA,"Fatty Acyls","Fatty alcohols",1.30657375981066,FALSE,-0.818626833634669,-0.846364837206869,0.0335924608652569,0.717627196300257,6,-0.55750424584166,0.151081276871348,0.726352011141478,8,"RNA negative / Protein negative",TRUE,0.701934541524264,0.55750424584166
"FT4208NR","Retinol acetate",NA,"Prenol lipids","Retinoids",0.648649154216788,FALSE,-0.213019308444286,-0.553137684349998,0.254912835371205,0.872427299627174,6,-0.834991633192748,0.00988786132282114,0.444634796258473,8,"RNA negative / Protein negative",TRUE,0.694064658771373,0.553137684349998
"FT4229NR","4,8,12,15,19-Docosapentaenoic acid",NA,"Fatty Acyls","Fatty acids and conjugates",0.0648752100584888,FALSE,0.0852986898309981,-0.550202499364968,0.257975668873498,0.872427299627174,6,-0.56199446366321,0.147111390035667,0.717039432551467,8,"RNA negative / Protein negative",TRUE,0.556098481514089,0.550202499364968
"FT5735PR","lysoPE(0:0/16:0)",NA,"Glycerophospholipids","Glycerophosphoethanolamines",0.446913310782394,FALSE,-0.0720814736931549,-0.942728055597321,0.00482618526934696,0.543555659481085,6,-0.546589049015267,0.160973785476564,0.731820831113888,8,"RNA negative / Protein negative",TRUE,0.744658552306294,0.546589049015267
"FT1221NR","Bornyl acetate","C09837","Prenol lipids","Monoterpenoids",0.848024426033228,FALSE,-0.289948651731853,-0.680099621106485,0.137135675663077,0.779770464150909,6,-0.546509447625975,0.161047187778586,0.731820831113888,8,"RNA negative / Protein negative",TRUE,0.61330453436623,0.546509447625975
"FT2662PR","Bulnesol",NA,"Prenol lipids","Sesquiterpenoids",0.273644318215102,FALSE,-0.100209875766304,-0.799403233600062,0.0563226811058666,0.72308367718528,6,-0.546377850893307,0.161168576149185,0.731820831113888,8,"RNA negative / Protein negative",TRUE,0.672890542246685,0.546377850893307
